"Hijos","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Edad.Jefe","Edad.Conyuge","Region","Estrato.vivienda","Trabajo.Jefe","Trabajo.conyuge","Ingresos.totales","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge","Edu.Jefe","Edu.Conyuge"
0,2,NA,4,59,NA,1,1,4,NA,0,0,NA,1,NA
1,2,1,2,31,24,1,1,4,1,959652,2,2,1,1
1,2,1,2,19,22,1,1,3,1,658333,1,1,3,1
4,1,2,2,45,28,1,1,1,4,250000,0,0,0,1
0,2,NA,2,51,NA,1,1,1,NA,144000,2,NA,1,NA
1,1,2,2,59,27,1,4,1,4,2100000,0,2,1,1
0,1,2,2,70,63,1,4,1,2,804166,0,0,1,0
0,1,NA,4,57,NA,1,4,1,NA,762008,0,NA,1,NA
0,1,NA,6,52,NA,1,4,1,NA,829008,2,NA,1,NA
3,1,2,6,44,41,1,4,1,4,666666,0,0,0,0
0,1,NA,4,52,NA,1,4,1,NA,600008,0,NA,1,NA
1,2,NA,4,47,NA,1,2,4,NA,0,0,NA,1,NA
0,1,2,6,48,26,1,2,1,4,1600000,2,2,1,3
2,2,NA,2,36,NA,1,2,4,NA,0,2,NA,3,NA
1,2,NA,3,71,NA,1,2,4,NA,0,0,NA,1,NA
2,1,2,6,51,55,1,2,1,4,1780000,0,0,3,3
2,2,1,2,31,33,1,2,2,1,1000000,2,2,3,1
2,2,NA,4,35,NA,1,2,4,NA,801666,2,NA,3,NA
2,2,1,2,33,38,1,2,4,1,882500,2,2,1,1
1,2,1,2,21,28,1,2,4,1,900000,0,0,1,1
2,1,2,2,32,26,1,2,1,4,900000,2,0,3,1
3,2,NA,4,31,NA,1,2,1,NA,400000,2,NA,3,NA
3,1,NA,4,41,NA,1,2,1,NA,1500000,2,NA,3,NA
1,2,NA,3,76,NA,1,2,4,NA,29166,0,NA,0,NA
1,2,NA,3,72,NA,1,2,4,NA,0,0,NA,1,NA
0,2,1,2,62,69,1,2,4,5,832000,0,0,1,1
3,1,2,2,56,56,1,2,1,4,832000,1,2,1,1
2,1,2,2,58,45,1,2,5,1,64264,0,0,1,1
0,1,2,2,57,62,1,2,1,4,1200000,0,0,1,0
1,1,2,2,30,41,1,1,2,4,0,0,0,0,1
1,2,1,1,46,38,1,0,4,1,1039833,0,0,1,0
2,1,2,2,73,47,1,0,1,4,786000,0,0,0,0
3,1,2,2,49,38,1,1,1,4,280000,0,0,1,1
0,2,NA,5,71,NA,1,2,4,NA,65000,0,NA,1,NA
2,2,NA,5,30,NA,1,0,2,NA,0,0,NA,1,NA
0,1,NA,4,53,NA,1,2,4,NA,0,0,NA,1,NA
0,1,2,6,69,63,1,2,1,1,6833333,0,0,3,3
4,1,2,2,38,47,1,0,1,4,1233500,0,0,1,1
2,1,2,2,35,26,1,2,1,4,830000,0,0,1,1
3,2,NA,5,30,NA,1,1,1,NA,20000,0,NA,1,NA
2,2,NA,4,43,NA,1,0,1,NA,200000,0,NA,1,NA
3,2,1,2,30,32,1,1,4,1,400000,0,0,1,1
