"Hijos","Edad.Jefe","Edad.Conyuge","Ingresos.totales","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Region","Trabajo.Jefe","Trabajo.conyuge","Edu.Jefe","Edu.Conyuge","Estrato.vivienda","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge"
"T",34,21,850000,"1","2","1","9","1","4","1","1","1","0","2"
"T",38,35,1700000,"1","2","1","9","1","1","1","1","1","0","0"
"T",34,17,400000,"1","2","2","9","2","4","1","1","1","0","0"
"N",69,69,200000,"1","2","2","9","4","4","1","1","2","0","0"
"T",33,34,1650000,"1","2","2","9","1","2","1","1","2","0","0"
"T",36,32,900000,"1","2","2","9","1","1","1","1","2","1","0"
"T",37,33,910000,"1","2","2","9","1","4","2","1","1","0","0"
"T",38,31,3000000,"1","2","2","9","1","4","3","1","2","2","2"
"T",45,43,4313332,"1","2","2","9","1","1","3","3","2","2","2"
"T",34,30,6041666,"1","2","2","9","1","1","3","3","2","2","2"
"T",46,40,1425000,"1","2","6","9","1","1","1","1","1","0","0"
"N",29,28,800000,"1","2","2","9","1","4","1","3","1","2","2"
"N",78,80,25000,"1","2","6","9","4","4","0","0","1","0","0"
"N",52,44,1200000,"1","2","1","9","1","4","1","1","1","0","0"
"N",59,55,200000,"1","2","6","9","4","1","1","1","1","0","0"
"T",20,20,2232000,"1","2","2","9","1","4","1","3","2","2","2"
"T",48,42,980000,"2","1","2","9","4","1","0","0","2","0","0"
"T",50,54,1001666,"2","1","6","9","4","1","1","1","2","0","0"
"T",66,65,925148,"1","2","6","9","1","4","1","1","1","0","0"
"T",24,22,900000,"1","2","2","9","1","4","1","1","1","2","2"
"T",64,64,700000,"1","2","2","9","1","4","0","1","1","0","0"
"N",22,24,1280148,"1","2","1","9","1","4","1","1","1","2","2"
"T",58,55,923333,"1","2","2","9","2","1","1","1","2","0","0"
"N",25,20,2235666,"2","1","2","9","1","1","3","1","1","2","2"
"T",45,36,333333,"1","2","2","9","1","2","1","1","1","0","0"
"T",26,23,650000,"1","2","2","9","1","1","2","1","1","2","2"
"T",48,36,826116,"1","2","2","9","1","4","0","0","1","0","0"
"T",35,24,233333,"1","2","2","9","2","4","1","1","1","0","0"
"T",44,38,1300000,"2","1","2","9","4","1","1","1","2","1","0"
"T",21,25,325000,"1","2","2","9","1","4","1","3","1","0","0"
"T",41,45,466666,"1","2","2","9","2","4","1","1","1","0","0"
"N",47,60,600000,"1","2","2","9","1","4","1","1","2","2","0"
"T",42,57,750000,"1","2","2","9","1","4","1","0","1","0","0"
"T",54,54,600000,"1","2","2","9","1","4","1","0","1","0","0"
"N",55,51,200000,"1","2","6","9","4","4","1","1","2","0","0"
"T",35,24,1120000,"1","2","6","9","1","4","1","1","0","2","2"
"T",39,30,750000,"1","2","6","9","1","4","1","1","1","0","0"
"T",66,55,366666,"1","2","6","9","1","4","1","1","1","0","0"
"T",24,26,30000,"1","2","2","9","2","4","1","1","0","0","0"
"T",36,37,1600000,"1","2","2","9","1","4","1","1","1","0","0"
"T",85,75,12500,"1","2","6","9","4","4","1","1","1","0","0"
"T",40,43,500000,"1","2","6","9","6","4","1","1","1","0","2"
"T",33,28,350000,"1","2","2","9","6","4","1","1","1","0","2"
"N",58,58,8333,"2","1","6","9","4","5","1","1","1","0","0"
"T",21,33,458666,"2","1","2","9","1","1","1","1","1","0","0"
"T",45,36,1293333,"2","1","2","9","1","1","1","2","1","2","0"
"T",39,24,433333,"1","2","2","9","4","1","1","1","1","0","0"
"T",44,40,2889333,"1","2","2","9","1","4","3","1","1","2","2"
"T",30,26,600000,"1","2","2","9","1","6","1","1","1","2","2"
"T",41,32,200000,"1","2","2","9","4","4","1","1","1","0","0"
"T",34,33,1010000,"1","2","2","1","1","4","1","1","0","2","0"
"T",49,54,70106,"1","2","6","1","5","4","1","1","2","0","0"
"T",26,36,2309166,"2","1","2","1","4","1","1","1","2","2","2"
"T",64,62,994157,"2","1","2","1","4","1","1","1","3","2","2"
"T",38,34,900000,"1","2","2","1","1","4","1","3","0","2","2"
"T",55,56,1000000,"1","2","6","1","1","4","1","1","3","0","2"
"T",49,48,660000,"1","2","2","1","1","4","1","1","0","0","0"
"T",31,23,1400000,"1","2","2","1","1","4","1","1","0","2","0"
"T",55,53,800000,"1","2","2","1","1","4","3","1","3","0","0"
"T",30,43,98,"1","2","2","1","1","2","1","1","0","2","2"
"T",45,37,720000,"1","2","2","1","1","4","1","1","0","2","2"
"T",46,35,1000000,"1","2","2","1","1","2","1","3","3","2","2"
"T",44,43,500000,"1","2","6","1","1","4","1","1","2","0","2"
"T",33,36,3800000,"2","1","6","1","1","1","3","1","0","2","2"
"T",40,39,2366762,"1","2","2","1","1","1","1","3","2","2","2"
"T",41,44,1050000,"2","1","2","1","1","1","1","1","0","2","2"
"T",49,42,1538666,"1","2","6","1","1","4","1","1","2","2","2"
"T",28,28,1808333,"1","2","6","1","2","1","3","3","1","2","2"
"T",47,47,1800000,"2","1","6","1","1","1","1","1","1","0","0"
"T",59,53,98,"1","2","2","1","1","4","3","1","2","2","2"
"T",32,25,1498332,"1","2","6","1","1","1","1","3","2","2","2"
"N",40,50,800000,"1","2","2","1","1","4","1","1","2","2","2"
"N",24,31,1150000,"2","1","2","1","1","1","1","1","2","2","2"
"T",59,57,1091037,"1","2","6","1","1","5","1","1","2","2","2"
"T",33,35,650000,"1","2","2","1","1","4","1","1","2","2","2"
"T",42,41,3200000,"1","2","2","1","1","4","1","1","2","2","2"
"N",60,67,290000,"1","2","6","1","1","4","1","1","2","0","0"
"N",68,67,1573000,"1","2","2","1","1","6","1","0","2","0","0"
"N",51,51,1659616,"2","1","2","1","1","1","3","1","2","2","2"
"T",60,53,1716666,"1","2","6","1","4","4","1","0","3","1","0"
"N",52,56,4533791,"1","2","6","1","1","4","3","3","3","2","2"
"T",53,44,3400000,"1","2","2","1","1","4","3","3","3","2","2"
"N",72,76,70000,"2","1","6","1","5","5","1","1","3","0","0"
"T",27,34,3055365,"1","2","2","1","1","4","3","3","3","2","2"
"T",67,58,828116,"1","2","6","1","1","4","0","1","3","2","2"
"T",41,18,1030000,"1","2","2","1","1","4","1","1","3","2","2"
"T",40,31,400000,"1","2","6","1","1","4","1","1","3","0","2"
"T",43,24,828116,"1","2","2","1","1","4","1","1","2","2","2"
"T",33,39,1700000,"2","1","2","1","4","1","1","0","0","0","0"
"T",49,32,540000,"2","1","2","1","6","1","1","1","0","0","0"
"T",28,34,1593000,"2","1","2","1","1","1","3","3","0","2","2"
"T",33,33,1258416,"2","1","2","1","4","1","1","1","0","0","0"
"T",26,20,500000,"1","2","2","1","1","4","1","1","0","0","0"
"T",55,65,600000,"2","1","2","1","4","1","0","0","0","0","0"
"T",46,52,1452449,"2","1","2","1","1","1","3","1","0","1","0"
"T",21,23,300000,"2","1","2","1","4","1","1","1","0","0","0"
"T",22,26,550000,"1","2","2","1","1","4","1","1","0","0","0"
"T",32,29,750000,"1","2","2","1","1","3","1","3","1","2","2"
"T",51,44,98,"1","2","2","1","1","4","1","1","1","0","0"
"T",41,37,600000,"1","2","6","1","4","1","3","3","1","2","2"
"T",39,31,1400000,"1","2","6","1","1","1","1","3","1","2","2"
"T",26,40,0,"1","2","1","1","2","4","1","1","1","0","0"
"N",35,29,1570000,"1","2","2","1","1","1","1","2","1","2","2"
"T",34,30,825000,"1","2","6","1","2","1","3","1","1","2","2"
"T",45,49,7266666,"1","2","2","1","1","1","3","3","2","2","2"
"T",43,31,0,"1","2","2","1","6","4","3","3","2","2","2"
"T",32,26,630000,"1","2","2","1","1","1","1","3","2","0","2"
"T",40,36,1027500,"1","2","2","1","1","4","1","3","2","2","2"
"T",59,56,500000,"1","2","2","1","1","4","1","1","1","0","0"
"N",64,54,8971966,"2","1","6","1","6","4","3","1","1","2","0"
"N",73,62,480000,"1","2","6","1","1","4","1","1","1","0","0"
"T",44,36,900000,"1","2","6","1","1","2","1","3","1","0","2"
"T",70,64,1089232,"1","2","2","1","1","4","0","0","1","0","0"
"T",45,39,650000,"1","2","2","1","1","4","1","1","1","0","0"
"T",54,41,120000,"1","2","2","1","1","4","1","1","1","0","0"
"T",46,50,1280116,"1","2","2","1","1","1","1","1","1","2","0"
"T",52,50,566666,"1","2","2","1","1","1","1","1","1","0","0"
"T",43,41,958833,"1","2","2","1","1","4","1","1","1","0","0"
"N",65,67,80000,"1","2","2","1","1","4","0","0","1","0","0"
"T",53,31,1104698,"1","2","2","1","1","4","1","3","1","0","0"
"T",47,38,1304000,"1","2","2","1","1","4","3","1","1","2","0"
"T",43,44,1525148,"1","2","2","1","1","1","1","1","1","0","0"
"T",40,36,860000,"1","2","2","1","1","4","1","3","1","0","0"
"T",40,45,290000,"1","2","6","1","1","4","1","1","1","2","0"
"T",24,19,1031333,"1","2","2","1","1","4","1","1","1","0","0"
"T",30,45,1275000,"2","1","2","1","4","1","1","1","1","0","0"
"T",43,35,1016666,"1","2","2","1","1","1","1","1","1","2","2"
"T",32,44,1042666,"2","1","2","1","4","1","3","1","1","0","0"
"T",38,35,400000,"1","2","1","1","1","4","1","1","1","0","2"
"T",23,41,966666,"2","1","2","1","4","1","1","1","1","0","0"
"N",73,68,441666,"1","2","2","1","1","4","0","1","1","0","0"
"T",42,45,1841666,"2","1","2","1","4","1","2","3","1","0","0"
"T",74,71,16666,"1","2","2","1","6","4","1","0","3","0","0"
"T",72,72,894959,"1","2","6","1","4","4","1","1","3","0","0"
"T",44,39,2631630,"1","2","6","1","1","1","3","3","3","2","2"
"N",55,60,1165500,"1","2","2","1","1","4","1","1","2","0","0"
"T",28,29,9284166,"1","2","6","1","1","1","3","3","3","2","2"
"N",75,72,2058333,"1","2","6","1","4","4","3","3","3","0","2"
"T",63,57,1962620,"1","2","2","1","1","1","1","3","1","0","2"
"N",72,73,37500,"1","2","2","1","4","4","0","1","1","0","0"
"T",49,49,1749232,"1","2","2","1","1","1","1","1","1","0","0"
"T",64,50,275000,"1","2","2","1","4","1","1","0","1","0","0"
"N",59,47,700000,"1","2","6","1","4","4","1","1","1","0","0"
"T",67,57,1300000,"1","2","6","2","6","5","1","3","2","0","1"
"T",28,32,828116,"1","2","6","2","1","4","3","1","2","0","0"
"N",80,73,750000,"1","2","6","2","5","4","0","1","1","0","0"
"N",75,69,183333,"1","2","6","2","1","4","1","1","1","0","0"
"T",68,68,900000,"2","1","2","2","1","1","1","1","1","0","0"
"T",43,40,600000,"1","2","1","2","1","4","1","1","2","0","0"
"T",44,38,2000000,"1","2","6","2","1","4","1","1","2","2","2"
"N",44,49,1084333,"2","1","2","2","1","1","1","1","2","2","2"
"T",74,70,0,"1","2","6","2","4","4","1","1","2","0","0"
"N",44,43,198,"1","2","2","2","1","1","1","1","2","2","2"
"T",45,40,1133333,"1","2","6","2","1","1","1","1","2","2","2"
"T",36,34,1600008,"1","2","2","2","1","1","1","1","2","2","2"
"T",51,49,250115,"1","2","6","2","1","1","1","1","2","0","0"
"T",22,21,900000,"1","2","2","2","1","4","1","1","2","2","0"
"T",59,62,826106,"1","2","6","2","1","1","1","1","2","0","0"
"T",60,51,753800,"1","2","2","2","1","1","1","1","2","0","0"
"T",77,62,600000,"1","2","6","2","5","4","1","1","2","0","0"
"T",56,32,360000,"1","2","2","2","1","4","1","1","2","0","0"
"T",39,40,1201666,"1","2","6","2","1","2","1","3","2","2","2"
"T",43,43,2632500,"1","2","6","2","1","1","1","1","3","2","2"
"T",42,38,14666666,"1","2","6","2","1","1","3","3","3","2","2"
"T",69,60,546666,"1","2","6","2","1","4","1","1","2","0","0"
"N",62,59,974999,"1","2","6","2","1","4","1","1","3","2","2"
"T",24,24,828116,"1","2","1","2","1","2","1","1","2","2","2"
"T",49,40,98,"1","2","6","2","1","4","3","1","2","2","2"
"T",56,54,2500000,"1","2","2","2","1","1","1","3","2","2","2"
"T",65,50,1882500,"1","2","6","2","1","1","1","1","2","2","2"
"T",47,46,1441333,"1","2","6","2","1","4","1","1","2","2","2"
"T",67,56,986666,"1","2","6","2","4","1","0","1","2","0","0"
"T",36,28,2836333,"1","2","6","2","1","1","1","3","2","2","2"
"N",71,76,200000,"1","2","6","2","5","4","1","1","2","0","0"
"N",59,68,1823264,"1","2","6","2","1","6","1","1","2","0","0"
"T",36,33,2552000,"1","2","6","2","1","1","3","3","2","2","2"
"N",42,38,2120666,"2","1","2","2","1","1","1","1","2","2","2"
"T",52,54,1086500,"1","2","6","2","1","4","1","1","2","2","2"
"T",34,28,2003431,"1","2","2","2","1","1","1","1","2","1","2"
"N",18,18,950000,"1","2","2","2","1","4","1","3","2","2","2"
"N",58,57,3217666,"1","2","2","2","1","5","2","1","2","1","0"
"N",28,23,993314,"1","2","2","2","1","2","1","1","2","2","2"
"T",21,32,2000000,"1","2","2","2","1","4","1","3","2","2","2"
"T",70,70,1800000,"1","2","6","2","4","4","1","1","3","0","2"
"N",57,60,1516666,"1","2","2","2","4","4","1","1","3","2","2"
"T",34,34,3646822,"1","2","2","2","1","1","3","3","2","2","2"
"T",61,56,2367981,"1","2","6","2","1","1","1","1","2","2","0"
"T",31,28,2100000,"1","2","2","2","1","4","1","1","2","2","2"
"T",39,35,750000,"1","2","1","2","1","4","1","1","2","2","2"
"T",51,53,827000,"1","2","6","2","1","4","1","1","3","2","0"
"T",55,52,800000,"1","2","6","2","1","4","1","1","2","2","0"
"T",50,49,900000,"1","2","2","2","1","4","1","1","3","0","0"
"T",51,52,300000,"1","2","2","2","1","4","1","3","3","0","1"
"T",45,35,3696166,"1","2","2","2","1","1","1","3","3","0","2"
"T",54,52,820000,"1","2","6","2","1","4","1","1","3","0","0"
"N",40,22,1855000,"1","2","2","2","1","1","1","3","3","2","2"
"T",31,35,2679000,"1","2","2","2","1","1","1","3","3","0","2"
"N",64,64,750000,"1","2","6","2","1","4","1","1","2","0","0"
"T",63,55,320833,"1","2","6","2","1","4","1","1","2","0","1"
"N",54,62,730000,"2","1","2","2","1","1","1","1","2","0","0"
"T",64,69,720000,"1","2","6","2","1","4","1","1","2","0","0"
"T",60,56,300000,"1","2","6","2","1","2","1","1","2","0","0"
"T",45,44,50000,"1","2","2","2","1","4","1","1","3","2","2"
"T",32,30,2000000,"2","1","6","2","1","1","1","1","2","1","1"
"N",67,60,300000,"1","2","6","2","1","4","1","1","1","0","0"
"T",45,44,3200000,"1","2","6","2","1","1","1","1","2","0","0"
"T",64,63,800000,"1","2","2","2","1","4","1","1","2","2","0"
"T",32,27,3933333,"1","2","2","2","1","1","1","3","2","2","2"
"T",42,52,300000,"2","1","2","2","4","1","1","1","2","2","1"
"T",30,26,700000,"1","2","2","2","1","4","1","3","2","2","2"
"T",81,74,795833,"1","2","6","2","1","4","1","1","2","0","0"
"T",37,36,600000,"2","1","2","2","4","1","1","1","2","2","2"
"N",55,64,500000,"2","1","6","2","4","1","1","1","2","2","0"
"T",34,28,2896666,"2","1","2","2","1","1","1","1","2","2","2"
"T",51,41,900000,"1","2","6","2","1","1","1","1","1","2","0"
"T",43,39,1300000,"1","2","6","2","1","4","1","1","2","0","2"
"N",75,64,16666,"1","2","6","2","5","4","1","1","2","0","0"
"T",36,45,0,"1","2","2","2","1","4","2","3","2","2","2"
"T",22,21,840000,"2","1","2","2","4","1","1","1","2","0","0"
"N",66,70,240000,"1","2","2","2","1","4","1","1","2","0","0"
"T",22,30,880000,"2","1","1","2","2","1","1","2","2","2","2"
"T",29,19,1086666,"1","2","2","2","1","4","2","1","2","2","0"
"T",53,38,100000,"1","2","6","2","1","4","1","1","2","0","1"
"N",19,18,143750,"2","1","1","2","5","1","3","1","2","2","0"
"T",43,36,960000,"1","2","6","2","1","4","1","1","2","0","0"
"N",23,25,400000,"2","2","2","3","4","1","1","1","2","2","2"
"T",24,24,1000000,"1","2","2","3","1","3","1","3","2","2","2"
"T",31,22,1166666,"1","2","1","3","1","4","1","1","1","2","2"
"T",50,69,1500000,"2","1","2","3","4","5","1","1","1","0","0"
"T",30,36,79166,"1","2","2","3","6","4","1","1","1","2","2"
"T",40,37,2916666,"2","1","6","3","1","1","3","1","2","2","2"
"T",33,18,750000,"1","2","2","3","1","4","1","1","1","2","2"
"T",22,24,1000000,"2","1","2","3","4","1","3","2","1","2","0"
"T",55,32,650000,"1","2","2","3","2","4","1","1","1","0","2"
"T",23,33,820000,"1","2","1","3","1","4","1","1","1","0","2"
"T",33,33,1450000,"2","1","6","3","1","1","3","3","1","2","2"
"N",60,58,2462833,"1","2","6","3","1","1","1","3","2","2","2"
"T",56,53,2025332,"1","2","2","3","2","1","1","1","1","2","2"
"T",34,32,1200000,"1","2","2","3","1","4","1","1","1","0","0"
"T",53,56,1600000,"2","1","2","3","1","1","1","1","1","0","0"
"T",41,36,357000,"1","2","2","3","2","1","1","1","0","2","2"
"N",78,67,600000,"1","2","6","3","1","4","1","0","1","0","0"
"T",47,35,1000000,"1","2","2","3","1","4","1","1","1","0","0"
"T",35,26,500000,"1","2","2","3","1","4","1","1","1","0","0"
"T",51,46,520000,"1","2","6","3","1","4","1","1","1","0","0"
"T",22,27,500000,"2","1","2","3","4","1","1","1","1","2","2"
"T",47,51,98,"1","2","2","2","1","4","1","1","2","0","0"
"T",17,23,98,"1","2","2","2","1","4","1","3","2","2","0"
"N",61,51,12933333,"1","2","2","2","1","4","3","3","2","2","2"
"T",70,60,940764,"1","2","6","2","1","4","1","1","2","0","0"
"T",38,39,3700000,"1","2","6","2","3","1","3","3","3","2","2"
"T",42,45,2065332,"2","1","2","2","1","1","1","2","3","2","2"
"N",43,40,1500000,"1","2","2","2","1","4","1","1","3","0","0"
"T",50,52,5035000,"2","1","6","2","1","1","3","3","3","2","2"
"T",77,73,8854166,"1","2","6","2","6","6","3","1","5","2","0"
"T",78,73,5416666,"1","2","6","2","5","4","3","1","5","2","2"
"T",33,31,750000,"1","2","6","2","1","4","1","1","3","2","2"
"N",26,31,1208333,"1","2","2","2","1","4","1","1","3","2","2"
"T",29,30,1300000,"2","1","6","2","1","1","1","1","3","2","2"
"N",68,68,9004332,"1","2","6","2","1","5","1","3","5","2","2"
"T",53,85,160000,"2","1","6","2","1","1","0","1","1","2","0"
"N",68,69,66666,"2","1","6","2","4","4","1","1","1","0","0"
"T",31,26,1650000,"1","2","6","2","1","4","1","1","1","2","2"
"T",30,36,1660000,"1","2","2","2","1","2","1","1","2","2","2"
"N",63,62,2900000,"1","2","6","2","4","4","3","1","2","2","1"
"T",50,47,29166,"1","2","6","2","4","4","1","1","2","0","0"
"T",43,43,856000,"1","2","2","2","1","4","1","1","1","0","1"
"T",38,39,1100000,"2","1","6","2","4","1","1","1","1","0","0"
"T",37,48,2483333,"2","1","1","2","1","1","1","1","2","0","0"
"T",22,23,1822273,"2","1","2","2","1","1","1","1","2","2","2"
"T",42,36,1460000,"1","2","6","2","1","1","1","1","1","1","0"
"T",25,27,3225000,"2","1","2","2","4","1","1","3","1","2","2"
"T",55,41,350000,"1","2","6","2","1","4","1","1","1","0","2"
"N",58,58,350000,"1","2","6","2","1","4","1","1","1","0","0"
"T",38,40,828116,"1","2","2","2","2","1","1","3","2","2","2"
"T",43,42,3134910,"1","2","6","2","1","1","1","3","1","2","2"
"T",27,43,400000,"2","1","2","2","4","1","1","1","1","2","2"
"N",72,59,491666,"1","2","6","2","1","1","1","1","1","0","0"
"T",80,65,50000,"1","2","6","2","5","4","0","0","1","0","0"
"T",39,32,600000,"1","2","2","2","1","4","1","1","1","2","2"
"T",54,55,800000,"1","2","6","2","1","4","1","1","1","0","0"
"T",62,56,400000,"1","2","6","2","1","4","1","1","1","0","0"
"N",71,66,183333,"1","2","6","2","1","4","0","0","1","0","0"
"N",62,58,600000,"1","2","6","2","1","1","1","1","1","0","0"
"T",29,30,450000,"1","2","1","2","2","4","1","1","1","2","2"
"T",31,22,1190000,"1","2","2","2","1","4","1","3","1","2","2"
"T",42,51,650000,"1","2","2","2","1","1","0","1","1","0","0"
"N",60,71,900000,"1","2","2","2","1","4","1","0","1","0","0"
"N",58,53,997749,"2","1","2","2","1","1","1","1","1","0","0"
"T",41,30,490000,"2","1","2","2","2","2","1","1","1","0","0"
"T",37,34,600000,"1","2","6","2","1","1","1","1","1","0","0"
"T",29,25,3270000,"1","2","2","2","1","1","3","1","2","2","2"
"T",57,40,1400000,"1","2","2","2","1","1","1","1","1","0","0"
"N",58,66,783333,"2","1","6","2","4","1","1","1","1","0","0"
"N",49,50,615000,"1","2","2","2","2","1","1","1","1","2","0"
"T",23,33,400000,"2","1","2","2","4","1","3","1","1","2","0"
"N",37,28,2348333,"1","2","1","2","1","1","1","1","1","2","2"
"T",47,41,150000,"1","2","2","2","1","4","1","1","1","2","0"
"T",36,40,100000,"1","2","1","2","6","4","2","3","3","0","2"
"T",29,27,510000,"1","2","6","2","1","4","1","3","3","2","0"
"T",41,42,900000,"1","2","2","2","1","4","1","3","3","2","2"
"T",55,52,5369166,"1","2","6","2","1","1","3","3","3","2","2"
"T",24,28,975000,"2","1","2","2","4","1","1","1","2","2","2"
"N",24,28,975000,"1","2","2","2","1","4","1","3","2","2","2"
"T",64,58,1000000,"1","2","6","2","6","4","1","1","2","0","0"
"T",26,27,964449,"1","2","2","2","1","4","1","1","2","2","2"
"T",34,35,2800000,"1","2","6","2","1","1","1","3","2","2","2"
"N",44,23,1300000,"1","2","2","2","1","1","1","1","2","2","2"
"T",30,28,1907333,"1","2","6","2","1","4","1","3","2","2","2"
"N",50,73,25000,"2","1","6","2","4","5","1","1","3","2","0"
"T",62,76,1400000,"2","1","2","2","1","1","1","1","2","0","0"
"T",35,33,2250000,"1","2","2","2","1","4","1","1","2","2","2"
"N",44,20,975000,"1","2","2","2","1","4","1","1","2","2","2"
"N",70,71,600000,"1","2","6","2","1","4","1","0","1","0","0"
"T",43,42,500000,"1","2","6","2","1","4","1","1","1","0","0"
"T",56,55,1200000,"1","2","6","2","1","4","1","1","1","0","0"
"T",34,47,480000,"2","1","2","2","4","1","1","1","1","0","0"
"N",80,70,41666,"1","2","6","2","5","4","0","1","1","0","0"
"T",42,38,3958333,"1","2","2","2","1","1","1","3","1","2","2"
"N",58,64,1730000,"1","2","6","2","1","1","1","3","1","0","2"
"N",28,41,220833,"1","2","2","2","2","4","1","1","1","0","0"
"N",61,62,1000000,"1","2","6","2","1","4","0","0","1","0","0"
"N",75,77,600000,"1","2","2","2","1","4","1","1","1","0","0"
"N",38,49,1303333,"2","1","6","2","4","1","1","1","2","0","0"
"T",75,69,500000,"1","2","6","2","2","4","0","0","2","0","0"
"T",49,47,825000,"1","2","6","2","1","4","1","1","1","2","2"
"T",40,33,1840000,"1","2","2","2","1","4","1","1","1","1","1"
"T",46,34,2283333,"1","2","2","2","1","4","1","1","1","0","0"
"T",62,60,4250000,"1","2","2","2","1","4","1","1","2","0","0"
"T",44,39,1960833,"1","2","6","4","1","1","1","1","1","2","2"
"T",70,63,1000000,"1","2","2","4","1","1","1","1","1","0","0"
"T",48,49,2000000,"2","1","6","4","4","1","1","1","1","2","2"
"T",42,42,0,"1","2","6","4","5","4","1","1","1","0","0"
"T",69,62,0,"1","2","6","4","4","4","1","0","1","0","0"
"T",36,32,150000,"1","2","2","4","1","4","1","1","1","2","2"
"T",76,61,0,"1","2","6","4","4","4","1","1","1","0","0"
"T",42,37,1300000,"1","2","2","4","1","4","1","1","1","2","2"
"T",37,40,250000,"2","1","6","4","4","1","3","1","1","2","2"
"T",36,36,920833,"1","2","2","4","1","4","2","1","1","2","2"
"T",23,25,760000,"1","2","2","4","1","4","1","1","1","2","2"
"T",44,39,600000,"2","1","6","4","4","1","1","1","1","0","0"
"T",57,37,1447032,"1","2","6","4","1","4","1","1","1","2","2"
"T",30,24,1975148,"2","1","2","4","4","1","1","1","1","1","2"
"T",33,36,975000,"1","2","2","4","1","4","1","1","1","2","2"
"T",73,72,66666,"1","2","2","4","5","4","1","1","1","0","0"
"N",49,36,1165148,"1","2","2","4","1","1","1","1","1","2","2"
"T",55,52,300000,"1","2","2","4","1","4","1","1","1","0","0"
"T",54,52,800000,"1","2","6","4","1","1","1","1","1","0","0"
"T",27,30,828116,"1","2","2","4","1","4","3","1","1","2","2"
"T",92,88,958333,"1","2","6","4","5","4","1","1","1","0","0"
"T",54,54,3805481,"1","2","6","4","1","1","1","3","1","2","2"
"N",49,45,200000,"2","1","2","4","4","1","1","1","1","0","0"
"N",75,70,2470000,"1","2","6","4","1","4","1","3","1","0","0"
"T",64,58,99,"1","2","2","4","1","4","1","1","2","0","0"
"T",48,61,504166,"2","1","2","3","4","1","1","1","2","2","2"
"T",38,32,1300000,"1","2","6","3","1","4","3","3","1","2","2"
"T",48,27,3200197,"1","2","2","3","1","1","1","3","2","2","2"
"N",36,41,897125,"1","2","2","3","1","4","1","1","2","2","2"
"T",33,21,50000,"1","2","2","3","2","4","1","1","1","0","2"
"T",32,26,66666,"2","1","2","3","4","2","1","1","2","0","0"
"N",69,45,500000,"1","2","2","3","4","1","1","1","2","0","0"
"T",40,35,1250000,"1","2","6","3","1","4","3","1","2","2","2"
"T",57,58,100000,"1","2","6","3","1","4","1","1","2","0","0"
"T",63,64,250000,"1","2","6","3","1","4","1","1","1","0","0"
"T",27,27,2207500,"1","2","1","3","1","4","3","3","1","2","2"
"T",53,40,4750000,"1","2","6","3","1","1","3","3","2","2","2"
"N",59,41,2700000,"1","2","1","3","1","4","1","3","1","2","2"
"T",35,36,1025000,"1","2","6","3","4","4","1","1","2","0","2"
"T",44,47,950000,"1","2","1","3","1","4","1","1","2","0","0"
"T",38,28,1000000,"1","2","2","3","2","4","3","1","2","2","2"
"N",71,67,41666,"1","2","6","3","5","4","1","1","2","0","0"
"N",72,71,9924999,"1","2","6","3","5","4","3","3","3","2","2"
"T",60,71,50000,"2","1","6","3","6","5","1","1","1","0","0"
"T",62,56,500000,"1","2","6","3","1","4","1","1","2","0","2"
"N",53,48,3316666,"1","2","6","3","1","1","3","3","2","2","2"
"T",50,62,2625000,"2","1","6","3","1","1","3","1","2","2","0"
"T",42,40,1988314,"1","2","6","3","6","1","3","3","3","1","0"
"T",42,49,500000,"2","1","6","3","1","1","1","1","3","2","2"
"T",58,45,800000,"1","2","6","3","1","4","1","1","3","0","2"
"N",56,44,1024407,"1","2","2","3","1","4","1","1","3","2","0"
"T",73,68,900000,"1","2","2","3","1","4","1","1","1","0","0"
"N",54,60,1150000,"2","1","2","3","1","1","1","1","2","0","0"
"T",44,36,750000,"1","2","6","3","1","4","1","1","2","0","0"
"N",44,58,1350000,"1","2","2","3","1","4","1","1","2","0","0"
"N",55,51,828116,"1","2","6","3","1","4","1","1","2","0","0"
"N",64,62,908333,"1","2","6","3","1","6","1","1","1","0","0"
"T",27,23,980000,"1","2","2","3","1","1","1","1","1","0","2"
"N",32,22,1972000,"1","2","1","3","1","1","1","1","1","0","2"
"T",50,42,950000,"1","2","2","3","1","1","1","1","1","0","0"
"T",27,36,856666,"1","2","2","3","6","1","1","1","2","2","0"
"T",56,51,1012500,"1","2","6","3","1","4","1","1","2","2","2"
"N",73,68,109999,"1","2","6","3","5","4","1","1","2","0","0"
"T",55,36,800000,"1","2","2","3","1","4","1","1","1","2","2"
"T",65,63,500000,"1","2","6","3","1","4","1","1","2","0","0"
"T",40,44,850000,"1","2","2","3","1","4","1","1","2","0","0"
"T",59,60,800000,"1","2","6","3","6","4","1","1","2","0","0"
"T",38,30,1000000,"1","2","2","3","1","4","1","1","2","0","0"
"N",53,48,1400000,"1","2","2","3","1","1","0","1","2","2","0"
"T",36,45,800000,"1","2","2","3","1","4","1","1","2","0","0"
"N",52,57,800000,"1","2","6","3","1","4","1","1","2","2","2"
"T",65,66,887333,"1","2","6","3","5","4","1","0","2","2","0"
"T",84,66,0,"1","2","6","3","5","4","1","1","2","0","0"
