"Hijos","Edad.Jefe","Edad.Conyuge","Ingresos.totales","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Region","Trabajo.Jefe","Trabajo.conyuge","Edu.Jefe","Edu.Conyuge","Estrato.vivienda","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge"
"T",46,41,828116,"1","2","6","1","1","4","1","3","1","0","0"
"N",63,62,500000,"1","2","6","1","1","4","1","1","1","0","0"
"N",60,60,2375000,"1","2","6","5","1","4","3","3","3","2","2"
"N",57,59,3250000,"2","1","2","5","4","1","1","3","3","2","2"
"N",85,72,0,"1","2","2","3","5","4","0","0","2","0","0"
"T",39,40,2000000,"1","2","6","3","1","4","1","1","2","2","2"
"T",32,33,400000,"1","2","2","3","1","4","1","1","1","2","2"
"T",20,35,780000,"1","2","2","3","1","4","1","1","1","0","0"
"N",29,27,800000,"1","2","2","3","1","4","1","1","1","0","2"
"N",39,19,1200000,"1","2","1","3","1","4","1","3","1","2","2"
"T",34,35,1329166,"1","2","6","3","1","4","3","3","1","2","2"
"T",26,35,2140000,"1","2","6","3","1","1","1","3","2","2","2"
"T",28,23,1750000,"1","2","1","3","1","4","3","1","3","2","2"
"T",50,45,600000,"1","2","2","3","1","4","1","1","1","0","0"
"T",47,42,390000,"1","2","2","3","1","4","1","1","1","0","2"
"N",25,16,300000,"1","2","2","3","1","4","1","3","1","0","2"
"T",44,42,1090000,"1","2","2","3","1","4","1","3","3","2","2"
"T",41,51,800000,"2","1","2","3","4","1","3","1","3","2","0"
"T",40,31,400000,"1","2","2","3","2","1","1","1","1","0","1"
"N",61,55,183333,"1","2","6","3","4","4","1","1","1","2","2"
"T",26,22,620000,"1","2","2","3","1","4","3","3","1","0","0"
"T",54,42,1000000,"1","2","2","3","1","4","1","1","1","2","2"
"T",48,45,1300000,"1","2","6","3","1","1","1","1","1","2","2"
"N",43,50,0,"1","2","2","3","2","4","1","1","2","0","0"
"T",53,42,880000,"1","2","6","3","1","4","1","1","3","0","0"
"T",45,41,50000,"1","2","2","3","2","4","1","1","1","0","0"
"T",38,27,3216250,"1","2","6","3","1","1","1","1","1","2","2"
"N",71,64,300000,"1","2","6","3","1","4","1","1","2","0","0"
"N",62,62,2066666,"1","2","6","3","1","4","0","1","2","0","0"
"T",59,51,300000,"1","2","6","3","1","4","1","1","1","0","0"
"N",32,42,2700000,"1","2","2","3","1","4","1","1","1","2","2"
"T",28,26,1000000,"1","2","2","3","1","4","1","1","1","2","0"
"T",44,46,750000,"2","1","6","3","1","1","1","1","1","2","2"
"T",49,43,1272333,"1","2","6","3","1","1","1","3","1","2","2"
"T",46,35,1500000,"1","2","6","3","1","4","1","1","2","0","0"
"N",62,61,30098,"1","2","6","3","1","4","1","1","1","0","0"
"T",31,21,1633333,"1","2","2","3","1","4","1","1","1","0","1"
"T",20,20,1500000,"1","2","2","3","1","4","1","1","1","0","0"
"T",45,38,3633333,"1","2","6","3","1","4","1","1","1","0","0"
"T",35,31,896666,"2","1","2","3","4","1","1","1","2","2","2"
