"Hijos","Edad.Jefe","Ingresos.totales","Sexo.Jefe","Region","Trabajo.Jefe","Edu.Jefe","Uso.tecnologia.Jefe","Estrato.vivienda","Tipo.Union"
"N",53,300000,"2","3","1","1","0","1","3"
"N",48,200000,"2","3","2","1","0","1","4"
"N",85,816911,"2","3","4","1","0","2","3"
"T",58,3300000,"2","3","1","3","2","2","4"
"T",48,150000,"2","3","4","1","2","1","4"
"N",63,300000,"2","3","5","1","0","2","3"
"N",80,166666,"2","3","4","1","0","2","3"
"N",73,650000,"2","3","4","1","0","3","4"
"N",38,1600000,"1","3","1","1","2","1","5"
"N",28,950000,"1","3","1","1","2","2","2"
"T",36,1337666,"2","3","1","3","2","1","3"
"T",53,0,"2","3","4","1","2","2","5"
"T",40,1239782,"2","3","1","1","0","2","4"
"T",55,0,"2","3","4","1","0","2","3"
"T",33,473000,"2","3","1","1","2","2","5"
"N",50,828116,"2","3","1","1","2","2","5"
"T",76,100000,"2","3","4","1","0","2","3"
"N",40,4036333,"1","3","1","3","2","2","5"
"T",67,0,"2","3","4","1","0","3","5"
"T",61,1300000,"2","3","6","1","0","3","4"
"N",49,200000,"2","3","1","1","0","3","5"
"T",31,2780833,"2","3","1","3","2","2","4"
"T",85,0,"2","3","4","1","0","2","4"
"N",33,5000000,"1","3","1","3","2","3","5"
"T",58,0,"2","2","4","1","2","3","5"
"T",96,1666666,"2","2","5","1","0","3","3"
"N",41,1550000,"2","2","1","3","2","3","5"
"N",18,395833,"2","2","3","3","2","3","5"
"T",37,250000,"2","2","4","1","2","3","5"
"T",36,2301407,"2","2","1","3","2","3","5"
"N",60,16666,"2","2","4","1","0","2","3"
"N",82,8333,"2","2","4","1","0","2","3"
"N",62,1300000,"1","2","1","1","0","2","4"
"N",54,600000,"2","2","1","1","0","2","5"
"N",63,0,"1","2","6","1","2","2","4"
"N",76,500000,"1","2","1","1","0","2","1"
"N",68,0,"2","2","4","1","0","2","6"
"N",58,115000,"2","2","1","1","0","2","4"
"T",42,300000,"2","2","1","1","0","2","4"
"N",42,300000,"1","2","1","1","0","2","5"
"N",62,33333,"2","2","4","1","0","2","4"
"T",52,5042100,"2","2","1","3","2","3","4"
"T",41,300000,"2","2","1","1","0","2","5"
"N",85,8000000,"1","2","4","3","0","2","3"
"N",34,550000,"1","2","1","1","0","2","5"
"N",88,33333,"2","2","5","0","0","2","3"
"N",63,1400000,"2","2","4","2","2","3","4"
"T",35,1500000,"2","2","4","3","2","3","2"
"T",27,3125000,"2","2","1","3","2","3","5"
"T",54,0,"2","2","4","1","0","1","5"
"N",56,816666,"1","2","1","1","0","1","4"
"N",72,4166,"1","2","4","1","0","0","4"
"N",81,0,"2","2","4","1","0","1","4"
"N",52,1000000,"1","2","1","0","0","0","4"
"N",66,4166,"2","2","4","0","0","2","4"
"T",46,750000,"2","2","1","0","0","2","4"
"N",65,25000,"2","2","4","1","0","2","3"
"T",58,25000,"2","2","4","1","2","4","4"
"T",30,1035116,"2","2","1","2","2","2","4"
"T",48,200000,"2","2","4","1","2","2","4"
"T",32,600000,"2","2","1","3","2","2","4"
"T",50,550000,"2","2","1","1","0","2","4"
"T",74,1028116,"1","2","4","1","2","2","3"
"T",58,828116,"1","2","1","1","2","2","4"
"T",70,2800000,"2","2","4","1","0","2","3"
"T",44,250000,"2","2","1","1","2","2","4"
"N",44,1774833,"2","2","1","3","2","2","4"
"T",26,20833,"2","2","1","2","2","1","5"
"T",68,70833,"2","2","4","1","0","1","3"
"N",39,750000,"1","2","1","3","2","2","4"
"T",37,828116,"2","2","1","1","0","2","4"
"N",57,25000,"2","2","4","0","0","2","3"
"T",68,828000,"2","2","6","1","0","2","3"
"T",31,708333,"2","2","1","1","2","1","5"
"N",69,0,"2","2","4","1","0","2","5"
"N",20,800000,"1","2","1","1","2","2","5"
"N",56,1800000,"1","2","1","1","2","2","4"
"T",56,584000,"2","2","4","1","2","3","3"
"N",66,500000,"1","2","1","1","2","2","5"
"N",68,828116,"1","2","1","1","0","2","4"
"T",55,0,"2","2","4","1","2","2","5"
"T",64,3400000,"2","2","4","3","2","3","5"
"N",25,1750000,"1","2","1","3","2","3","5"
"T",71,0,"2","2","4","1","2","2","4"
"N",40,1800000,"1","2","1","1","2","2","4"
"T",78,0,"2","2","5","1","0","2","5"
"N",42,1400000,"1","2","2","1","0","2","5"
"T",40,100098,"2","2","1","1","0","2","2"
"N",46,700000,"1","2","1","2","2","2","5"
"T",82,0,"2","2","6","1","0","3","5"
"T",54,66666,"2","2","4","1","2","2","4"
"T",88,2291,"2","2","4","1","0","3","3"
"N",21,800000,"1","2","1","3","2","2","5"
"T",58,83333,"2","7","4","1","0","4","3"
"N",69,5458333,"2","7","4","3","2","4","3"
"N",42,1000000,"2","7","1","3","2","4","5"
"N",73,3308333,"2","7","4","3","2","5","4"
"N",59,8507916,"2","7","1","3","2","4","5"
"N",73,5201149,"2","7","6","3","2","6","5"
"T",73,5958333,"2","7","4","3","0","5","4"
