Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7121951-1;0;2;5;49;3;2;3;1;550000;0;1;1;2;1;38000;0
7121954-1;1;2;4;31;3;2;2;1;2780833;2;3;1;3;1;30000;1
7121956-1;1;2;4;85;3;2;2;4;525000;0;1;1;3;2;19000;0
7121959-1;0;1;5;33;3;1;3;1;5000000;2;3;1;4;1;30000;2
7121964-1;1;2;5;58;2;2;3;4;2500000;2;1;1;3;2;110000;2
7121966-1;1;2;3;96;2;4;3;5;8293750;0;1;1;8;3;98000;2
7121967-1;0;2;5;41;2;1;3;1;1550000;2;3;1;2;1;0;0
7121967-2;0;2;5;18;2;1;3;3;395833;2;3;1;1;1;0;0
7121968-1;1;2;5;37;2;2;3;4;700000;2;1;1;3;2;23000;0
7121969-1;2;2;5;36;2;3;3;1;2801407;2;3;1;3;2;27000;1
7121970-1;0;2;3;60;2;1;2;4;139166;0;1;1;2;1;20000;0
7121971-1;0;2;3;82;2;1;2;4;453333;0;1;1;2;1;40000;0
7121972-1;0;1;4;62;2;1;2;1;1400000;0;1;1;2;1;6000;0
7121973-1;0;2;5;54;2;1;2;1;600000;0;1;1;3;1;14000;1
7121979-1;0;1;4;63;2;1;2;6;250000;2;1;1;3;1;22000;0
7121980-1;0;1;1;76;2;2;2;1;1400000;0;1;1;6;2;20000;1
7121982-1;0;2;6;68;2;2;2;4;111666;0;1;1;3;2;35000;2
7121984-1;0;2;4;58;2;1;2;1;115000;0;1;1;3;1;10000;0
7121989-1;2;2;4;42;2;3;2;1;420000;0;1;1;3;2;15000;0
7121989-2;0;1;5;42;2;2;2;1;500000;0;1;1;2;1;32000;0
7121990-1;0;2;4;62;2;1;2;4;533333;0;1;1;3;1;32000;1
7121993-1;1;2;4;52;2;2;3;1;5462933;2;3;1;3;2;50000;2
7122002-1;1;2;5;41;2;2;2;1;360000;0;1;1;2;1;30000;0
7122003-1;0;1;3;85;2;1;2;4;13000000;0;3;1;3;1;60000;3
7122008-1;0;1;5;34;2;1;2;1;550000;0;1;1;4;3;93333;0
7122009-1;0;2;3;88;2;1;2;5;583333;0;0;1;4;3;13333;0
7122010-1;0;2;4;63;2;1;3;4;1830000;2;2;1;3;1;45000;1
7122020-1;3;2;2;35;2;4;3;4;1635000;2;3;1;4;3;70000;0
7122023-1;1;2;5;27;2;3;3;1;3158333;2;3;1;2;2;60000;1
7122025-1;1;2;5;54;2;3;1;4;775000;0;1;1;4;3;27000;2
7122030-1;0;1;4;56;2;1;1;1;716666;0;1;1;3;1;19000;1
7122031-1;0;1;4;72;2;1;0;4;164166;0;1;1;3;1;10000;0
7122033-1;0;2;4;81;2;1;1;4;260000;0;1;1;3;1;19000;0
7122035-1;0;1;4;52;2;1;0;1;1300000;0;0;1;3;1;19000;0
7122036-1;0;2;4;66;2;1;2;4;279166;0;0;1;4;1;45000;0
7122038-1;2;2;4;46;2;3;2;1;828333;0;0;1;3;2;42000;2
7122040-1;0;2;3;65;2;4;2;4;774166;0;1;1;5;4;0;0
7122046-1;1;2;4;58;2;2;4;4;2793500;2;1;1;3;2;60000;1
7122055-1;2;2;4;30;2;3;2;1;1156616;2;2;1;4;2;35000;2
7122058-1;2;2;4;48;2;3;2;4;1000000;2;1;1;3;2;53000;1
7122066-1;3;2;4;32;2;4;2;1;1241666;2;3;1;3;2;38000;2
7122068-1;1;2;4;50;2;2;2;1;550000;0;1;1;3;2;40000;0
7122072-1;1;1;3;74;2;3;2;4;1528116;2;1;1;6;4;58000;0
7122072-2;1;1;4;58;2;2;2;1;870616;2;1;1;2;1;0;1
7122073-1;1;2;3;70;2;2;2;4;3300000;0;1;1;6;2;47000;1
7122073-2;2;2;4;44;2;3;2;1;359166;2;1;1;2;1;0;0
7122074-1;0;2;4;44;2;1;2;1;1774833;2;3;1;1;1;0;1
7122075-1;1;2;5;26;2;2;1;1;345833;2;2;1;3;2;16000;1
7122077-1;2;2;3;68;2;3;1;4;2561833;0;1;1;5;3;26000;0
7122080-1;0;1;4;39;2;1;2;1;854000;2;3;2;3;1;0;0
7122080-2;2;2;4;37;2;3;2;1;952867;0;1;1;2;1;0;0
7122084-1;0;2;3;57;2;1;2;4;225000;0;0;1;3;1;28000;0
7122085-1;1;2;3;68;2;2;2;6;1828000;0;1;1;3;2;22000;1
7122087-1;2;2;5;31;2;4;1;1;1288333;2;1;1;4;3;60000;2
7122103-1;0;2;5;69;2;2;2;4;1284366;0;1;1;4;2;72000;0
7122104-1;0;1;5;20;2;1;2;1;800000;2;1;1;1;1;0;0
7122105-1;0;1;4;56;2;1;2;1;2200000;2;1;1;4;1;46000;1
7122113-1;1;2;3;56;2;3;3;4;3025728;2;1;1;5;3;103000;0
7122119-1;0;1;5;66;2;1;2;1;1000000;2;1;1;2;1;75000;1
7122121-1;0;1;4;68;2;1;2;1;928116;0;1;1;1;1;20000;0
7122125-1;1;2;5;55;2;2;2;4;1325148;2;1;1;3;2;68000;2
7122127-1;1;2;5;64;2;4;3;4;19100000;2;3;1;4;2;130000;2
7122128-1;0;1;5;25;2;4;3;1;3975000;2;3;2;5;3;63000;0
7122131-1;1;2;4;71;2;4;2;4;1855365;2;1;1;3;2;70000;1
7122136-1;0;1;4;40;2;1;2;1;1800000;2;1;1;1;1;0;0
7122137-1;1;2;5;78;2;2;2;5;1092500;0;1;1;5;2;52000;1
7122139-1;0;1;5;42;2;1;2;2;1700000;0;1;1;2;1;30000;0
7122140-1;1;2;2;40;2;2;2;1;145000;0;1;1;2;1;38600;1
7122146-1;0;1;5;46;2;1;2;1;700000;2;2;1;1;1;20000;0
7122147-1;1;2;5;82;2;3;3;6;1208333;0;1;1;4;2;120000;1
7122149-1;3;2;4;54;2;4;2;4;366666;2;1;1;3;2;70000;0
7122150-1;1;2;3;88;2;4;3;4;3567791;0;1;1;4;3;130000;1
7122157-1;0;1;5;21;2;1;2;1;800000;2;3;2;2;1;30000;0
7122163-1;2;2;3;58;7;3;4;4;2632000;0;1;1;3;3;80000;2
7122168-1;0;2;3;69;7;1;4;4;6658333;2;3;1;3;1;86000;1
7122172-1;0;2;5;42;7;1;4;1;1800000;2;3;1;4;1;58000;1
7122173-1;0;2;4;73;7;1;5;4;4508333;2;3;1;4;1;55086;1
7122176-1;0;2;5;59;7;1;4;1;8507916;2;3;1;3;1;85000;1
7122180-1;0;2;5;73;7;1;6;6;8201149;2;3;1;3;1;40900;1
7122184-1;3;2;4;73;7;5;5;4;22030833;0;3;1;7;4;300000;2
7122193-1;0;2;3;59;7;1;1;5;25000;0;1;1;3;1;37000;1
7122198-1;1;2;4;43;7;2;2;4;2741666;2;1;1;3;2;22000;1
7122201-1;1;2;4;27;7;3;3;1;10500000;2;3;1;5;2;130000;2
7122206-1;0;1;5;26;7;1;3;1;2858333;2;1;1;3;1;28950;1
7122208-1;0;1;4;71;7;1;0;1;280000;0;1;1;1;1;0;0
7122212-1;0;2;3;60;7;1;1;1;2083333;2;0;1;2;1;56000;0
7122213-1;0;1;5;23;7;2;1;1;2626198;2;2;1;5;2;45000;3
7122214-1;1;2;4;47;7;2;1;1;780000;2;1;1;4;2;80000;1
7122221-1;1;2;3;39;7;3;3;1;757500;2;3;1;4;2;56000;0
7122222-1;1;2;3;57;7;2;3;4;1888000;0;1;1;4;2;80000;1
7122223-2;1;2;4;36;7;2;1;1;400000;2;1;1;2;1;10000;0
7122227-1;1;2;5;32;7;4;1;1;1835000;2;1;1;3;2;30000;3
7122228-1;1;2;4;45;7;2;1;1;500000;2;1;1;2;1;90000;0
7122242-1;0;2;3;60;4;3;3;1;845000;2;1;1;8;3;62000;2
7122245-1;1;2;4;38;4;2;3;2;365000;2;1;1;1;1;35000;1
7122246-1;0;2;4;62;4;1;3;1;7665000;2;3;1;3;1;58000;1
7122248-1;0;2;5;18;4;1;3;3;533333;2;3;1;3;1;30000;1
7122249-1;0;1;3;70;4;3;3;1;2774166;0;1;1;6;1;135000;2
7122251-1;1;1;3;49;4;2;2;1;2794166;2;3;1;3;2;36000;0
7122257-1;2;2;4;54;4;5;3;4;6954666;0;1;1;4;3;58000;0
7122258-1;0;1;4;55;4;1;3;1;500000;2;3;1;1;1;10000;0
7122259-1;0;2;3;76;4;1;3;4;1574916;0;1;1;4;1;110000;1
