Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Energia;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;
7121651-1;0;1;1;;;5;56;;1;1;1;4;;0;;1;;
7121652-1;2;1;1;2;2;6;37;38;1;1;1;4;1;2;2;1;3;
7121653-1;2;1;1;2;2;6;54;52;1;1;1;1;4;0;0;1;1;
7121654-1;0;1;2;;;4;57;;1;1;1;4;;0;;1;;
7121658-1;3;1;2;2;1;2;34;34;1;1;0;1;1;0;0;1;1;
7121659-1;0;1;2;;;4;70;;1;1;1;4;;0;;1;;
7121660-1;2;1;2;2;1;2;31;34;1;1;1;4;1;2;1;1;1;
7121662-1;1;1;2;;;4;62;;1;1;1;4;;0;;1;;
7121663-1;3;1;1;2;2;2;38;37;1;1;1;2;4;2;1;1;1;
7121664-1;2;1;1;2;2;6;24;25;1;1;1;1;4;2;1;1;1;
7121665-1;0;1;2;;;4;59;;1;1;1;4;;0;;1;;
7121666-1;1;1;2;2;1;2;31;24;1;1;1;4;1;2;2;1;1;
7121667-1;1;1;2;2;1;2;19;22;1;1;1;3;1;1;1;3;1;
7121669-1;4;1;1;2;2;2;45;28;1;1;1;1;4;0;0;0;1;
7121670-1;0;1;2;;;2;51;;1;1;1;1;;2;;1;;
7121674-1;1;1;1;2;2;2;59;27;1;1;4;1;4;0;2;1;1;
7121676-1;0;1;1;2;2;2;70;63;1;1;4;1;2;0;0;1;0;
7121678-1;0;1;1;;;4;57;;1;1;4;1;;0;;1;;
7121681-1;0;1;1;;;6;52;;1;1;4;1;;2;;1;;
7121682-1;3;1;1;2;2;6;44;41;1;1;4;1;4;0;0;0;0;
7121683-1;0;1;1;;;4;52;;1;1;4;1;;0;;1;;
7121687-1;1;1;2;;;4;47;;1;1;2;4;;0;;1;;
7121689-1;0;1;1;2;2;6;48;26;1;1;2;1;4;2;2;1;3;
7121690-1;2;1;2;;;2;36;;1;1;2;4;;2;;3;;
7121691-1;1;1;2;;;3;71;;1;1;2;4;;0;;1;;
7121693-1;2;1;1;2;2;6;51;55;1;1;2;1;4;0;0;3;3;
7121694-1;2;1;2;2;1;2;31;33;1;1;2;2;1;2;2;3;1;
7121695-1;2;1;2;;;4;35;;1;1;2;4;;2;;3;;
7121697-1;2;1;2;2;1;2;33;38;1;1;2;4;1;2;2;1;1;
7121698-1;1;1;2;2;1;2;21;28;1;1;2;4;1;0;0;1;1;
7121699-1;2;1;1;2;2;2;32;26;1;1;2;1;4;2;0;3;1;
7121700-1;3;1;2;;;4;31;;1;1;2;1;;2;;3;;
7121701-1;3;1;1;;;4;41;;1;1;2;1;;2;;3;;
7121702-1;1;1;2;;;3;76;;1;1;2;4;;0;;0;;
7121703-1;1;1;2;;;3;72;;1;1;2;4;;0;;1;;
7121704-1;0;1;2;2;1;2;62;69;1;1;2;4;5;0;0;1;1;
7121705-1;3;1;1;2;2;2;56;56;1;1;2;1;4;1;2;1;1;
7121706-1;2;1;1;2;2;2;58;45;1;1;2;5;1;0;0;1;1;
7121707-1;0;1;1;2;2;2;57;62;1;1;2;1;4;0;0;1;0;
7121709-1;1;1;1;2;2;2;30;41;1;1;1;2;4;0;0;0;1;
7121710-1;1;1;2;2;1;1;46;38;1;1;0;4;1;0;0;1;0;
7121712-1;2;1;1;2;2;2;73;47;1;1;0;1;4;0;0;0;0;
7121713-1;3;1;1;2;2;2;49;38;1;1;1;1;4;0;0;1;1;
7121714-1;0;1;2;;;5;71;;1;1;2;4;;0;;1;;
7121715-1;2;1;2;;;5;30;;1;1;0;2;;0;;1;;
7121716-1;0;1;1;;;4;53;;1;1;2;4;;0;;1;;
7121718-1;0;1;1;2;2;6;69;63;1;1;2;1;1;0;0;3;3;
7121719-1;4;1;1;2;2;2;38;47;1;1;0;1;4;0;0;1;1;
7121720-1;2;1;1;2;2;2;35;26;1;1;2;1;4;0;0;1;1;
7121721-1;3;1;2;;;5;30;;1;1;1;1;;0;;1;;
7121722-1;2;1;2;;;4;43;;1;1;0;1;;0;;1;;
7121723-1;3;1;2;2;1;2;30;32;1;1;1;4;1;0;0;1;1;
7121724-1;2;1;2;2;1;2;49;62;1;1;1;1;1;0;0;1;0;
7121725-1;0;1;1;;;6;57;;1;1;3;1;;2;;1;;
7121726-1;1;1;2;;;2;27;;1;1;3;1;;2;;3;;
7121727-1;0;1;1;;;5;37;;1;1;3;1;;0;;1;;
7121728-1;0;1;2;;;2;49;;1;1;3;1;;2;;3;;
7121729-1;1;1;1;;;4;22;;1;1;3;2;;0;;1;;
7121730-1;0;1;1;;;5;35;;1;1;3;1;;2;;3;;
7121732-1;2;1;1;2;2;2;25;27;1;1;0;1;1;0;0;1;1;
7121733-1;4;1;1;2;2;2;31;27;1;1;0;1;4;2;2;1;1;
7121734-1;0;1;2;2;1;1;68;65;1;1;0;1;1;0;0;0;1;
7121735-1;1;1;2;2;1;2;20;48;1;1;0;4;1;2;2;1;1;
7121736-1;2;1;1;;;3;48;;1;1;1;1;;0;;1;;
7121737-1;0;1;1;;;4;24;;1;1;0;1;;0;;1;;
7121738-1;3;1;1;2;2;2;40;35;1;1;0;1;1;0;0;1;1;
7121739-1;2;1;2;;;4;52;;1;1;1;1;;2;;0;;
7121740-1;1;1;2;;;4;56;;1;1;2;1;;0;;1;;
7121741-1;1;1;1;2;2;1;33;31;1;1;1;1;1;2;2;1;1;
7121742-1;1;1;1;2;2;1;26;21;1;1;1;1;1;2;2;1;1;
7121744-1;2;1;2;;;4;52;;1;1;1;1;;0;;1;;
7121746-1;0;1;2;;;5;25;;1;1;2;1;;2;;3;;
7121747-1;0;1;2;;;5;23;;1;1;2;1;;0;;1;;
7121748-1;0;1;2;2;1;2;52;59;1;1;3;4;6;0;0;1;1;
7121750-1;0;1;2;;;3;76;;1;1;3;4;;0;;1;;
7121751-1;0;1;1;;;4;39;;1;1;3;1;;2;;3;;
7121752-1;4;1;2;;;2;47;;1;1;3;4;;0;;1;;
7121753-1;1;1;1;;;4;62;;1;1;3;1;;2;;3;;
