Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Energia;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;
7141608-1;0;1;1;2;2;2;63;57;1;1;0;1;1;0;0;1;1;
7141609-1;2;1;2;2;1;6;42;43;1;1;0;4;1;1;2;1;1;
7141610-1;1;1;2;;;4;64;;1;1;0;4;;0;;1;;
7141611-1;1;1;2;2;1;2;42;25;1;1;0;4;1;0;1;1;1;
7141612-1;1;1;2;;;3;70;;1;1;3;4;;2;;1;;
7141613-1;0;1;1;2;2;2;31;33;1;1;3;1;1;2;2;1;3;
7141614-1;1;1;1;2;2;2;26;16;1;1;0;2;4;0;0;1;1;
7141615-1;2;1;2;;;4;28;;1;1;1;1;;0;;1;;
7141616-1;1;1;1;2;2;2;28;25;1;1;1;1;4;2;0;1;1;
7141617-1;2;1;1;;;4;55;;1;1;1;1;;0;;1;;
7141619-1;3;1;2;;;2;33;;1;1;1;1;;2;;1;;
7141620-1;0;1;2;2;1;2;27;32;1;1;1;4;2;1;1;1;1;
7141621-1;0;1;1;;;5;71;;1;1;0;5;;0;;1;;
7141622-1;1;1;2;2;1;6;55;58;1;1;1;4;4;0;0;1;1;
7141622-2;0;1;2;2;1;2;29;33;1;1;1;4;1;0;0;1;1;
7141623-1;0;1;1;;;5;41;;1;1;1;1;;0;;1;;
7141624-1;0;1;2;;;3;82;;1;1;1;5;;0;;1;;
7141625-1;0;1;1;;;4;75;;1;1;1;6;;0;;0;;
7141626-1;2;1;1;2;2;6;39;38;1;1;1;1;4;2;2;1;1;
7141627-1;2;1;2;2;1;2;28;28;1;1;0;4;1;0;0;1;1;
7141628-1;0;1;1;;;3;77;;1;1;1;6;;0;;1;;
7141629-1;1;1;2;;;4;61;;1;1;1;1;;0;;0;;
7141631-1;3;1;2;2;1;6;52;51;1;1;1;4;1;0;0;1;1;
7141632-1;1;1;2;;;3;60;;1;1;1;4;;0;;1;;
7141633-1;0;1;2;;;3;54;;1;1;1;1;;0;;3;;
7141634-1;0;1;1;2;2;2;39;32;1;1;1;1;4;0;0;0;1;
7141635-1;0;1;2;2;1;6;60;63;1;1;1;1;1;2;0;1;1;
7141636-1;3;1;1;2;2;2;49;45;1;1;1;2;4;0;0;1;0;
7141637-1;0;1;1;2;2;2;23;16;1;1;1;1;3;2;2;1;3;
7141638-1;0;1;2;;;3;57;;1;1;1;1;;0;;1;;
7141639-1;1;1;1;2;2;2;54;54;1;1;1;1;1;0;0;1;1;
7141640-1;0;1;2;2;1;2;33;41;1;1;1;1;1;0;0;1;1;
7141641-1;0;1;2;;;3;76;;1;1;1;4;;0;;0;;
7141642-1;1;1;1;2;2;2;27;27;1;1;1;1;4;0;2;1;1;
7141643-1;1;1;2;;;4;65;;1;1;1;1;;0;;1;;
7141644-1;0;1;2;;;3;64;;1;1;1;1;;0;;1;;
7141645-1;0;1;1;2;2;6;81;70;1;1;1;5;4;0;0;0;0;
7141646-1;2;1;2;2;1;2;57;55;1;1;1;1;1;0;0;1;1;
7141647-1;0;1;2;2;1;2;68;61;8;1;2;4;1;0;0;1;1;
7141648-1;0;1;2;2;1;2;19;32;8;1;1;4;1;0;0;1;1;
7141649-1;0;1;2;2;1;2;68;66;8;1;2;4;4;0;0;1;1;
7141650-1;2;1;2;2;1;2;38;36;8;1;1;4;1;0;0;1;1;
7141651-1;0;1;1;2;2;2;68;61;8;1;2;2;1;0;0;0;1;
7141652-1;1;1;1;2;2;2;50;46;8;1;1;1;4;2;2;1;1;
7141653-1;2;1;1;2;2;2;58;58;8;1;1;1;1;2;2;1;3;
7141654-1;1;1;2;;;5;50;;8;1;1;1;;0;;1;;
7141655-1;1;1;1;2;2;2;60;58;8;1;1;1;1;2;2;1;1;
7141656-1;0;1;1;2;2;2;50;50;8;1;1;1;1;0;0;1;1;
7141657-1;2;1;2;;;5;30;;8;1;2;1;;0;;3;;
7141658-1;1;1;1;2;2;6;61;58;8;1;2;1;1;0;0;1;1;
7141660-1;2;1;2;;;2;55;;8;1;2;4;;0;;1;;
7141661-1;1;1;2;;;5;58;;8;1;2;4;;0;;1;;
7141662-1;1;1;1;2;2;6;50;53;8;1;2;1;1;2;0;1;1;
7141663-1;2;1;1;2;2;2;43;29;8;1;2;1;1;0;0;1;1;
7141665-1;2;1;1;2;2;2;41;40;8;1;2;1;4;2;2;1;1;
7141666-1;1;1;2;;;3;67;;8;1;1;1;;1;;1;;
7141667-1;0;1;2;2;1;2;49;42;8;1;1;4;1;0;0;1;1;
7141668-1;0;1;1;2;2;2;72;55;8;1;2;1;4;0;2;1;1;
7141669-1;2;1;2;2;1;6;57;59;8;1;2;1;1;0;0;1;1;
7141670-1;1;1;2;;;5;65;;8;1;2;4;;0;;1;;
7141671-1;2;1;1;2;2;2;34;27;8;1;1;1;1;2;0;3;3;
7141672-1;0;1;2;;;5;38;;8;1;2;1;;0;;1;;
7141674-1;0;1;2;;;5;24;;8;1;2;2;;0;;1;;
7141675-1;1;1;1;2;2;2;59;57;8;1;1;1;1;0;0;1;1;
7141676-1;0;1;2;;;5;58;;8;1;2;4;;2;;1;;
7141678-1;0;1;1;2;2;6;53;60;8;1;1;1;1;0;2;1;3;
7141680-1;0;1;1;2;2;2;49;49;8;1;1;1;1;0;2;1;1;
7141681-1;1;1;1;2;2;2;32;26;8;1;1;1;1;2;2;1;1;
7141682-1;0;1;1;;;4;56;;8;1;1;1;;2;;1;;
7141683-1;0;1;1;;;4;37;;8;1;1;1;;2;;1;;
7141684-1;1;1;1;2;2;6;50;46;8;1;2;1;1;2;2;3;1;
7141685-1;0;1;2;;;5;66;;8;1;3;1;;2;;1;;
7141686-1;4;1;2;2;1;6;40;43;1;1;1;4;1;0;2;1;1;
7141687-1;0;1;2;;;6;78;;1;1;1;1;;0;;1;;
7141688-1;0;1;1;2;2;2;68;65;1;1;1;1;1;0;0;1;1;
7141690-1;2;1;1;2;2;6;46;46;1;1;1;1;4;0;0;1;1;
7141691-1;0;1;2;2;1;2;79;77;1;1;1;4;1;0;0;0;1;
7141692-1;1;1;1;2;2;6;64;61;1;1;1;1;4;0;0;0;1;
7141693-1;0;1;1;;;5;40;;1;1;1;1;;0;;0;;
7141694-1;1;1;1;2;2;2;72;68;1;1;1;5;4;0;0;0;0;
7141695-1;1;1;1;2;2;6;51;48;1;1;1;1;4;0;0;1;0;
7141696-1;1;1;1;2;2;2;25;18;1;1;1;1;4;2;0;1;1;
7141697-1;0;1;2;;;4;43;;1;1;1;4;;2;;1;;
7141698-1;3;1;2;;;3;83;;1;1;1;5;;0;;0;;
7141699-1;0;1;2;;;4;61;;1;1;1;4;;0;;0;;
7141699-2;0;1;2;;;3;68;;1;1;1;4;;0;;1;;
7141700-1;0;1;1;;;6;28;;1;1;1;1;;0;;3;;
7141701-1;0;1;1;2;2;2;39;28;1;1;1;1;1;2;2;1;3;
7141702-1;0;1;2;;;4;62;;1;1;1;1;;0;;0;;
7141703-1;0;1;1;2;2;6;84;87;1;1;1;5;4;0;0;0;0;
7141704-1;1;1;1;2;2;6;68;61;1;1;1;1;4;0;0;0;0;
7141705-1;1;1;1;2;2;2;50;45;1;1;1;1;4;0;0;1;1;
7141706-1;2;1;2;;;3;48;;1;1;1;1;;0;;1;;
7141707-1;0;1;2;;;4;63;;1;1;1;1;;0;;1;;
7141708-1;1;1;1;2;2;2;54;49;1;1;1;1;4;0;2;1;1;
7141709-1;2;1;1;2;2;6;45;34;1;1;1;1;1;0;0;1;1;
7141710-1;0;1;1;2;2;6;70;68;1;1;1;1;4;0;0;1;1;
7141711-1;0;1;1;2;2;6;73;63;1;1;1;4;4;0;0;1;1;
7141712-1;2;1;1;2;2;2;32;26;1;1;1;1;4;1;1;1;1;
7141713-1;3;1;1;2;2;2;69;59;1;1;1;1;4;0;0;0;1;
7141714-1;0;1;1;;;4;46;;1;1;1;1;;1;;1;;
7141716-1;0;1;1;;;4;56;;1;1;1;1;;0;;0;;
7141717-1;1;1;1;2;2;2;74;67;1;1;0;5;4;0;0;0;0;
7141720-1;1;1;1;2;2;2;64;45;1;1;1;1;4;0;0;1;1;
7141722-1;0;1;1;2;2;6;53;51;1;1;1;1;4;0;0;1;1;
7141723-1;0;1;1;;;3;79;;1;1;1;5;;0;;1;;
7141724-1;1;1;1;2;2;2;62;67;1;1;1;1;4;0;0;0;0;
7141725-1;5;1;1;2;2;2;37;36;1;1;1;1;4;0;1;1;1;
7141726-1;0;1;2;;;4;59;;1;1;1;4;;0;;0;;
7141727-1;0;1;1;2;2;2;56;56;1;1;1;1;4;0;0;0;1;
7141728-1;4;1;1;2;2;2;31;33;1;1;1;1;4;2;2;1;1;
7141729-1;2;1;1;2;2;2;53;56;1;1;1;1;4;0;0;1;1;
7141730-1;2;1;1;2;2;2;48;40;1;1;1;1;1;2;2;3;3;
7141731-1;0;1;1;2;2;6;51;48;1;1;1;1;4;2;0;1;1;
7141732-1;2;1;1;2;2;6;41;34;1;1;1;1;4;2;2;3;3;
7141733-1;1;1;1;2;2;2;24;22;1;1;1;1;4;0;0;1;1;
7141734-1;1;1;2;;;4;83;;1;1;1;5;;0;;0;;
7141735-1;1;1;2;;;4;33;;1;1;1;1;;2;;3;;
7141739-1;0;1;1;2;2;2;21;16;1;1;1;1;4;0;2;1;3;
7141740-1;3;1;1;2;2;2;58;47;1;1;1;1;4;0;0;1;1;
7141744-1;4;1;1;2;2;2;45;39;1;1;1;4;4;0;0;0;1;
7141745-1;3;1;1;2;2;2;28;29;1;1;1;1;4;0;0;1;1;
7141746-1;2;1;2;2;1;2;44;50;1;1;1;4;4;0;0;1;1;
7141752-1;2;1;1;2;2;2;43;38;1;1;1;1;4;0;2;0;1;
7141756-1;1;1;2;;;2;56;;1;1;1;4;;0;;1;;
7141757-1;0;1;1;;;4;61;;1;1;1;4;;0;;1;;
7141758-1;0;1;1;2;2;2;53;73;1;1;1;4;4;0;0;0;1;
7141759-1;2;1;1;2;2;2;75;73;1;1;1;5;4;0;0;1;0;
7141760-1;1;1;1;2;2;2;77;66;1;1;1;4;4;0;0;0;1;
7141761-1;0;1;1;2;2;2;73;66;1;1;1;4;4;0;0;1;0;
7141764-1;1;1;1;2;2;2;63;47;1;1;1;1;4;2;2;3;1;
7141765-1;1;1;2;;;3;68;;1;1;1;4;;0;;0;;
7141766-1;1;1;1;2;2;2;78;69;1;1;1;4;4;0;0;0;0;
7141767-1;1;1;1;;;4;77;;1;1;1;1;;0;;1;;
7141768-1;2;1;1;2;2;2;22;19;1;1;1;1;4;2;2;1;1;
7141769-1;3;1;2;2;1;2;46;54;1;1;1;4;1;2;0;0;1;
7141770-1;1;1;1;2;2;2;65;59;1;1;1;5;4;0;0;1;1;
7141771-1;3;1;2;2;1;2;36;40;1;1;1;1;1;2;2;1;1;
7141772-1;1;1;2;;;6;24;;1;1;1;4;;2;;3;;
7141774-1;0;1;1;2;2;2;28;29;1;1;1;1;4;0;2;1;3;
7141776-1;0;1;2;2;1;2;58;65;1;1;1;4;1;0;0;1;1;
7141777-1;2;1;1;2;2;2;39;32;1;1;1;1;4;0;0;1;1;
7141778-1;0;1;1;2;2;1;30;27;1;1;0;1;1;2;2;3;2;
7141779-1;2;1;2;2;1;2;29;42;1;1;1;4;1;2;2;3;3;
7141780-1;2;1;1;2;2;2;38;35;1;1;1;1;1;2;2;3;1;
7141781-1;1;1;1;2;2;2;28;29;1;1;1;1;4;2;2;1;1;
7141782-1;1;1;2;2;1;6;51;54;1;1;1;1;1;1;0;1;1;
7141783-1;3;1;1;2;2;2;33;31;1;1;1;1;4;0;0;1;1;
7141784-1;1;1;1;2;2;2;59;48;1;1;1;1;4;0;0;1;0;
7141785-1;1;1;1;;;4;23;;1;1;1;1;;0;;1;;
7141788-1;1;1;2;;;4;74;;1;1;1;4;;0;;1;;
7141790-1;0;1;2;;;3;60;;1;1;1;4;;0;;0;;
7141791-1;2;1;2;2;1;2;29;32;1;1;0;4;1;0;0;1;0;
7141792-1;1;1;1;2;2;2;27;25;1;1;0;1;1;2;2;1;1;
7141793-1;0;1;1;2;2;1;18;14;1;1;1;1;4;0;1;1;1;
7141794-1;2;1;1;2;2;6;41;39;1;1;0;1;4;0;0;1;1;
7141795-1;1;1;2;;;4;18;;1;1;1;1;;0;;1;;
7141797-1;1;1;1;2;2;2;59;58;1;1;0;1;1;0;0;1;1;
7141798-1;0;1;2;;;3;50;;1;1;0;4;;0;;1;;
7141800-1;0;1;1;2;2;2;59;54;1;1;1;1;1;0;0;0;1;
7141802-1;0;1;1;2;2;2;61;61;1;1;1;1;4;0;0;1;3;
7141804-1;3;1;2;2;1;2;28;32;1;1;1;1;1;0;0;1;1;
7141805-1;0;1;2;2;1;6;52;55;1;1;1;1;1;2;0;3;1;
7141806-1;3;1;2;2;1;2;30;32;1;1;1;4;1;0;0;1;1;
7141808-1;2;1;2;;;3;78;;1;1;1;4;;0;;1;;
7141809-1;1;1;1;2;2;2;55;53;1;1;1;1;1;0;2;1;3;
7141811-1;1;1;2;2;1;1;24;26;1;1;2;4;1;2;2;3;1;
7141813-1;0;1;2;2;1;2;57;67;1;1;1;4;1;0;0;0;0;
7141814-1;3;1;1;2;2;6;41;39;1;1;2;1;1;2;2;3;3;
7141815-1;2;1;1;2;2;2;43;35;1;1;2;1;4;2;2;1;3;
7141816-1;1;1;1;2;2;2;32;25;1;1;3;1;3;2;2;3;3;
7141818-1;1;1;1;2;2;6;79;66;1;1;1;4;4;0;2;1;1;
7141819-1;1;1;1;2;2;6;34;26;1;1;1;1;4;2;2;1;1;
7141820-1;2;1;1;;;4;69;;1;1;3;1;;0;;1;;
7141821-1;0;1;2;;;5;53;;1;1;3;4;;0;;1;;
7141822-1;1;1;2;;;3;71;;1;1;3;4;;0;;1;;
7141823-1;0;1;2;;;5;49;;1;1;3;1;;0;;1;;
7141825-1;0;1;1;2;2;6;76;62;1;1;2;1;1;0;2;1;1;
7141826-1;0;1;2;;;3;73;;1;1;2;4;;0;;1;;
7141827-1;2;1;2;;;3;78;;1;1;2;5;;0;;0;;
7141828-1;1;1;2;;;4;44;;1;1;2;1;;0;;2;;
7141829-1;2;1;2;;;4;40;;1;1;2;1;;2;;1;;
7141831-1;1;1;1;2;2;6;69;57;1;1;2;5;4;0;2;1;1;
7141834-1;0;1;1;;;5;62;;1;1;2;5;;0;;0;;
7141835-1;2;1;2;;;4;52;;1;1;2;4;;2;;1;;
7141836-1;1;1;1;2;2;2;47;55;1;1;2;1;4;0;0;1;1;
7141837-1;2;1;2;2;1;2;58;63;1;1;1;4;1;0;0;1;1;
7141838-1;2;1;2;;;4;51;;1;1;1;4;;0;;0;;
7141839-1;0;1;2;;;4;61;;1;1;1;4;;0;;1;;
7141840-1;1;1;2;;;4;57;;1;1;1;1;;0;;1;;
7141841-1;1;1;2;;;4;51;;1;1;1;1;;2;;1;;
7141842-1;1;1;2;;;5;29;;1;1;0;4;;1;;1;;
7141843-1;2;1;1;2;2;2;29;30;1;1;1;1;1;2;2;1;1;
7141844-1;1;1;1;;;4;57;;1;1;1;1;;0;;1;;
7141845-1;2;1;2;;;4;57;;1;1;1;4;;0;;0;;
7141846-1;0;1;1;;;5;61;;1;1;1;2;;0;;1;;
7141847-1;1;1;2;;;3;60;;1;1;1;4;;0;;0;;
7141848-1;1;1;2;;;3;74;;1;1;1;4;;0;;0;;
7141849-1;1;1;2;;;3;89;;1;1;1;4;;0;;1;;
7141850-1;1;1;1;2;2;1;25;20;1;1;1;1;4;0;0;1;1;
7141851-1;2;1;2;2;1;2;23;25;1;1;1;4;1;2;2;3;1;
7141852-1;4;1;2;2;1;6;40;40;1;1;1;4;1;0;0;1;1;
7141853-1;4;1;2;2;1;2;44;42;1;1;1;4;1;2;0;1;1;
7141854-1;3;1;1;2;2;2;45;35;1;1;1;1;4;0;0;1;1;
7141855-1;2;1;1;;;3;70;;1;1;1;4;;0;;1;;
7141856-1;1;1;2;;;4;38;;1;1;1;1;;2;;3;;
7141857-1;1;1;1;2;2;6;25;25;1;1;0;1;4;2;2;1;1;
7141858-1;1;1;2;2;1;1;45;47;1;1;1;1;1;2;0;1;1;
7141859-1;1;1;2;2;1;6;65;74;1;1;3;4;4;2;0;1;3;
7141860-1;0;1;1;;;5;64;;1;1;3;1;;2;;3;;
7141861-1;2;1;2;;;4;55;;1;1;3;1;;0;;3;;
7141862-1;1;1;2;2;1;2;69;77;1;1;3;1;4;0;0;1;1;
7141863-1;1;1;2;;;3;65;;1;1;1;4;;0;;1;;
7141864-1;2;1;1;2;2;2;43;42;1;1;1;1;1;2;2;1;3;
7141865-1;0;1;1;2;2;2;68;59;1;1;1;4;4;2;2;1;1;
7141866-1;1;1;1;2;2;2;49;48;1;1;1;1;4;0;0;1;0;
7141867-1;0;1;1;;;4;72;;1;1;1;4;;0;;1;;
7141868-1;5;1;2;;;4;42;;1;1;1;1;;0;;1;;
7141869-1;1;1;2;;;4;52;;1;1;1;4;;0;;1;;
7141870-1;2;1;1;2;2;2;74;67;1;1;1;1;1;0;0;1;1;
7141871-1;1;1;2;2;1;2;38;34;1;1;1;4;1;2;2;1;3;
7141872-1;1;1;2;;;3;72;;1;1;1;4;;0;;1;;
7141873-1;1;1;2;;;4;57;;1;1;1;1;;2;;1;;
7141874-1;1;1;1;2;2;2;54;46;1;1;1;1;1;0;0;0;1;
7141875-1;1;1;1;2;2;1;27;24;1;1;3;1;2;2;2;3;3;
7141877-1;0;1;1;;;5;65;;1;1;1;1;;0;;1;;
7141878-1;3;1;2;;;4;55;;1;1;1;1;;2;;1;;
7141879-1;1;1;1;2;2;2;48;23;1;1;1;1;4;2;2;1;1;
7141880-1;1;1;2;;;6;62;;1;1;1;4;;2;;1;;
7141882-1;2;1;1;;;3;74;;1;1;1;1;;0;;0;;
7141883-1;0;1;1;;;6;63;;1;1;1;6;;0;;1;;
7141884-1;4;1;1;2;2;2;60;53;1;1;1;2;4;0;0;0;0;
7141888-1;0;1;1;;;5;39;;1;1;1;1;;0;;1;;
7141889-1;2;1;1;2;2;2;40;46;1;1;1;1;4;0;0;1;1;
7141890-1;0;1;1;2;2;6;75;69;1;1;1;6;5;0;0;1;1;
7141891-1;2;1;1;2;2;2;34;27;1;1;2;1;4;2;2;1;1;
7141892-1;0;1;2;;;4;52;;1;1;2;2;;2;;3;;
7141893-1;0;1;2;2;1;2;77;75;1;1;2;4;1;0;0;1;1;
7141894-1;0;1;2;;;3;66;;1;1;1;4;;0;;1;;
7141895-1;2;1;1;2;2;6;75;65;1;1;2;5;4;0;0;1;0;
7141896-1;3;1;1;2;2;2;79;67;1;1;2;4;4;0;0;0;0;
7141897-1;2;1;1;2;2;2;45;28;1;1;2;1;4;2;2;3;3;
7141898-1;1;1;2;;;4;33;;1;1;1;1;;2;;3;;
7141900-1;1;1;2;2;1;1;43;29;1;1;1;1;1;0;1;1;3;
7141901-1;0;1;2;;;4;75;;1;1;1;1;;0;;1;;
7141902-1;3;1;2;2;1;2;32;34;1;1;1;4;6;2;2;1;1;
7141903-1;1;1;1;;;4;84;;1;1;1;4;;0;;0;;
7141904-1;2;1;1;2;2;6;46;37;1;1;1;1;4;0;2;1;1;
7141905-1;1;1;2;;;4;53;;1;1;1;1;;2;;1;;
7141906-1;0;1;2;2;1;2;64;69;1;1;1;4;1;0;0;1;0;
7141907-1;1;1;2;2;1;6;82;90;1;1;1;5;1;0;0;0;0;
7141908-1;0;1;1;2;2;6;58;55;1;1;1;1;4;2;2;1;1;
7141910-1;0;1;1;;;4;79;;1;1;1;1;;0;;0;;
7141911-1;0;1;1;;;3;70;;1;1;1;4;;0;;0;;
7141913-1;2;1;1;2;2;2;73;56;1;1;2;5;4;0;2;1;1;
7141914-1;0;1;2;;;3;71;;1;1;2;4;;0;;0;;
7141916-1;2;1;2;;;4;35;;1;1;2;1;;1;;1;;
7141918-1;1;1;1;2;2;2;19;16;1;1;1;1;4;0;0;1;1;
7141919-1;0;1;1;;;5;54;;1;1;1;1;;0;;1;;
7141920-1;2;1;2;;;4;69;;1;1;1;4;;0;;1;;
7141921-1;1;1;1;2;2;6;70;65;1;1;1;1;4;0;0;0;0;
7141922-1;2;1;1;2;2;2;30;25;1;1;1;1;4;2;2;1;1;
7141923-1;1;1;1;2;2;2;47;41;1;1;1;1;4;0;0;1;1;
7141924-1;0;1;1;;;4;61;;1;2; ;1;;0;;1;;
7141925-1;2;1;1;2;2;6;38;21;1;1;1;1;4;0;0;1;1;
7141926-1;1;1;1;2;2;6;77;70;1;1;1;1;4;0;0;0;1;
7141928-1;0;1;1;2;2;6;76;69;1;1;1;5;4;2;2;1;1;
7141930-1;3;1;1;2;2;2;46;45;1;1;1;1;4;0;0;0;1;
7141931-1;3;1;1;2;2;2;42;41;1;1;1;1;4;0;0;1;1;
7141932-1;0;1;1;;;5;27;;1;1;1;1;;0;;1;;
7141933-1;0;1;2;;;6;57;;1;1;1;1;;0;;1;;
7141934-1;4;1;1;2;2;2;30;29;1;1;1;1;4;0;1;1;3;
7141935-1;1;1;1;2;2;2;21;16;1;1;1;1;4;0;0;1;1;
7141936-1;0;1;1;;;5;42;;1;1;1;1;;1;;1;;
7141937-1;0;1;1;2;2;6;89;62;1;1;1;1;4;0;0;0;0;
7141938-1;2;1;1;2;2;2;37;46;1;1;1;1;4;0;0;1;1;
7141939-1;2;1;1;2;2;2;39;24;1;1;1;1;4;0;0;1;1;
7141940-1;1;1;1;2;2;6;69;64;1;1;1;1;4;0;0;1;0;
7141941-1;0;1;1;;;6;63;;1;1;1;1;;0;;1;;
7141942-1;2;1;1;2;2;2;41;45;1;1;1;1;4;0;0;1;0;
7141943-1;1;1;1;2;2;6;62;49;1;1;8;1;4;0;0;0;1;
7141945-1;3;1;2;;;4;48;;1;1;1;4;;0;;1;;
7141947-1;2;1;1;2;2;2;41;41;1;1;1;1;4;0;1;1;1;
7141948-1;1;1;1;;;3;85;;1;1;1;5;;0;;0;;
7141949-1;4;1;2;;;2;43;;1;1;1;4;;0;;1;;
7141950-1;1;1;1;2;2;2;24;24;1;1;1;1;4;0;1;1;1;
7141951-1;2;1;1;2;2;6;67;61;1;1;1;1;4;0;0;1;1;
7141952-1;0;1;1;;;5;64;;1;1;1;1;;0;;1;;
7141953-1;0;1;1;2;2;2;36;48;1;1;1;1;4;0;0;1;0;
7141955-1;1;1;2;;;4;66;;1;1;1;4;;0;;0;;
7141956-1;0;1;1;;;4;71;;1;1;1;1;;0;;0;;
7141957-1;0;1;1;2;2;6;76;72;1;1;1;1;4;0;0;1;0;
7141958-1;0;1;2;;;3;73;;1;1;1;4;;0;;0;;
7141960-1;1;1;2;;;2;51;;1;1;1;4;;0;;1;;
7141961-1;1;1;2;;;4;60;;1;1;1;4;;0;;0;;
7141962-1;1;1;1;2;2;2;44;44;1;1;1;1;4;0;0;1;0;
7141963-1;2;1;1;2;2;2;40;26;1;1;1;1;4;0;0;0;0;
7141965-1;0;1;1;2;2;2;76;68;1;1;1;4;4;0;0;1;0;
7141966-1;0;1;1;2;2;6;70;52;1;1;1;1;4;0;0;0;1;
7141967-1;3;1;1;2;2;2;30;24;1;1;1;1;4;0;0;1;1;
7141968-1;1;1;1;2;2;2;35;23;1;1;1;1;4;0;0;1;1;
7141970-1;3;1;1;2;2;2;30;27;1;1;1;1;4;2;2;1;1;
7141971-1;1;1;1;2;2;2;42;29;1;1;1;1;4;2;0;1;1;
7141972-1;0;1;1;2;2;6;72;68;1;1;1;5;4;0;0;0;0;
7141973-1;1;1;2;;;3;72;;1;1;1;4;;0;;1;;
7141974-1;3;1;1;2;2;2;35;27;1;2; ;1;1;0;0;1;1;
7141975-1;1;1;1;2;2;2;30;26;1;1;1;1;4;1;2;1;1;
7141976-1;0;1;1;;;5;36;;1;2; ;1;;0;;1;;
7141977-1;3;1;1;2;2;2;44;28;1;2; ;1;4;0;0;1;0;
7141978-1;0;1;1;;;4;59;;1;2; ;1;;0;;1;;
7141980-1;5;1;1;2;2;2;65;48;1;2; ;1;4;0;0;0;1;
7141981-1;1;1;2;2;1;2;43;49;1;2; ;4;1;0;0;0;0;
7141982-1;0;1;2;;;4;41;;1;2; ;1;;0;;1;;
7141983-1;4;1;2;2;1;2;33;35;1;2; ;4;1;0;0;1;1;
7141984-1;0;1;1;;;2;44;;1;2; ;1;;0;;0;;
7141985-1;0;1;1;;;5;31;;1;2; ;1;;0;;1;;
7141986-1;0;1;1;2;2;2;53;56;1;2; ;5;1;0;0;0;0;
7141987-1;2;1;1;2;2;2;45;35;1;2; ;1;4;0;0;1;1;
7141988-1;0;1;1;2;2;2;47;63;1;1;1;1;4;0;0;1;1;
7141989-1;0;1;1;2;2;2;59;59;1;1;1;1;1;0;0;1;1;
7141990-1;0;1;1;;;4;55;;1;2; ;1;;0;;0;;
7141992-1;0;1;1;;;2;50;;1;1;1;1;;0;;1;;
7141993-1;0;1;1;;;4;73;;1;2; ;1;;0;;1;;
7141994-1;0;1;1;2;2;1;24;19;1;2; ;1;4;0;0;1;1;
7141995-1;1;1;1;2;2;2;43;33;1;2; ;1;4;0;0;0;1;
7141996-1;0;1;1;;;6;43;;1;1;1;1;;0;;1;;
7141997-1;0;1;1;2;2;2;29;31;1;1;1;1;4;0;0;1;1;
7141998-1;0;1;1;;;2;47;;1;1;1;1;;0;;1;;
7141999-1;0;1;1;;;2;43;;1;2; ;1;;0;;1;;
7142000-1;1;1;1;2;2;2;24;20;1;1;1;1;4;2;2;1;1;
7142001-1;1;1;1;2;2;2;53;46;1;1;1;1;4;0;0;1;0;
7142002-1;0;1;1;;;5;30;;1;1;1;1;;2;;1;;
7142004-1;1;1;2;;;4;29;;1;1;1;3;;2;;3;;
7142005-1;2;1;2;;;5;45;;1;1;1;4;;0;;3;;
7142006-1;1;1;1;2;2;2;76;66;1;1;1;1;4;0;0;1;0;
7142008-1;0;1;1;2;2;2;72;60;1;1;1;1;4;0;0;1;1;
7142012-1;1;1;2;;;4;43;;1;1;1;4;;0;;1;;
7142013-1;2;1;2;2;1;2;41;39;1;1;1;4;1;0;0;1;1;
7142014-1;0;1;2;2;1;6;51;55;1;1;1;4;1;0;0;3;0;
7142015-1;0;1;1;;;5;18;;1;1;1;1;;2;;1;;
7142018-1;2;1;2;;;2;56;;1;1;1;4;;0;;0;;
7142022-1;0;1;1;;;6;52;;1;1;1;1;;2;;1;;
7142023-1;2;1;1;2;2;6;62;40;1;1;1;1;4;0;2;1;1;
7142024-1;2;1;1;2;2;6;42;40;1;1;1;4;4;0;0;1;1;
7142025-1;0;1;1;;;6;71;;1;1;1;1;;0;;1;;
7142026-1;2;1;2;;;6;51;;1;1;1;4;;0;;1;;
7142027-1;2;1;1;2;2;2;28;28;1;1;1;1;4;0;0;1;1;
7142028-1;2;1;1;2;2;2;30;31;1;1;1;1;4;2;0;3;3;
7142029-1;2;1;1;2;2;6;33;40;1;1;1;1;4;0;0;1;1;
7142030-1;2;1;2;;;2;35;;1;1;1;4;;0;;1;;
7142031-1;1;1;1;2;2;6;48;55;1;1;1;1;1;0;0;1;1;
7142032-1;1;1;1;2;2;6;56;50;1;1;1;1;4;0;0;1;1;
7142034-1;0;1;1;2;2;6;53;50;1;1;1;1;4;0;0;1;1;
7142035-1;2;1;1;2;2;6;74;74;1;1;1;6;4;0;0;0;0;
7142036-1;3;1;1;2;2;2;50;28;1;1;1;1;4;2;2;1;1;
7142037-1;0;1;2;;;4;71;;1;1;1;1;;0;;0;;
7142038-1;0;1;2;;;4;72;;2;1;2;4;;0;;0;;
7142039-1;0;1;1;2;2;2;54;57;2;1;2;1;1;0;0;1;1;
