Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Tipo Union;Edad Jefe;Region;Energia;Estrato vivienda;Trabajo Jefe;Uso tecnologia Jefe;Edu Jefe;;;
7143520-1;0;1;2;5;24;5;1;4;3;2;3;;;
7143521-1;0;1;2;5;65;5;1;5;4;2;3;;;
7143522-1;0;1;1;3;55;5;1;4;1;2;1;;;
7143522-2;0;1;2;5;29;5;1;4;1;2;3;;;
7143524-1;1;1;1;4;46;5;1;4;1;2;3;;;
7143525-1;0;1;2;5;42;5;1;4;1;2;3;;;
7143526-1;1;1;2;4;55;5;1;4;2;2;3;;;
7143527-1;1;1;2;3;85;5;1;4;4;0;3;;;
7143528-1;1;1;2;4;47;5;1;4;1;2;3;;;
7143533-1;0;1;2;5;28;5;1;4;1;2;3;;;
7143534-1;0;1;2;3;86;5;1;4;4;2;3;;;
7143536-1;1;1;2;4;61;5;1;4;4;2;3;;;
7143537-1;1;1;2;3;78;5;1;4;4;0;1;;;
7143538-1;0;1;2;6;64;5;1;4;5;2;1;;;
7143540-1;0;1;2;5;48;5;1;4;1;2;3;;;
7143542-1;0;1;1;3;77;5;1;5;4;2;2;;;
7143543-1;0;1;2;5;55;5;1;4;1;2;3;;;
7143544-1;0;1;2;3;56;5;1;5;1;2;3;;;
7143548-1;0;1;1;4;56;5;1;4;4;2;3;;;
7143550-1;0;1;2;3;71;5;1;4;4;2;1;;;
7143551-1;2;1;1;4;55;5;1;3;1;0;1;;;
7143554-1;0;1;1;5;25;5;1;4;1;2;3;;;
7143555-1;0;1;1;4;50;5;1;4;1;2;3;;;
7143556-1;1;1;2;5;38;5;1;3;1;2;1;;;
7143557-1;0;1;2;5;22;5;1;5;1;2;3;;;
7143559-1;0;1;1;5;23;5;1;4;3;2;3;;;
7143561-1;0;1;2;5;65;5;1;4;4;2;1;;;
7143565-1;1;1;2;3;68;5;1;6;4;0;1;;;
7143567-1;0;1;1;6;72;5;1;3;1;0;1;;;
7143568-1;0;1;2;4;60;5;1;6;4;2;1;;;
7143570-1;0;1;2;5;43;5;1;4;1;2;3;;;
7143571-1;0;1;2;5;41;5;1;4;1;2;3;;;
7143572-1;2;1;2;4;70;5;1;3;4;0;3;;;
7143573-1;0;1;1;5;47;5;1;3;1;2;1;;;
7143575-1;2;1;2;4;27;5;1;3;4;0;1;;;
7143576-1;0;1;1;5;30;5;1;4;1;2;3;;;
7143577-1;0;1;1;5;29;5;1;4;1;2;3;;;
7143579-1;0;1;2;4;61;5;1;4;1;2;3;;;
7143580-1;0;1;1;4;59;5;1;4;4;2;3;;;
7143585-1;1;1;2;3;74;5;1;2;4;0;1;;;
7143589-1;0;1;1;5;28;5;1;5;1;2;3;;;
7143590-1;0;1;2;5;59;5;1;4;1;2;3;;;
7143593-1;1;1;2;4;50;5;1;5;1;2;3;;;
7143594-1;0;1;2;4;60;5;1;4;4;2;1;;;
7143600-1;2;1;1;5;65;5;1;2;1;2;1;;;
7143604-1;0;1;2;3;73;5;1;3;4;2;3;;;
7143605-1;0;1;1;5;31;5;1;2;1;2;1;;;
7143608-1;2;1;2;5;42;5;1;2;1;2;3;;;
7143609-1;1;1;1;5;60;5;1;2;1;2;1;;;
7143612-1;3;1;2;4;49;5;1;4;1;2;1;;;
7143613-1;1;1;2;5;27;5;1;2;1;2;3;;;
7143614-1;1;1;2;4;54;5;1;3;1;2;1;;;
7143619-1;1;1;2;3;75;5;1;3;4;0;1;;;
7143620-1;2;1;2;4;47;5;1;2;1;2;1;;;
7143623-1;2;1;2;5;42;5;1;4;1;2;1;;;
7143630-1;0;1;2;3;70;5;1;3;1;1;3;;;
7143631-1;0;1;1;4;68;5;1;1;1;2;3;;;
7143633-1;0;1;2;4;35;5;1;4;1;2;3;;;
7143634-1;0;1;2;3;71;5;1;6;4;2;3;;;
7143635-1;0;1;1;5;40;5;1;5;1;2;3;;;
7143639-1;1;1;2;5;35;5;1;4;1;2;3;;;
7143642-1;1;1;2;5;56;5;1;3;1;2;1;;;
7143645-1;1;1;2;4;52;2;1;1;1;0;1;;;
7143649-1;0;1;1;5;73;2;1;1;5;0;0;;;
7143653-1;1;1;2;4;44;3;1;1;1;2;1;;;
7143655-1;0;1;1;2;25;3;2; ;1;0;1;;;
7143656-1;0;1;1;5;27;3;1;8;1;1;1;;;
7143662-1;0;1;1;5;22;3;1;8;1;1;1;;;
7143666-1;1;1;1;3;75;3;2; ;1;0;1;;;
7143675-1;0;1;1;2;50;3;2; ;1;0;1;;;
7143678-1;0;1;1;4;44;3;2; ;1;0;1;;;
7143685-1;4;1;2;3;50;3;1;1;4;0;1;;;
7143686-1;0;1;1;4;23;3;1;1;1;2;2;;;
7143688-1;0;1;2;3;73;3;1;1;4;0;0;;;
7143689-1;0;1;1;4;51;3;1;1;1;2;1;;;
7143690-1;1;1;2;4;55;3;1;1;4;0;1;;;
7143694-1;1;1;2;1;18;3;1;1;1;0;1;;;
7143697-1;0;1;1;4;62;3;1;0;1;0;1;;;
7143700-1;0;1;1;4;41;3;1;1;1;0;1;;;
7143701-1;0;1;1;2;55;3;1;1;1;0;1;;;
7143710-1;3;1;2;4;29;3;1;1;4;0;1;;;
7143711-1;1;1;2;4;48;3;1;1;1;2;1;;;
7143712-1;0;1;2;4;46;3;1;0;1;2;1;;;
7143714-1;0;1;2;4;64;3;1;3;6;2;3;;;
7143716-1;2;1;2;4;56;3;1;1;1;0;1;;;
7143717-1;1;1;2;3;54;3;1;1;1;0;1;;;
7143718-1;2;1;2;4;41;3;1;1;1;2;1;;;
7143719-1;2;1;2;4;45;3;1;1;1;0;1;;;
7143722-1;0;1;1;2;45;3;1;1;1;2;1;;;
7143723-1;0;1;1;6;48;2;1;1;1;2;1;;;
7143725-1;2;1;2;6;36;2;1;2;4;0;1;;;
7143730-1;0;1;1;5;14;2;1;2;4;0;1;;;
7143732-1;1;1;2;3;74;2;2; ;4;0;1;;;
7143733-1;0;1;1;4;64;2;1;8;6;0;0;;;
7143734-1;0;1;1;4;61;2;1;1;1;0;0;;;
7143736-1;0;1;1;4;66;2;2; ;1;0;1;;;
7143742-1;0;1;1;4;56;2;1;1;1;0;1;;;
7143743-1;0;1;1;4;53;2;1;1;1;0;1;;;
7143752-1;0;1;2;5;28;2;1;1;1;2;3;;;
7143756-1;0;1;1;4;56;2;1;1;1;0;1;;;
7143758-1;0;1;2;4;60;2;1;1;1;0;0;;;
7143763-1;1;1;2;4;50;2;1;1;1;2;1;;;
7143764-1;0;1;1;4;63;2;1;0;1;0;0;;;
7143767-1;0;1;1;4;38;2;2; ;1;0;0;;;
7143768-1;0;1;1;4;22;2;2; ;1;0;1;;;
7143769-1;0;1;1;4;39;2;2; ;1;0;1;;;
7143770-1;0;1;1;4;49;2;2; ;1;2;1;;;
7143774-1;0;1;1;4;31;2;1;1;1;2;1;;;
7143779-1;0;1;2;4;46;2;1;1;1;1;1;;;
7143797-1;0;1;1;5;34;2;1;6;1;2;1;;;
7143804-1;0;1;2;3;84;2;1;1;5;0;0;;;
7143808-1;0;1;1;5;81;2;1;1;4;0;1;;;
7143811-1;1;1;2;3;69;2;1;1;4;0;0;;;
7143815-1;2;1;2;6;30;2;1;3;4;2;3;;;
7143816-1;0;1;2;5;50;2;1;2;4;0;1;;;
7143819-1;1;1;2;4;42;2;1;1;1;2;1;;;
7143820-1;1;1;2;2;30;2;1;2;1;2;3;;;
7143830-1;0;1;1;5;69;2;1;1;1;0;0;;;
7143831-1;0;1;1;5;56;2;1;1;1;0;1;;;
7143836-1;1;1;2;5;51;2;1;1;4;0;1;;;
7143838-1;2;1;2;5;49;2;1;1;4;0;1;;;
7143839-1;0;1;2;3;76;2;1;1;4;0;1;;;
7143840-1;2;1;2;4;63;2;1;1;6;0;1;;;
7143841-1;0;1;2;3;78;2;1;2;4;0;1;;;
7143843-1;0;1;2;4;51;2;1;2;1;2;3;;;
7143847-1;0;1;2;3;67;2;1;2;1;0;1;;;
7143849-1;0;1;2;3;60;2;1;2;1;0;1;;;
7143854-1;0;1;1;4;47;2;1;1;1;0;1;;;
7143856-1;6;1;2;3;32;2;1;1;4;0;0;;;
7143859-1;0;1;1;6;37;2;1;1;2;2;1;;;
7143864-1;2;1;2;4;38;2;1;1;4;0;1;;;
7143868-1;0;1;2;3;72;2;1;3;4;2;3;;;
7143869-1;0;1;1;6;64;2;1;3;1;2;3;;;
7143871-1;0;1;1;4;80;2;1;4;1;0;3;;;
7143883-1;0;1;1;5;74;2;1;2;1;0;1;;;
7143886-1;0;1;1;4;75;2;1;2;1;2;3;;;
7143887-1;0;1;1;5;61;2;1;0;1;0;1;;;
7143889-1;1;1;1;3;96;2;1;2;5;0;0;;;
7143890-1;2;1;2;3;84;2;1;1;4;0;0;;;
7143894-1;0;1;2;5;34;7;1;3;1;2;3;;;
7143898-1;2;1;1;2;43;7;1;1;1;2;1;;;
7143900-1;1;1;2;4;73;7;1;1;4;0;1;;;
7143903-1;1;1;2;4;46;7;1;1;1;2;1;;;
7143905-1;0;1;2;5;60;7;1;1;1;2;1;;;
7143908-1;0;1;1;5;39;7;1;1;1;2;3;;;
7143911-1;4;1;2;4;44;7;1;1;4;0;1;;;
7143913-1;1;1;2;4;47;7;1;1;4;2;1;;;
7143914-1;2;1;2;2;71;7;1;5;6;0;1;;;
7143915-1;0;1;2;3;76;7;1;5;5;2;1;;;
7143919-1;1;1;1;5;39;7;1;1;1;2;1;;;
7143925-1;0;1;1;4;72;7;1;1;6;0;1;;;
7143927-1;0;1;1;4;52;7;2; ;1;0;1;;;
7143930-1;0;1;2;4;64;7;1;1;4;0;1;;;
7143931-1;0;1;2;4;60;7;2; ;4;0;1;;;
7143933-1;0;1;2;4;63;7;1;1;4;0;1;;;
7143934-1;1;1;2;3;68;7;1;2;6;0;1;;;
7143937-1;0;1;2;4;56;7;1;2;5;2;1;;;
7143943-1;0;1;2;5;67;7;1;2;4;0;1;;;
7143947-1;2;1;2;3;63;7;1;2;4;0;1;;;
7143951-1;2;1;2;5;66;7;1;2;1;2;3;;;
7143952-1;0;1;1;5;64;7;1;2;6;0;1;;;
7143957-1;1;1;2;3;84;4;1;3;4;0;1;;;
7143958-1;0;1;1;5;26;4;1;1;1;2;1;;;
7143959-1;0;1;2;5;26;4;1;1;1;2;3;;;
7143960-1;2;1;2;4;35;4;1;1;2;2;1;;;
7143962-1;0;1;2;5;43;4;1;1;1;2;1;;;
7143964-1;1;1;2;5;24;4;1;1;4;2;1;;;
7143965-1;2;1;2;4;43;4;1;1;1;2;1;;;
7143966-1;0;1;2;5;19;4;1;1;3;2;3;;;
7143975-1;0;1;2;5;33;4;1;1;1;2;1;;;
7143976-1;0;1;2;5;49;4;1;1;1;2;1;;;
7143981-1;0;1;2;5;38;4;1;1;1;2;3;;;
7143982-1;2;1;2;4;30;4;1;1;1;2;3;;;
7143986-1;2;1;2;5;49;4;1;1;1;2;1;;;
7143989-1;2;1;2;5;38;4;1;1;1;2;3;;;
7143991-1;0;1;2;1;25;3;1;2;1;2;1;;;
7143992-1;1;1;2;4;76;3;1;2;4;0;1;;;
7143995-1;0;1;1;4;57;3;1;2;1;0;1;;;
7143996-1;0;1;2;4;54;3;1;2;1;0;1;;;
7143998-1;0;1;2;4;53;3;1;2;1;0;1;;;
7144001-1;2;1;1;3;88;3;1;2;5;0;0;;;
7144002-1;0;1;1;5;55;3;1;2;1;0;1;;;
7144003-1;0;1;1;4;59;3;1;2;1;0;1;;;
7144005-1;0;1;2;3;72;3;1;2;5;0;1;;;
7144007-1;2;1;2;4;32;3;1;2;1;2;1;;;
7144008-1;2;1;1;4;51;3;1;2;1;0;1;;;
7144013-1;1;1;2;4;50;3;1;3;2;0;1;;;
7144020-1;0;1;1;5;20;3;1;1;4;0;1;;;
7144026-1;0;1;1;3;57;6;1;1;1;0;0;;;
7144032-1;0;1;2;4;55;6;1;1;1;0;1;;;
7144037-1;0;1;2;3;63;6;1;1;4;0;1;;;
7144039-1;0;1;1;5;58;6;1;1;1;0;1;;;
7144043-1;1;1;2;5;37;6;1;1;1;0;1;;;
7144044-1;2;1;2;4;30;9;1;1;4;0;1;;;
7144046-1;1;1;1;4;46;9;1;1;1;0;1;;;
7144049-1;2;1;2;4;40;9;1;1;1;2;3;;;
7144052-1;1;1;2;4;31;9;1;1;1;2;2;;;
7144063-1;1;1;2;5;77;9;1;0;6;0;0;;;
7144066-1;4;1;1;5;45;9;2; ;6;0;1;;;
7144067-1;0;1;2;5;58;9;1;0;6;0;0;;;
7144068-1;4;1;2;6;45;9;2; ;4;0;1;;;
7144069-1;0;1;2;5;82;9;1;0;6;0;1;;;
7144070-1;2;1;1;5;56;9;1;0;6;0;1;;;
7144071-1;2;1;1;5;61;9;1;0;6;0;1;;;
7144073-1;3;1;2;4;37;9;1;1;2;0;1;;;
7144078-1;1;1;2;4;50;9;1;1;1;1;1;;;
7144079-1;2;1;2;4;43;9;1;1;4;0;1;;;
7144080-1;0;1;1;5;40;9;1;1;1;0;1;;;
7144082-1;2;1;2;4;37;9;1;1;4;0;1;;;
7144083-1;1;1;1;4;55;9;1;1;1;0;1;;;
7144084-1;0;1;2;5;67;9;1;1;4;0;0;;;
7144086-1;2;1;2;3;52;9;1;1;1;0;1;;;
7144089-1;0;1;1;3;89;9;1;1;4;0;0;;;
7144091-1;1;1;2;4;65;9;1;1;4;0;0;;;
7144096-1;2;1;2;4;33;9;1;1;1;0;1;;;
7144097-1;0;1;2;5;62;9;1;1;4;0;1;;;
7144105-1;0;1;2;5;72;9;1;1;4;0;1;;;
7144106-1;1;1;2;6;58;9;1;1;4;0;1;;;
7144107-1;0;1;1;5;74;9;1;2;5;0;1;;;
7144107-2;1;1;2;4;49;9;1;2;1;0;1;;;
7144110-1;0;1;2;4;63;9;1;2;1;0;1;;;
7144111-1;0;1;2;5;47;9;1;2;1;2;3;;;
7144117-1;3;1;2;4;53;9;1;2;1;0;1;;;
7144118-1;0;1;2;5;31;9;1;2;1;2;3;;;
7144120-1;0;1;1;4;74;9;1;2;6;2;3;;;
7144127-1;1;1;1;5;55;9;1;1;1;0;1;;;
7144132-2;0;1;1;4;64;1;1;3;1;2;3;;;
7144132-3;0;1;1;4;44;1;1;3;4;0;1;;;
7144132-4;2;1;2;4;52;1;1;3;1;0;1;;;
7144133-1;0;1;1;2;33;1;1;3;1;1;3;;;
7144134-1;1;1;2;4;18;1;1;1;4;2;3;;;
7144136-1;2;1;2;2;59;1;1;1;4;0;1;;;
7144138-1;1;1;2;4;63;1;1;1;4;0;1;;;
7144139-1;0;1;2;3;68;1;1;1;4;0;1;;;
7144152-1;2;1;2;4;51;1;1;1;1;2;3;;;
7144154-1;2;1;2;3;36;1;1;1;1;2;3;;;
7144162-1;4;1;1;4;52;1;1;1;1;0;0;;;
7144164-1;0;1;2;4;72;1;1;5;4;0;1;;;
7144167-1;0;1;2;4;47;1;1;1;4;2;1;;;
7144168-1;1;1;2;3;79;1;1;1;4;0;1;;;
7144175-1;1;1;2;4;49;1;1;3;1;2;3;;;
7144177-1;2;1;2;4;48;1;1;1;4;1;1;;;
7144179-1;2;1;2;4;42;1;1;1;1;2;3;;;
7144182-1;0;1;1;4;35;1;1;1;2;2;1;;;
7144185-1;2;1;2;2;52;1;1;5;1;2;3;;;
7144186-1;1;1;2;3;66;1;1;1;4;0;1;;;
7144189-1;2;1;1;2;44;1;1;1;1;0;1;;;
7144195-1;0;1;1;5;47;1;1;1;1;0;1;;;
7144202-1;1;1;1;6;76;1;1;1;1;0;0;;;
7144203-1;0;1;1;4;71;1;1;1;1;0;1;;;
7144204-1;0;1;1;5;54;1;1;1;1;0;0;;;
7144205-1;0;1;1;4;71;1;1;1;5;0;0;;;
7144208-1;0;1;1;2;92;1;1;1;5;0;0;;;
7144211-1;0;1;1;6;72;1;1;1;2;0;1;;;
7144219-1;1;1;2;3;76;1;1;1;1;0;1;;;
7144223-1;0;1;2;3;73;1;1;1;4;0;0;;;
7144225-1;0;1;2;6;68;1;1;1;4;2;1;;;
7144229-1;0;1;1;5;56;1;1;1;1;0;1;;;
7144230-1;0;1;2;4;57;1;1;2;4;0;1;;;
7144231-1;1;1;1;3;84;1;1;1;5;0;0;;;
7144232-1;2;1;2;4;79;1;1;1;4;0;0;;;
7144235-1;0;1;1;4;39;1;1;1;1;2;3;;;
7144238-1;2;1;2;3;77;1;1;1;4;0;1;;;
7144240-1;0;1;1;5;29;1;1;1;1;0;1;;;
7144241-1;0;1;2;4;73;1;1;2;4;0;1;;;
7144244-1;1;1;2;3;69;1;1;2;1;0;1;;;
7144245-1;1;1;1;3;69;1;1;2;1;2;1;;;
7144246-1;0;1;1;4;44;1;2; ;1;0;1;;;
7144247-1;3;1;2;2;37;1;1;1;1;1;1;;;
7144248-1;0;1;1;6;36;1;1;1;1;0;1;;;
7144249-1;0;1;1;6;51;1;2; ;1;0;1;;;
7144251-1;0;1;1;4;61;1;2; ;1;0;1;;;
7144253-1;0;1;1;2;35;1;1;1;1;0;1;;;
7144255-1;0;1;1;2;65;1;2; ;1;0;0;;;
7144257-1;0;1;1;3;53;1;2; ;1;0;1;;;
7144258-1;0;1;1;5;76;1;2; ;1;0;0;;;
7144266-1;0;1;1;5;65;1;2; ;1;0;1;;;
7144268-1;0;1;1;4;62;1;1;1;1;0;0;;;
7144269-1;2;1;1;4;65;1;1;1;1;0;0;;;
7144270-1;0;1;1;2;42;1;2; ;1;0;1;;;
7144271-1;0;1;1;2;62;1;1;1;1;0;1;;;
7144277-1;0;1;1;2;52;1;1;1;1;2;1;;;
7144283-1;0;1;1;2;36;1;1;1;1;2;1;;;
7144288-1;0;1;1;3;60;1;1;1;1;0;1;;;
7144289-1;0;1;1;2;55;1;2; ;1;0;1;;;
7144293-1;2;1;2;3;69;1;1;1;4;0;0;;;
7144295-1;0;1;1;4;45;1;1;1;1;0;0;;;
7144299-1;0;1;1;5;63;1;1;1;4;0;1;;;
7144303-1;0;1;1;2;49;1;1;1;1;0;1;;;
7144305-1;0;1;1;4;78;1;1;1;6;0;1;;;
7144306-1;0;1;1;5;59;1;1;1;1;2;1;;;
7144309-1;0;1;1;5;21;1;1;1;1;0;1;;;
7144312-1;0;1;1;6;50;1;1;1;1;2;3;;;
7144317-1;0;1;1;4;54;1;1;1;1;0;1;;;
7144322-1;0;1;1;5;50;1;2; ;1;0;0;;;
7144323-1;0;1;1;4;60;1;1;1;1;0;0;;;
7144324-1;0;1;1;2;67;1;1;1;1;0;1;;;
7144325-1;0;1;1;6;71;1;2; ;1;2;3;;;
7144328-1;0;1;1;2;73;1;1;1;1;0;1;;;
7144329-1;0;1;1;4;46;1;1;1;1;0;1;;;
7144332-1;0;1;1;5;18;1;1;1;1;2;1;;;
7144333-1;0;1;1;5;37;1;1;1;1;0;1;;;
7144336-1;0;1;1;5;31;1;1;1;1;2;0;;;
7144342-1;1;1;2;4;31;1;1;1;1;2;1;;;
7144343-1;0;1;1;4;53;1;1;1;1;0;1;;;
7144346-1;2;1;2;4;41;1;1;1;1;0;1;;;
7144349-1;0;1;1;6;57;1;2; ;1;0;0;;;
7144351-1;0;1;1;5;55;1;1;1;1;2;1;;;
7144352-1;0;1;1;2;60;1;1;1;1;0;0;;;
7144353-1;0;1;1;6;47;1;1;2;1;2;1;;;
7144354-1;1;1;1;3;60;1;1;1;1;0;1;;;
7144357-1;0;1;1;2;54;1;1;2;1;0;1;;;
7144358-1;0;1;1;4;53;1;1;1;1;0;0;;;
7144361-1;0;1;1;4;75;1;1;1;1;0;1;;;
7144362-1;0;1;1;5;61;1;2; ;1;0;0;;;
7144364-1;1;1;2;2;37;1;1;1;1;2;3;;;
7144368-1;4;1;2;5;51;1;1;1;4;0;1;;;
7144371-1;0;1;2;4;65;1;1;3;4;2;3;;;
7144374-1;1;1;2;4;44;1;1;4;4;2;3;;;
7144375-1;0;1;1;5;58;1;1;3;1;2;3;;;
7144376-1;2;1;2;3;74;1;1;2;6;0;1;;;
7144377-1;0;1;2;3;78;1;1;2;1;0;1;;;
7144378-1;0;1;1;4;30;1;1;2;1;2;3;;;
7144379-1;1;1;2;4;33;1;1;3;1;2;3;;;
7144380-1;0;1;2;4;71;1;1;3;4;0;1;;;
7144381-1;2;1;1;4;66;1;1;2;4;0;3;;;
7144383-1;0;1;2;5;29;1;1;1;3;2;3;;;
7144390-1;1;1;2;4;28;1;1;2;1;0;1;;;
7144392-1;0;1;2;5;36;1;1;2;1;2;3;;;
7144394-1;0;1;2;3;76;1;1;1;1;0;1;;;
7144395-1;2;1;2;4;45;1;1;2;1;0;3;;;
7144396-1;3;1;2;4;46;1;1;1;1;2;3;;;
7144397-1;2;1;2;4;39;1;1;1;1;2;3;;;
7144399-1;2;1;2;4;41;1;1;1;4;2;3;;;
7144401-1;2;1;2;4;58;1;1;3;4;2;1;;;
7144402-1;1;1;2;3;79;1;1;3;4;0;1;;;
7144405-1;2;1;2;4;59;1;1;3;1;2;3;;;
7144406-1;2;1;1;3;59;1;1;3;1;2;1;;;
7144407-1;0;1;2;3;84;1;1;4;6;0;1;;;
7144408-1;0;1;2;4;44;1;1;3;1;2;3;;;
7144411-1;1;1;2;4;60;1;1;1;4;0;1;;;
7144415-1;2;1;2;3;37;1;1;2;1;2;3;;;
7144420-1;1;1;2;3;67;1;1;2;5;0;0;;;
7144422-1;2;1;2;4;59;1;1;1;4;0;0;;;
7144427-1;0;1;2;5;60;1;1;2;1;0;3;;;
7144430-1;0;1;2;4;62;1;1;1;4;2;3;;;
7144434-1;0;1;1;5;24;1;2; ;1;0;1;;;
7144437-1;0;1;1;5;57;1;2; ;1;0;0;;;
7144441-1;0;1;1;5;24;1;2; ;1;0;1;;;
7144442-1;0;1;1;4;59;1;1;1;1;0;0;;;
7144443-1;0;1;2;4;57;1;2; ;1;0;1;;;
7144448-1;0;1;1;4;53;1;2; ;1;0;1;;;
7144449-1;0;1;1;5;49;1;2; ;1;0;1;;;
7144452-1;3;1;2;5;30;1;1;1;4;0;1;;;
7144455-1;3;1;2;5;27;1;1;1;4;0;1;;;
7144458-1;0;1;1;3;88;1;1;1;5;0;0;;;
7144459-1;2;1;2;5;39;1;1;1;4;0;1;;;
7144461-1;3;1;2;5;34;1;1;1;4;0;1;;;
7144465-1;0;1;1;2;56;1;1;1;1;2;1;;;
7144467-1;3;1;2;4;48;1;1;1;1;2;3;;;
7144468-1;0;1;2;3;98;1;1;1;4;0;1;;;
7144470-1;0;1;1;4;52;1;1;1;1;0;1;;;
7144473-1;0;1;2;3;69;1;1;1;1;0;1;;;
7144474-1;0;1;2;3;71;1;1;1;1;0;0;;;
7144475-1;1;1;2;4;42;1;1;1;4;0;1;;;
7144476-1;2;1;2;4;22;1;1;1;1;2;1;;;
7144478-1;3;1;2;4;40;1;1;1;1;0;1;;;
7144479-1;1;1;2;5;57;1;1;1;1;2;1;;;
7144480-1;0;1;2;5;28;1;1;3;2;2;1;;;
7144481-1;3;1;2;3;82;1;1;3;6;0;0;;;
7144482-1;1;1;2;3;74;1;1;3;4;2;1;;;
7144483-1;0;1;1;2;26;1;1;3;1;2;3;;;
7144491-1;1;1;2;4;58;1;1;3;1;2;3;;;
7144494-1;0;1;1;4;65;1;1;1;4;0;3;;;
7144498-1;1;1;2;4;79;1;1;2;4;0;1;;;
7144501-1;1;1;2;3;93;1;1;1;5;0;0;;;
7144502-1;0;1;2;4;49;1;1;2;4;2;2;;;
7144507-1;0;1;1;4;53;1;1;3;1;2;3;;;
7144509-1;5;1;2;4;40;1;1;2;4;0;1;;;
7144510-1;1;1;2;4;46;1;1;2;1;0;1;;;
7144512-1;5;1;1;4;60;1;1;2;1;0;0;;;
7144513-1;1;1;2;4;80;1;1;2;5;0;1;;;
7144515-1;0;1;1;5;53;1;1;2;1;0;1;;;
7144517-1;2;1;2;4;27;1;1;0;4;0;1;;;
7144518-1;0;1;1;2;46;1;2; ;1;0;1;;;
7144520-1;0;1;1;2;45;1;1;8;1;2;2;;;
7144521-1;0;1;1;2;41;1;2; ;1;2;0;;;
7144522-1;0;1;1;5;22;1;2; ;1;2;1;;;
7144523-1;0;1;1;3;52;1;2; ;1;2;1;;;
7144525-1;1;1;2;3;68;1;2; ;1;0;1;;;
7144526-1;0;1;1;4;42;1;1;2;1;2;1;;;
7144528-1;3;1;2;4;33;1;1;1;4;2;3;;;
7144534-1;2;1;2;1;27;1;1;1;4;2;1;;;
7144535-1;3;1;2;4;54;1;1;1;1;2;1;;;
7144537-1;2;1;2;4;41;1;1;1;4;0;1;;;
7144539-1;1;1;2;4;67;1;1;3;4;0;1;;;
7144542-1;0;1;1;5;40;1;1;3;2;0;1;;;
7144543-1;0;1;1;5;29;1;1;3;1;2;0;;;
7144544-1;0;1;2;5;52;1;1;3;4;2;3;;;
7144546-1;1;1;2;3;70;1;1;3;4;0;1;;;
7144550-1;0;1;2;5;57;1;1;1;1;2;2;;;
7144551-1;1;1;2;2;52;1;1;2;4;2;1;;;
7144552-1;2;1;2;4;33;1;1;2;4;2;3;;;
7144553-1;0;1;2;5;65;1;1;2;1;0;1;;;
7144555-1;1;1;2;4;42;1;1;2;1;2;1;;;
7144557-1;1;1;2;4;37;1;1;2;1;2;3;;;
7144558-1;2;1;2;4;66;1;1;2;4;0;0;;;
7144560-1;0;1;2;5;29;8;1;2;1;2;3;;;
7144562-1;0;1;1;5;65;8;1;2;4;0;1;;;
7144563-1;0;1;2;5;68;8;1;1;4;0;0;;;
7144567-1;0;1;1;4;58;8;1;3;1;2;1;;;
7144568-1;2;1;2;5;52;8;1;2;5;0;1;;;
7144569-1;1;1;2;4;78;8;1;1;4;0;1;;;
7144570-1;0;1;2;3;63;8;1;1;1;0;1;;;
7144575-1;0;1;1;5;42;8;1;1;1;0;1;;;
7144577-1;1;1;2;5;54;8;1;2;1;2;2;;;
7144578-1;1;1;2;3;80;8;1;2;4;0;1;;;
7144579-1;0;1;2;5;51;8;1;1;1;0;0;;;
7144581-1;0;1;1;5;61;8;1;1;1;0;1;;;
7144582-1;0;1;1;5;45;8;1;1;1;0;0;;;
7144584-1;2;1;1;5;54;8;1;1;1;0;1;;;
7144586-1;0;1;2;5;74;8;1;1;5;0;1;;;
7144596-1;0;1;2;5;51;8;1;2;4;0;1;;;
7144597-1;0;1;1;5;38;8;1;2;2;0;1;;;
7144598-1;0;1;1;5;74;8;1;1;1;0;1;;;
7144599-1;1;1;2;5;57;8;1;1;4;0;1;;;
7144602-1;0;1;1;5;53;8;1;2;1;0;1;;;
7144607-1;0;1;1;5;25;8;1;2;1;2;3;;;
7144610-1;1;1;2;5;41;8;1;4;1;2;1;;;
7144614-1;2;1;2;4;57;8;1;2;4;0;1;;;
7144619-1;0;1;1;5;61;8;1;1;1;0;1;;;
7144622-1;1;1;2;3;60;8;1;1;4;0;1;;;
7144625-1;2;1;2;5;33;8;1;1;1;0;1;;;
7144630-1;0;1;2;5;57;8;1;3;3;2;3;;;
7144633-1;0;1;2;5;53;8;1;1;4;2;3;;;
7144639-1;0;1;1;5;46;8;1;2;1;0;1;;;
7144643-1;0;1;2;5;60;8;1;1;1;2;1;;;
7144649-1;0;1;1;5;63;8;1;3;1;2;1;;;
7144650-1;0;1;1;5;59;8;1;3;1;2;1;;;
7144654-1;0;1;1;5;32;1;1;4;1;2;3;;;
7144655-1;1;1;1;2;43;1;1;4;1;2;1;;;
7144658-1;2;1;2;3;77;1;1;1;4;0;1;;;
7144665-1;0;1;2;5;25;1;1;1;1;2;3;;;
7144666-1;0;1;2;5;18;1;1;1;3;2;3;;;
7144673-1;1;1;2;2;49;1;1;2;1;0;1;;;
7144674-1;2;1;2;3;56;1;1;2;4;0;1;;;
7144677-1;0;1;2;5;35;1;1;5;1;2;3;;;
7144678-1;0;1;2;5;72;1;1;5;6;2;3;;;
