Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Tipo Union;Edad Jefe;Region;Energia;Estrato vivienda;Trabajo Jefe;Uso tecnologia Jefe;Edu Jefe;;;
7121842-1;0;1;1;3;69;3;1;3;1;0;1;;;
7121843-1;0;1;2;4;55;3;1;1;4;2;1;;;
7121845-1;2;1;2;4;34;3;1;1;4;2;1;;;
7121849-1;3;1;2;4;35;3;1;1;4;1;3;;;
7121850-1;0;1;2;3;79;3;1;1;4;0;1;;;
7121863-1;0;1;1;5;30;3;1;1;1;2;1;;;
7121864-1;3;1;1;2;49;3;1;1;1;0;1;;;
7121870-1;2;1;2;4;54;3;1;1;1;0;1;;;
7121874-1;1;1;1;4;73;3;1;2;6;2;3;;;
7121875-1;0;1;1;5;14;3;1;1;3;2;3;;;
7121876-1;0;1;1;5;45;3;1;2;1;2;3;;;
7121877-1;3;1;2;2;34;3;1;1;4;0;1;;;
7121878-1;2;1;2;4;22;3;1;1;4;2;1;;;
7121879-1;0;1;1;5;35;3;1;1;1;2;1;;;
7121880-1;1;1;2;2;22;3;1;1;4;1;1;;;
7121881-1;0;1;2;3;87;3;1;1;1;0;0;;;
7121883-1;0;1;2;3;59;3;1;0;4;0;0;;;
7121889-1;4;1;2;4;32;3;1;1;4;2;1;;;
7121893-1;2;1;2;4;47;3;1;1;4;2;1;;;
7121896-1;0;1;1;5;26;3;1;1;1;2;3;;;
7121897-1;0;1;1;4;28;3;1;1;1;2;1;;;
7121901-1;2;1;2;4;49;3;1;1;2;0;1;;;
7121902-1;4;1;2;4;33;3;1;1;1;0;1;;;
7121903-1;0;1;1;4;53;3;1;1;1;2;1;;;
7121904-1;0;1;1;5;49;3;1;1;1;0;1;;;
7121905-1;3;1;2;2;26;3;1;1;4;0;1;;;
7121907-1;0;1;2;4;40;3;1;2;4;0;1;;;
7121914-1;0;1;1;5;38;3;1;1;1;0;1;;;
7121915-1;0;1;2;3;53;3;1;1;1;0;1;;;
7121916-1;0;1;2;4;48;3;1;1;2;0;1;;;
7121919-1;0;1;2;3;85;3;1;2;4;0;1;;;
7121920-1;1;1;2;4;58;3;1;2;1;2;3;;;
7121923-1;3;1;2;4;48;3;1;1;4;2;1;;;
7121925-1;0;1;2;3;63;3;1;2;5;0;1;;;
7121927-1;0;1;2;3;80;3;1;2;4;0;1;;;
7121929-1;0;1;2;4;73;3;1;3;4;0;1;;;
7121930-1;0;1;1;5;38;3;1;1;1;2;1;;;
7121932-1;0;1;1;2;28;3;1;2;1;2;1;;;
7121933-1;2;1;2;3;36;3;1;1;1;2;3;;;
7121935-1;1;1;2;5;53;3;1;2;4;2;1;;;
7121939-1;2;1;2;4;40;3;1;2;1;0;1;;;
7121940-1;1;1;2;3;55;3;1;2;4;0;1;;;
7121942-1;1;1;2;5;33;3;1;2;1;2;1;;;
7121942-2;0;1;2;5;50;3;1;2;1;2;1;;;
7121943-1;1;1;2;3;76;3;1;2;4;0;1;;;
7121944-1;0;1;1;5;40;3;1;2;1;2;3;;;
7121946-1;1;1;2;5;67;3;1;3;4;0;1;;;
7121949-1;1;1;2;4;61;3;1;3;6;0;1;;;
7121951-1;0;1;2;5;49;3;1;3;1;0;1;;;
7121954-1;1;1;2;4;31;3;1;2;1;2;3;;;
7121956-1;1;1;2;4;85;3;1;2;4;0;1;;;
7121959-1;0;1;1;5;33;3;1;3;1;2;3;;;
7121964-1;1;1;2;5;58;2;1;3;4;2;1;;;
7121966-1;1;1;2;3;96;2;1;3;5;0;1;;;
7121967-1;0;1;2;5;41;2;1;3;1;2;3;;;
7121967-2;0;1;2;5;18;2;1;3;3;2;3;;;
7121968-1;1;1;2;5;37;2;1;3;4;2;1;;;
