Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge
7129011-1;2;1;1;2;2;6;59;59
7129012-1;3;1;1;2;2;6;69;39
7129013-1;0;1;2;;;5;21;
7129014-1;3;1;1;2;2;6;34;30
7129015-1;0;1;1;2;2;2;57;54
7129016-1;4;1;2;;;4;30;
7129017-1;2;1;1;2;2;2;42;45
7129019-1;0;1;2;2;1;6;62;70
7129020-1;4;1;2;;;4;40;
7129021-1;1;1;1;;;3;51;
7129022-1;2;1;1;2;2;6;34;32
7129024-1;0;1;1;2;2;6;67;68
7129025-1;1;1;2;;;6;48;
7129026-1;0;1;2;;;5;55;
7129028-1;0;1;2;;;5;65;
7129029-1;0;1;2;;;4;53;
7129030-1;1;1;1;2;2;6;51;47
7129031-1;1;1;1;2;2;2;47;43
7129032-1;2;1;1;2;2;6;34;30
7129033-1;0;1;1;2;2;2;39;33
7129034-1;1;1;1;2;2;6;62;45
7129035-1;0;1;1;2;2;1;28;25
7129036-1;1;1;2;;;4;69;
7129037-1;0;1;2;;;4;46;
7129038-1;0;1;1;;;4;36;
7129039-1;3;1;2;;;4;46;
7129040-1;0;1;1;;;4;54;
7129041-1;0;1;2;;;5;34;
7129042-1;2;1;1;2;2;6;34;43
7129043-1;0;1;2;2;1;6;62;58
7129045-1;2;1;2;;;3;52;
7129046-1;2;1;1;;;4;71;
7129047-1;0;1;1;2;2;1;32;19
7129048-1;5;1;2;;;4;37;
7129049-1;0;1;1;2;2;2;69;61
7129051-1;0;1;1;;;5;47;
7129052-1;3;1;1;2;2;2;41;37
7129053-1;0;1;1;;;2;44;
7129054-1;4;1;1;2;2;6;56;46
7129055-1;2;1;1;2;2;6;27;31
7129056-1;0;1;2;;;3;79;
7129057-1;2;1;1;2;2;1;23;20
7129058-1;1;1;1;2;2;6;62;46
7129059-1;1;1;2;;;3;62;
7129060-1;0;1;1;2;2;6;67;67
7129061-1;0;1;1;2;2;1;21;17
7129062-1;4;1;1;2;2;2;42;35
7129063-1;2;1;1;2;2;2;62;42
7129065-1;3;1;1;2;2;6;58;56
7129067-1;2;1;1;2;2;2;32;36
7129068-1;2;1;2;;;4;33;
7129069-1;2;1;2;2;1;2;50;45
7129070-1;0;1;1;2;2;2;55;43
7129071-1;1;1;1;2;2;2;29;23
7129072-1;1;1;1;2;2;2;33;20
7129073-1;1;1;1;2;2;2;26;19
7129075-1;4;1;1;2;2;2;48;28
7129078-1;0;1;1;;;5;60;
7129079-1;2;1;2;;;3;79;
7129080-1;1;1;2;;;4;67;
7129081-1;0;1;1;2;2;6;52;51
7129083-1;1;1;2;;;3;67;
7129084-1;4;1;1;;;4;44;
7129086-1;0;1;2;;;4;68;
7129087-1;1;1;1;2;2;6;80;76
7129088-1;2;1;2;;;3;54;
7129089-1;0;1;1;;;4;40;
7129090-1;0;1;1;;;1;43;
7129091-1;1;1;1;2;2;2;20;18
7129092-1;0;1;1;2;2;6;77;67
7129093-1;0;1;2;;;4;68;
7129094-1;2;1;1;2;2;2;82;75
7129095-1;0;1;1;;;4;68;
7129096-1;1;1;1;;;4;73;
7129097-1;0;1;1;;;4;67;
7129098-1;0;1;2;;;5;15;
7129099-1;1;1;1;2;2;6;57;47
7129100-1;3;1;1;2;2;6;45;44
7129102-1;0;1;1;;;5;71;
7129104-1;2;1;1;2;2;6;46;42
7129110-1;0;1;1;;;5;14;
7129111-1;2;1;1;2;2;6;49;42
7129112-1;4;1;1;2;2;2;51;46
7129113-1;1;1;2;2;1;2;65;70
7129114-1;0;1;1;;;4;66;
7129115-1;0;1;1;2;2;2;54;57
7129116-1;0;1;1;2;2;2;48;44
7129119-1;0;1;2;;;4;66;
7129120-1;0;1;1;;;4;84;
7129121-1;2;1;1;2;2;2;44;37
7129123-1;1;1;1;2;2;6;56;56
7129124-1;2;1;1;2;2;2;39;33
7129125-1;1;1;1;2;2;6;32;28
7129127-1;1;1;1;2;2;2;28;18
7129128-1;1;1;2;;;4;23;
7129129-1;0;1;1;;;6;59;
7129131-1;2;1;1;2;2;2;45;37
7129132-1;2;1;1;2;2;2;56;43
7129133-1;0;1;1;;;5;63;
7129134-1;0;1;1;;;3;70;
7129135-1;2;1;2;;;5;28;
7129136-1;0;1;2;;;3;50;
7129137-1;2;1;1;2;2;1;42;30
7129138-1;2;1;1;2;2;2;43;35
7129139-1;0;1;1;;;6;41;
7129140-1;2;1;1;2;2;1;22;15
7129141-1;0;1;1;;;2;37;
7129142-1;1;1;2;;;2;25;
7129143-1;1;1;1;2;2;2;66;50
7129144-1;0;1;1;;;5;51;
7129145-1;0;1;1;2;2;6;52;56
7129146-1;0;1;1;;;5;67;
7129147-1;1;1;1;;;4;45;
7129148-1;0;1;1;;;4;30;
7129150-1;1;1;2;;;4;60;
7129151-1;0;1;1;;;6;48;
7129152-1;0;1;1;;;4;78;
7129153-1;0;1;1;2;2;2;54;55
7129154-1;2;1;1;2;2;2;36;28
7129155-1;3;1;1;2;2;6;45;44
7129156-1;0;1;1;2;2;1;24;21
7129157-1;1;1;1;2;2;2;29;25
7129158-1;0;1;1;2;2;2;68;65
7129159-1;0;1;1;2;2;6;53;47
7129160-1;1;1;1;2;2;2;60;47
7129161-1;1;1;1;2;2;2;42;44
7129162-1;2;1;1;2;2;2;33;35
7129163-1;2;1;1;2;2;2;61;62
7129164-1;1;1;1;2;2;6;55;41
7129165-1;0;1;2;2;1;2;52;30
7129166-1;2;1;1;2;2;2;47;23
7129167-1;1;1;2;2;1;6;58;64
7129168-1;2;1;1;2;2;2;53;40
7129169-1;0;1;1;;;4;33;
7129170-1;4;1;1;2;2;2;50;29
7129171-1;2;1;2;;;4;42;
7129172-1;0;1;2;2;1;2;53;63
7129173-1;0;1;2;;;5;54;
7129174-1;1;1;1;2;2;6;33;28
7129175-1;0;1;1;;;3;72;
7129177-1;3;1;1;2;2;2;27;22
7129178-1;0;1;1;;;2;45;
7129179-1;2;1;1;2;2;2;47;43
7129180-1;1;1;1;2;2;1;54;17
7129181-1;4;1;2;;;4;48;
7129182-1;1;1;1;2;2;6;73;59
7129183-1;2;1;1;2;2;2;29;39
7129184-1;1;1;1;;;5;51;
7129185-1;0;1;1;;;5;24;
7129187-1;0;1;1;2;2;6;67;67
7129189-1;0;1;2;;;3;73;
7129190-1;0;1;1;2;2;6;63;57
7129192-1;0;1;1;;;5;59;
7129193-1;4;1;1;2;2;2;46;45
7129194-1;0;1;1;;;5;31;
7129195-1;4;1;1;2;2;2;25;25
7129196-1;4;1;1;2;2;2;36;40
7129198-1;3;1;1;2;2;2;35;34
7129199-1;3;1;1;2;2;2;39;29
7129200-1;0;1;2;;;4;57;
7129201-1;0;1;1;;;5;46;
7129202-1;1;1;2;;;3;52;
7129203-1;0;1;1;;;4;46;
7129204-1;2;1;2;;;4;34;
7129205-1;0;1;2;;;4;56;
7129206-1;0;1;1;2;2;6;55;43
7129207-1;2;1;1;2;2;6;46;38
7129208-1;0;1;1;;;4;66;
7129209-1;2;1;1;2;2;2;50;48
7129210-1;6;1;1;2;2;2;48;31
7129211-1;2;1;2;;;4;39;
7129212-1;0;1;1;;;3;60;
7129213-1;0;1;2;;;4;54;
7129215-1;2;1;1;2;2;6;51;38
7129216-1;1;1;2;;;4;70;
7129217-1;0;1;1;;;4;77;
7129218-1;1;1;1;2;2;6;66;70
7129219-1;2;1;1;2;2;6;50;44
7129220-1;1;1;1;2;2;6;36;25
7129221-1;1;1;1;2;2;1;24;22
7129222-1;1;1;1;2;2;2;27;30
7129223-1;3;1;1;2;2;2;24;21
7129224-1;0;1;1;2;2;2;26;20
7129225-1;1;1;2;;;4;63;
7129226-1;3;1;1;2;2;1;41;32
7129229-1;2;1;1;;;6;43;
7129232-1;1;1;1;2;2;6;50;48
7129233-1;0;1;1;2;2;1;71;70
7129234-1;0;1;2;;;3;86;
7129235-1;0;1;2;;;4;74;
7129236-1;1;1;2;;;4;67;
7129237-1;0;1;1;;;5;64;
7129239-1;1;1;1;2;2;6;32;29
7129240-1;0;1;1;;;5;40;
7129241-1;0;1;2;;;4;55;
7129242-1;0;1;1;;;4;40;
7129243-1;1;1;1;2;2;2;44;46
7129244-1;0;1;1;;;4;39;
7129247-1;1;1;1;2;2;2;60;58
7129248-1;0;1;1;2;2;6;73;66
7129249-1;2;1;2;;;4;38;
7129250-1;5;1;1;2;2;1;48;34
7129251-1;0;1;1;2;2;6;68;74
7129252-1;0;1;1;;;5;21;
7129253-1;0;1;2;;;5;63;
7129254-1;2;1;1;2;2;2;33;26
7129256-1;1;1;1;2;2;6;59;51
7129257-1;2;1;2;;;5;43;
7129258-1;0;1;1;2;2;2;72;69
7129260-1;2;1;1;;;3;83;
7129261-1;2;1;2;;;4;49;
7129262-1;2;1;2;2;1;2;27;31
7129263-1;0;1;1;2;2;6;80;77
7129264-1;0;1;2;;;3;88;
7129265-1;1;1;1;2;2;2;63;58
7129266-1;0;1;2;;;5;26;
7129267-1;0;1;1;2;2;2;61;50
7129268-1;0;1;1;;;4;36;
7129269-1;0;1;1;;;5;25;
7129271-1;0;1;1;;;5;27;
7129272-1;1;1;1;2;2;6;29;38
7129273-1;3;1;2;;;4;72;
7129274-1;0;1;1;;;5;56;
7129275-1;0;1;2;;;3;57;
7129276-1;1;1;1;2;2;6;59;55
7129277-1;0;1;2;;;4;54;
7129281-1;2;1;1;2;2;2;56;33
7129282-1;0;1;1;;;5;45;
7129283-1;0;1;2;;;4;39;
7129284-1;1;1;2;;;4;67;
7129286-1;0;1;1;;;5;44;
7129287-1;0;1;1;2;2;6;65;65
7129288-1;1;1;1;2;2;2;33;47
7129289-1;0;1;2;;;4;43;
7129290-1;0;1;2;;;3;68;
7129291-1;1;1;2;;;4;52;
7129292-1;0;1;1;;;4;60;
7129294-1;0;1;1;;;5;43;
7129295-1;2;1;2;;;4;32;
7129296-1;0;1;1;;;4;58;
7129297-1;0;1;1;;;5;59;
7129299-1;0;1;1;2;2;6;54;48
7129301-1;1;1;1;2;2;6;70;68
7129303-1;0;1;1;;;2;48;
7129304-1;0;1;1;;;3;89;
7129305-1;0;1;1;;;6;65;
7129306-1;0;1;1;;;6;49;
7129307-1;2;1;1;2;2;1;44;44
7129308-1;0;1;1;;;5;20;
7129309-1;2;1;1;2;2;2;45;40
7129311-1;1;1;1;2;2;2;39;26
7129312-1;0;1;1;2;2;2;66;86
7129313-1;1;1;1;2;2;6;74;58
7129314-1;2;1;1;2;2;2;64;53
7129315-1;0;1;2;;;3;64;
7129316-1;2;1;1;2;2;1;35;28
7129317-1;0;1;1;;;4;55;
7129318-1;3;1;2;;;5;34;
7129320-1;1;1;1;2;2;2;38;17
7129321-1;0;1;1;2;2;2;49;46
7129322-1;4;1;1;2;2;2;49;42
7129323-1;0;1;1;;;5;29;
7129324-1;2;1;1;2;2;6;46;47
7129326-1;0;1;1;2;2;2;46;49
7129327-1;0;1;1;2;2;2;48;48
7129328-1;0;1;1;2;2;6;52;52
7129329-1;1;1;1;2;2;1;22;23
7129330-1;2;1;2;;;4;49;
7129331-1;1;1;2;;;5;31;
7129332-1;3;1;1;2;2;2;50;43
7129333-1;0;1;2;;;3;70;
7129334-1;2;1;2;;;4;59;
7129335-1;1;1;1;2;2;2;27;25
7129336-1;0;1;2;;;3;85;
7129337-1;0;1;1;;;3;71;
7129338-1;2;1;1;2;2;2;27;25
7129339-1;1;1;1;2;2;2;48;44
7129340-1;1;1;1;2;2;2;60;28
7129341-1;0;1;1;2;2;2;45;55
7129342-1;1;1;2;;;3;74;
7129343-1;0;1;2;;;3;73;
7129344-1;1;1;1;2;2;6;83;79
7129345-1;0;1;1;;;4;51;
7129347-1;3;1;1;2;2;6;59;47
7129348-1;1;1;1;;;4;34;
7129349-1;0;1;1;2;2;1;24;23
7129350-1;0;1;2;2;1;2;74;68
7129351-1;2;1;1;2;2;6;33;32
7129352-1;0;1;1;2;2;2;61;62
7129353-1;0;1;1;;;4;27;
7129354-1;0;1;1;;;6;46;
7129355-1;0;1;1;2;2;2;64;54
7129356-1;2;1;1;2;2;2;45;48
7129357-1;1;1;1;2;2;2;38;22
7129358-1;0;1;1;2;2;1;23;29
7129359-1;0;1;1;2;2;6;50;41
7129360-1;3;1;2;;;2;38;
7129361-1;1;1;1;2;2;1;28;19
7129363-1;0;1;1;;;5;25;
7129364-1;0;1;1;;;5;25;
7129365-1;1;1;1;2;2;2;27;24
7129366-1;0;1;1;2;2;2;25;23
7129367-1;0;1;1;;;6;26;
7129368-1;0;1;2;;;3;67;
7129369-1;0;1;1;2;2;2;45;33
7129370-1;0;1;1;2;2;2;72;60
7129371-1;3;1;1;2;2;2;49;39
7129372-1;1;1;1;2;2;6;57;52
7129373-1;1;1;1;2;2;2;25;24
7129374-1;1;1;2;2;1;2;42;43
7129375-1;1;1;2;2;1;2;28;30
7129376-1;1;1;1;2;2;6;80;75
7129377-1;1;1;2;;;2;55;
7129378-1;0;1;1;;;5;52;
7129379-1;2;1;1;2;2;6;41;37
7129380-1;1;1;1;2;2;6;70;53
7129381-1;4;1;1;2;2;6;44;42
7129384-1;3;1;1;2;2;6;44;39
7129385-1;2;1;1;2;2;6;46;39
7129387-1;1;1;1;2;2;6;72;67
7129388-1;2;1;1;2;2;6;36;39
7129389-1;1;1;2;;;4;31;
7129389-2;1;1;2;;;4;34;
7129390-1;2;1;2;2;1;2;31;32
7129391-1;0;1;1;;;5;37;
7129392-1;0;1;1;;;4;60;
7129393-1;2;1;1;2;2;2;44;37
7129394-1;1;1;1;2;2;1;26;29
7129395-1;2;1;1;2;2;1;28;20
7129397-1;1;1;1;2;2;2;68;69
7129399-1;1;1;1;2;2;2;70;66
7129401-1;1;1;2;;;6;64;
7129402-1;0;1;1;2;2;6;75;72
7129403-1;1;1;1;2;2;2;83;71
7129404-1;1;1;1;2;2;6;66;58
7129407-1;2;1;1;2;2;2;67;67
7129408-1;2;1;1;2;2;2;47;42
7129409-1;1;1;1;2;2;6;42;51
7129410-1;1;1;1;2;2;2;34;32
7129411-1;2;1;1;2;2;2;48;45
7129412-1;3;1;1;2;2;2;31;29
7129413-1;2;1;1;2;2;2;57;55
7129415-1;2;1;1;2;2;2;36;25
7129416-1;0;1;1;2;2;6;60;61
7129417-1;0;1;1;;;4;63;
7129418-1;0;1;1;2;2;6;54;34
7129419-1;0;1;1;2;2;6;71;59
7129420-1;1;1;1;2;2;2;45;26
7129421-1;2;1;1;2;2;2;33;37
7129423-1;0;1;1;;;5;19;
7129424-1;0;1;1;;;6;23;
7129425-1;1;1;2;;;4;25;
7129427-1;1;1;1;2;2;6;38;33
7129428-1;0;1;1;2;2;2;20;21
7129429-1;3;1;2;;;4;39;
7129430-1;1;1;1;;;4;45;
7129431-1;1;1;2;;;6;31;
7129432-1;0;1;1;;;5;49;
7129434-1;0;1;2;;;3;67;
7129435-1;2;1;1;2;2;6;53;43
7129437-1;0;1;2;;;3;76;
7129438-1;1;1;2;;;4;40;
7129439-1;3;1;1;2;2;2;49;41
7129440-1;1;1;2;;;3;59;
7129441-1;0;1;2;;;5;22;
7129442-1;0;1;2;2;1;6;62;63
7129443-1;2;1;2;;;4;38;
7129444-1;2;1;2;;;6;39;
7129445-1;0;1;1;;;5;31;
7129446-1;0;1;1;;;5;76;
7129447-1;1;1;1;2;2;2;40;40
7129448-1;1;1;2;;;5;54;
7129449-1;1;1;2;;;4;65;
7129450-1;2;1;1;2;2;6;45;27
7129451-1;0;1;1;;;5;21;
7129452-1;3;1;2;;;5;43;
7129453-1;3;1;1;2;2;6;69;63
7129454-1;2;1;1;2;2;6;52;48
7129455-1;0;1;1;2;2;6;82;61
7129456-1;1;1;2;;;5;29;
7129457-1;2;1;2;;;5;39;
7129458-1;1;1;2;;;5;54;
7129459-1;3;1;1;2;2;6;45;38
7129460-1;3;1;2;2;1;2;37;41
7129462-1;3;1;2;;;4;41;
7129463-1;1;1;1;;;5;46;
7129464-1;1;1;2;;;5;73;
7129465-1;3;1;1;2;2;2;38;30
7129467-1;0;1;2;;;5;59;
7129468-1;2;1;2;;;4;47;
7129469-1;2;1;2;;;4;50;
7129470-1;4;1;1;2;2;6;57;48
7129471-1;2;1;2;;;4;42;
7129472-1;1;1;1;2;2;2;68;55
7129473-1;3;1;1;2;2;2;36;37
7129475-1;1;1;1;2;2;2;26;23
7129476-1;2;1;2;;;4;52;
7129477-1;0;1;1;;;5;50;
7129478-1;3;1;1;2;2;2;40;45
7129479-1;2;1;1;2;2;2;26;31
7129479-2;2;1;1;2;2;6;44;45
7129480-1;1;1;1;2;2;2;39;40
7129481-1;3;1;2;2;1;6;39;37
7129482-1;0;1;1;;;4;69;
7129483-1;1;1;2;;;5;43;
7129484-1;1;1;2;;;5;44;
7129485-1;0;1;1;;;5;44;
7129487-1;2;1;2;;;4;49;
7129488-1;1;1;1;2;2;6;74;70
7129489-1;3;1;2;;;3;38;
7129490-1;0;1;1;2;2;2;70;71
7129491-1;2;1;1;2;2;6;29;30
7129492-1;0;1;1;;;5;60;
7129493-1;2;1;2;;;5;43;
7129494-1;0;1;2;;;3;58;
7129495-1;3;1;1;2;2;2;48;46
7129496-1;0;1;1;;;4;62;
7129497-1;2;1;2;;;4;40;
7129498-1;1;1;2;;;3;64;
7129499-1;0;1;1;2;2;6;44;49
7129500-1;0;1;1;;;4;60;
7129501-1;2;1;2;;;4;35;
7129503-1;0;1;1;2;2;2;56;51
7129504-1;2;1;2;;;4;50;
7129505-1;0;1;1;2;2;2;61;46
7129506-1;4;1;1;2;2;2;47;47
7129507-1;2;1;1;2;2;6;38;34
7129508-1;2;1;1;2;2;2;51;47
7129509-1;2;1;1;2;2;2;33;26
7129510-1;1;1;1;2;2;2;38;23
7129511-1;1;1;1;2;2;2;22;25
7129512-1;3;1;2;;;5;38;
7129513-1;1;1;2;;;3;54;
7129514-1;0;1;1;;;5;63;
7129515-1;0;1;1;2;2;6;82;80
7129516-1;1;1;1;2;2;6;63;57
7129517-1;0;1;1;2;2;2;60;78
7129519-1;1;1;1;2;2;6;75;71
7129520-1;0;1;2;;;5;81;
7129521-1;1;1;1;;;3;75;
7129522-1;1;1;1;2;2;2;92;55
7129523-1;0;1;2;2;1;2;50;41
7129524-1;1;1;2;;;4;39;
7129525-1;3;1;1;2;2;6;48;39
7129526-1;0;1;1;2;2;6;38;31
7129527-1;3;1;2;;;4;50;
7129528-1;0;1;1;2;2;2;60;44
7129528-2;0;1;2;;;5;54;
7129529-1;1;1;2;;;4;59;
7129530-1;1;1;1;2;2;2;46;44
7129531-1;2;1;2;;;4;59;
7129532-1;2;1;1;2;2;6;43;32
7129533-1;1;1;1;2;2;6;58;56
7129534-1;1;1;1;2;2;6;67;75
7129535-1;1;1;1;;;5;63;
7129537-1;0;1;1;2;2;6;59;55
7129538-1;2;1;1;2;2;2;50;49
7129539-1;3;1;1;2;2;2;56;24
7129540-1;0;1;2;;;5;45;
7129542-1;1;1;1;2;2;2;60;53
7129543-1;2;1;1;2;2;2;42;23
7129544-1;2;1;2;;;4;54;
7129545-1;1;1;1;2;2;2;45;36
7129546-1;2;1;2;2;1;2;25;30
7129546-2;1;1;1;;;5;36;
7129547-1;1;1;1;2;2;2;24;22
7129548-1;1;1;1;2;2;2;34;28
7129549-1;2;1;2;;;4;48;
7129550-1;0;1;1;;;5;21;
7129551-1;0;1;1;;;4;84;
7129552-1;0;1;1;;;5;32;
7129553-1;5;1;1;2;2;2;42;38
7129554-1;1;1;1;2;2;2;62;44
7129555-1;2;1;2;2;1;2;30;26
7129556-1;0;1;1;;;5;77;
7129557-1;1;1;1;2;2;2;78;67
7129558-1;0;1;1;2;2;2;54;49
7129559-1;1;1;1;2;2;2;53;45
7129560-1;0;1;1;2;2;2;77;58
7129561-1;0;1;1;;;3;90;
7129563-1;0;1;1;2;2;2;27;21
7129564-1;0;1;1;;;4;52;
7129565-1;1;1;1;2;2;2;36;33
7129567-1;1;1;1;2;2;2;41;35
7129568-1;0;1;1;2;2;2;31;29
7129569-1;0;1;2;2;1;6;43;43
7129570-1;5;1;1;2;2;2;32;24
7129571-1;2;1;1;2;2;2;21;22
7129572-1;1;1;1;2;2;1;20;22
7129573-1;0;1;1;;;4;82;
7129574-1;0;1;1;;;5;24;
7129575-1;0;1;1;2;2;2;60;55
7129576-1;0;1;2;;;3;79;
7129577-1;0;1;1;;;5;66;
7129578-1;2;1;2;;;2;40;
7129579-1;1;1;1;2;2;2;48;34
7129580-1;0;1;1;2;2;6;74;63
7129581-1;0;1;1;;;5;53;
7129582-1;0;1;2;;;3;76;
7129583-1;0;1;1;;;3;56;
7129584-1;0;1;1;2;2;6;66;58
7129585-1;0;1;1;2;2;6;88;77
7129586-1;2;1;1;2;2;6;48;39
7129587-1;0;1;2;;;5;66;
7129589-1;0;1;1;2;2;6;55;52
7129590-1;0;1;1;;;5;35;
7129591-1;0;1;1;2;2;6;67;57
7129592-1;1;1;1;;;2;66;
7129593-1;2;1;1;;;3;90;
7129594-1;0;1;1;;;5;75;
7129595-1;1;1;1;2;2;6;38;41
7129596-1;2;1;1;2;2;2;58;35
7129597-1;4;1;1;2;2;6;64;54
7129598-1;0;1;1;;;5;54;
7129599-1;1;1;1;2;2;2;44;44
7129601-1;0;1;1;2;2;2;32;55
7129605-1;2;1;1;2;2;6;56;55
7129610-1;1;1;1;2;2;2;33;29
7129611-1;0;1;2;;;5;74;
7129614-1;0;1;1;2;2;2;53;44
7129616-1;1;1;2;;;2;24;
7129617-1;2;1;2;2;1;6;51;47
7129620-1;4;1;2;;;3;92;
7129623-1;3;1;2;;;4;51;
7129624-1;0;1;2;;;3;55;
7129625-1;2;1;1;2;2;6;42;41
7129627-1;1;1;2;;;5;24;
7129628-1;2;1;2;2;1;2;32;30
7129629-1;0;1;1;;;5;83;
7129630-1;0;1;2;2;1;2;65;66
7129631-1;1;1;1;2;2;2;63;56
7129632-1;1;1;2;2;1;2;50;56
7129633-1;0;1;2;;;4;58;
7129634-1;1;1;2;;;5;47;
7129634-2;1;1;2;;;5;19;
7129635-1;1;1;1;2;2;2;27;17
7129636-1;0;1;2;;;5;59;
7129637-1;1;1;2;;;5;56;
7129638-1;1;1;2;2;1;6;60;60
7129639-1;1;1;2;2;1;2;67;83
7129640-1;1;1;1;2;2;2;26;32
7129641-1;1;1;2;;;5;39;
7129642-1;0;1;2;;;3;68;
7129643-1;1;1;2;;;5;62;
7129644-1;0;1;2;;;2;42;
7129645-1;1;1;1;;;3;79;
7129646-1;0;1;1;;;5;25;
7129647-1;1;1;2;;;4;55;
7129648-1;1;1;1;2;2;2;29;25
7129649-1;1;1;2;2;1;2;58;55
7129651-1;0;1;1;2;2;2;46;45
7129652-1;3;1;1;2;2;6;40;41
7129653-1;1;1;1;2;2;2;53;44
7129654-1;0;1;2;;;5;28;
7129655-1;0;1;2;2;1;2;70;68
7129656-1;0;1;2;;;3;72;
7129657-1;0;1;2;;;3;68;
7129658-1;3;1;2;;;4;34;
7129659-1;1;1;2;;;4;68;
7129660-1;1;1;1;2;2;6;67;54
7129661-1;0;1;1;2;2;6;79;73
7129662-1;0;1;2;;;5;20;
7129663-1;0;1;1;2;2;6;69;65
7129665-1;1;1;1;2;2;1;42;30
7129666-1;0;1;2;;;5;37;
7129667-1;1;1;2;;;3;51;
7129668-1;2;1;2;;;4;37;
7129669-1;2;1;2;2;1;2;25;34
7129670-1;1;1;2;;;5;45;
7129672-1;1;1;1;2;2;6;58;55
7129673-1;1;1;2;;;5;26;
7129674-1;1;1;1;2;2;1;59;50
7129675-1;1;1;2;;;3;57;
7129676-1;2;1;1;2;2;6;59;55
7129678-1;1;1;2;;;3;61;
7129679-1;0;1;2;;;4;64;
7129680-1;2;1;1;2;2;6;42;38
7129682-1;6;1;1;2;2;2;67;48
7129683-1;0;1;2;;;4;79;
7129684-1;0;1;1;2;2;2;51;49
7129685-1;0;1;1;;;5;51;
7129687-1;3;1;1;2;2;2;55;44
7129688-1;0;1;2;2;1;6;82;89
7129690-1;1;1;1;2;2;6;48;44
7129691-1;1;1;2;;;3;86;
7129692-1;1;1;2;;;4;58;
7129693-1;0;1;1;2;2;2;66;52
7129694-1;0;1;1;;;1;45;
7129699-1;1;1;1;;;4;58;
7129700-1;1;1;1;2;2;6;73;71
7129701-1;2;1;2;;;4;69;
7129703-1;1;1;1;2;2;2;46;39
7129704-1;3;1;1;2;2;2;66;49
7129705-1;3;1;1;2;2;1;46;46
7129706-1;2;1;1;2;2;2;44;39
7129708-1;2;1;1;2;2;6;51;49
7129709-1;1;1;1;;;4;49;
7129710-1;3;1;1;2;2;6;34;31
7129711-1;1;1;1;2;2;2;38;48
7129712-1;0;1;1;2;2;2;47;45
7129713-1;1;1;2;2;1;6;50;50
7129714-1;0;1;2;2;2;2;28;25
7129716-1;0;1;1;;;5;19;
7129717-1;0;1;1;;;5;17;
7129718-1;1;1;1;;;6;48;
7129719-1;1;1;2;;;3;62;
7129720-1;0;1;2;;;5;28;
7129721-1;1;1;1;2;2;2;28;21
7129722-1;1;1;1;2;2;6;39;39
7129723-1;0;1;1;;;5;32;
7129724-1;0;1;1;;;5;42;
7129725-1;2;1;1;2;2;2;49;40
7129727-1;0;1;2;2;1;2;37;28
7129728-1;0;1;1;;;5;55;
7129729-1;1;1;2;;;4;43;
7129730-1;1;1;1;2;2;6;59;56
7129731-1;0;1;1;2;2;2;37;31
7129732-1;0;1;1;2;2;2;31;28
7129733-1;2;1;1;2;2;6;43;37
7129734-1;2;1;1;2;2;1;41;35
7129735-1;1;1;1;2;2;2;21;20
7129736-1;7;1;2;;;3;42;
7129737-1;0;1;2;;;4;60;
7129738-1;1;1;1;2;2;2;47;45
7129739-1;1;1;2;2;1;6;50;52
7129740-1;0;1;1;2;2;6;93;89
7129741-1;0;1;1;;;5;50;
7129742-1;1;1;1;2;2;2;56;43
7129743-1;0;1;2;;;4;63;
7129744-1;1;1;2;;;4;33;
7129745-1;2;1;2;;;2;38;
7129746-1;0;1;2;;;4;50;
7129747-1;5;1;2;;;4;40;
7129748-1;1;1;1;2;2;6;29;29
7129749-1;0;1;1;;;4;58;
7129750-1;0;1;2;2;1;2;68;67
7129751-1;3;1;2;;;5;35;
7129752-1;2;1;2;;;4;48;
7129753-1;2;1;2;;;3;88;
7129754-1;1;1;2;;;3;45;
7129755-1;0;1;1;;;4;62;
7129756-1;0;1;2;;;3;80;
7129757-1;1;1;2;;;4;69;
7129758-1;1;1;2;;;4;72;
7129759-1;0;1;1;;;5;78;
7129760-1;0;1;1;;;4;90;
7129761-1;0;1;2;;;3;68;
7129762-1;1;1;2;;;3;84;
7129763-1;0;1;2;;;4;58;
7129764-1;1;1;2;;;3;74;
7129765-1;0;1;2;;;6;67;
7129765-2;1;1;1;2;2;6;50;39
7129766-1;0;1;2;;;4;78;
7129767-1;1;1;2;;;3;90;
7129768-1;0;1;2;2;1;6;61;72
7129769-1;2;1;1;2;2;2;53;38
7129770-1;2;1;1;2;2;2;48;42
7129771-1;2;1;2;2;1;6;49;63
7129772-1;2;1;1;2;2;6;76;57
7129773-1;0;1;1;2;2;6;88;80
7129774-1;0;1;1;2;2;6;70;72
7129775-1;2;1;1;2;2;2;26;23
7129777-1;0;1;1;;;5;55;
7129778-1;1;1;2;;;4;36;
7129779-1;2;1;1;2;2;2;65;41
7129780-1;2;1;1;2;2;2;41;25
7129781-1;0;1;2;;;5;36;
7129782-1;2;1;2;2;1;2;48;37
7129783-1;0;1;2;;;3;83;
7129784-1;1;1;1;2;2;6;47;39
7129785-1;0;1;2;;;5;72;
7129786-1;3;1;2;;;4;54;
7129788-1;1;1;1;2;2;6;65;60
7129790-1;0;1;2;;;5;57;
7129791-1;0;1;1;;;5;48;
7129792-1;0;1;2;;;5;75;
