Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Educacion padre;Educacion madre
7121763-1;0;1;1;2;2;6;;
7121764-1;0;1;1;2;2;6;;
7121765-1;0;1;2;;;3;;
7121767-1;1;1;2;;;4;;
7121769-1;0;1;2;;;4;;
7121770-1;1;1;1;2;2;6;;
7121773-1;3;1;1;2;2;6;;
7121774-1;0;1;1;2;2;6;;
7121776-1;0;1;1;2;2;6;;
7121783-1;0;1;2;2;1;2;;
7121801-1;0;1;1;2;2;2;;
7121802-1;1;1;2;;;5;;
7121805-1;3;1;1;2;2;6;;
7121806-1;1;1;1;2;2;2;;
7121808-1;1;1;1;2;2;2;;
7121808-2;0;1;1;2;2;2;;
7121810-1;0;1;1;2;2;1;;
7121811-1;2;1;1;2;2;6;;
7121812-1;1;1;2;;;1;;
7121813-1;1;1;2;;;5;;
7121814-1;0;1;2;;;4;;
7121816-1;4;1;2;;;4;;
7121817-1;0;1;1;;;5;;
7121819-1;1;1;1;2;2;6;;
7121820-1;0;1;1;;;4;;
7121822-1;2;1;1;2;2;1;;
7121823-1;0;1;1;;;2;;
7121825-1;2;1;2;;;4;;
7121826-1;0;1;1;;;5;;
7121827-1;3;1;2;;;5;;
7121828-1;0;1;1;;;5;;
7121829-1;2;1;1;2;2;2;;
7121830-1;2;1;1;2;2;2;;
7121831-1;1;1;2;;;5;;
7121832-1;0;1;1;2;2;2;;
7121833-1;1;1;2;;;5;;
7121834-1;0;1;2;;;5;;
7121835-1;1;1;1;2;2;2;;
7121836-1;0;1;1;;;5;;
7121837-1;1;1;2;;;4;;
7121838-1;1;1;2;2;1;2;;
7121839-1;0;1;2;;;5;;
7121840-1;1;1;2;;;3;;
7121841-1;2;1;1;2;2;2;;
7121842-1;0;1;1;;;3;;
7121843-1;0;1;2;;;4;;
7121844-1;0;1;1;2;2;6;;
7121845-1;2;1;2;;;4;;
7121846-1;2;1;1;2;2;2;;
7121847-1;2;1;1;2;2;2;;
7121848-1;1;1;1;2;2;6;;
7121849-1;3;1;2;;;4;;
7121850-1;0;1;2;;;3;;
7121853-1;0;1;1;2;2;2;;
7121854-1;1;1;1;2;2;6;;
7121855-1;2;1;2;2;1;2;;
7121856-1;4;1;1;2;2;2;;
7121857-1;1;1;1;2;2;6;;
7121859-1;0;1;1;2;2;6;;
7121860-1;0;1;1;2;2;6;;
7121862-1;3;1;1;2;2;6;;
7121863-1;0;1;1;;;5;;
7121864-1;3;1;1;;;2;;
7121866-1;0;1;1;2;2;2;;
7121867-1;3;1;1;2;2;2;;
7121868-1;2;1;2;2;1;6;;
7121869-1;1;1;1;2;2;6;;
7121870-1;2;1;2;;;4;;
7121871-1;4;1;1;2;2;6;;
7121874-1;1;1;1;;;4;;
7121875-1;0;1;1;;;5;;
7121876-1;0;1;1;;;5;;
7121877-1;3;1;2;;;2;;
7121878-1;2;1;2;;;4;;
7121879-1;0;1;1;;;5;;
7121880-1;1;1;2;;;2;;
7121881-1;0;1;2;;;3;;
7121883-1;0;1;2;;;3;;
7121884-1;0;1;1;2;2;6;;
7121888-1;1;1;1;2;2;2;;
7121889-1;4;1;2;;;4;;
7121890-1;2;1;1;2;2;2;;
7121892-1;3;1;1;2;2;6;;
7121893-1;2;1;2;;;4;;
7121894-1;2;1;2;2;1;2;;
7121895-1;1;1;1;2;2;6;;
7121896-1;0;1;1;;;5;;
7121897-1;0;1;1;;;4;;
7121898-1;2;1;2;2;1;2;;
7121899-1;1;1;1;2;2;6;;
7121901-1;2;1;2;;;4;;
7121902-1;4;1;2;;;4;;
7121903-1;0;1;1;;;4;;
7121904-1;0;1;1;;;5;;
7121905-1;3;1;2;;;2;;
7121906-1;1;1;1;2;2;2;;
7121907-1;0;1;2;;;4;;
7121908-1;1;1;1;2;2;6;;
7121910-1;0;1;1;2;2;6;;
7121911-1;1;1;1;2;2;6;;
7121912-1;1;1;2;2;1;2;;
7121913-1;1;1;1;2;2;6;;
7121914-1;0;1;1;;;5;;
7121915-1;0;1;2;;;3;;
7121916-1;0;1;2;;;4;;
7121919-1;0;1;2;;;3;;
7121920-1;1;1;2;;;4;;
7121921-1;2;1;2;2;1;6;;
7121922-1;2;1;2;2;1;2;;
7121923-1;3;1;2;;;4;;
7121924-1;1;1;1;2;2;2;;
7121925-1;0;1;2;;;3;;
7121926-1;1;1;1;2;2;6;;
7121927-1;0;1;2;;;3;;
7121928-1;4;1;1;2;2;6;;
7121929-1;0;1;2;;;4;;
7121930-1;0;1;1;;;5;;
7121931-1;0;1;1;2;2;6;;
7121932-1;0;1;1;;;2;;
7121933-1;2;1;2;;;3;;
7121934-1;3;1;2;2;1;6;;
7121935-1;1;1;2;;;5;;
7121936-1;1;1;1;2;2;6;;
7121937-1;0;1;1;2;2;2;;
7121939-1;2;1;2;;;4;;
7121940-1;1;1;2;;;3;;
7121942-1;1;1;2;;;5;;
7121942-2;0;1;2;;;5;;
7121943-1;1;1;2;;;3;;
7121944-1;0;1;1;;;5;;
7121945-1;0;1;1;2;2;6;;
7121946-1;1;1;2;;;5;;
7121947-1;0;1;1;2;2;6;;
7121949-1;1;1;2;;;4;;
7121950-1;0;1;1;2;2;2;;
7121951-1;0;1;2;;;5;;
7121952-1;2;1;1;2;2;6;;
7121953-1;0;1;1;2;2;6;;
7121954-1;1;1;2;;;4;;
7121955-1;0;1;1;2;2;6;;
7121956-1;1;1;2;;;4;;
7121957-1;1;1;1;2;2;2;;
7121959-1;0;1;1;;;5;;
7121960-1;3;1;1;2;2;6;;
7121961-1;0;1;1;2;2;1;;
7121962-1;2;1;2;2;1;1;;
7121963-1;0;1;2;2;1;6;;
7121964-1;1;1;2;;;5;;
7121966-1;1;1;2;;;3;;
7121967-1;0;1;2;;;5;;
7121967-2;0;1;2;;;5;;
7121968-1;1;1;2;;;5;;
7121969-1;2;1;2;;;5;;
7121970-1;0;1;2;;;3;;
7121971-1;0;1;2;;;3;;
7121972-1;0;1;1;;;4;;
7121973-1;0;1;2;;;5;;
7121974-1;0;1;1;2;2;2;;
7121975-1;0;1;1;2;2;2;;
7121976-1;0;1;1;2;2;2;;
7121977-1;0;1;1;2;2;2;;
7121978-1;2;1;1;2;2;6;;
7121979-1;0;1;1;;;4;;
7121980-1;0;1;1;;;1;;
7121981-1;1;1;1;2;2;2;;
7121982-1;0;1;2;;;6;;
7121983-1;3;1;1;2;2;6;;
7121984-1;0;1;2;;;4;;
7121985-1;1;1;1;2;2;6;;
7121987-1;3;1;1;2;2;1;;
7121989-1;2;1;2;;;4;;
7121989-2;0;1;1;;;5;;
7121990-1;0;1;2;;;4;;
7121992-1;2;1;1;2;2;2;;
7121993-1;1;1;2;;;4;;
7121995-1;1;1;2;2;1;2;;
7121997-1;2;1;1;2;2;6;;
7122001-1;0;1;2;2;1;6;;
7122002-1;1;1;2;;;5;;
7122003-1;0;1;1;;;3;;
7122004-1;0;1;2;2;1;1;;
7122005-1;1;1;1;2;2;2;;
7122007-1;4;1;1;2;2;1;;
7122008-1;0;1;1;;;5;;
7122009-1;0;1;2;;;3;;
7122010-1;0;1;2;;;4;;
7122011-1;0;1;1;2;2;2;;
7122012-1;0;1;1;2;2;2;;
7122013-1;2;1;1;2;2;2;;
7122014-1;1;1;1;2;2;6;;
7122015-1;0;1;1;2;2;2;;
7122020-1;3;1;2;;;2;;
7122023-1;1;1;2;;;5;;
7122025-1;1;1;2;;;5;;
7122026-1;0;1;2;;;4;;
7122027-1;2;1;1;2;2;2;;
7122029-1;0;1;1;2;2;6;;
7122030-1;0;1;1;;;4;;
7122031-1;0;1;1;;;4;;
7122033-1;0;1;2;;;4;;
7122034-1;1;1;1;2;2;6;;
7122035-1;0;1;1;;;4;;
7122036-1;0;1;2;;;4;;
7122037-1;2;1;1;2;2;2;;
7122038-1;2;1;2;;;4;;
7122039-1;3;1;2;2;1;2;;
7122040-1;0;1;2;;;3;;
7122041-1;0;1;2;2;1;2;;
7122042-1;1;1;2;2;1;6;;
7122042-2;1;1;2;2;1;2;;
7122044-1;0;1;2;2;1;6;;
7122046-1;1;1;2;;;4;;
7122047-1;0;1;1;2;2;2;;
7122051-1;2;1;1;2;2;6;;
7122052-1;0;1;2;2;1;1;;
7122055-1;2;1;2;;;4;;
7122056-1;0;1;1;2;2;6;;
7122057-1;2;1;1;2;2;2;;
7122058-1;2;1;2;;;4;;
7122061-1;1;1;1;2;2;2;;
7122062-1;3;1;2;2;1;2;;
7122063-1;0;1;2;2;1;2;;
7122064-1;1;1;1;2;2;6;;
7122065-1;0;1;2;2;1;6;;
7122066-1;3;1;2;;;4;;
7122067-1;2;1;1;2;2;6;;
7122068-1;1;1;2;;;4;;
7122069-1;0;1;1;2;2;2;;
7122071-1;3;1;2;2;1;6;;
7122072-1;1;1;1;;;3;;
7122072-2;1;1;1;;;4;;
7122073-1;1;1;2;;;3;;
7122073-2;2;1;2;;;4;;
7122074-1;0;1;2;;;4;;
7122075-1;1;1;2;;;5;;
7122076-1;1;1;1;2;2;2;;
7122077-1;2;1;2;;;3;;
7122078-1;0;1;1;2;2;6;;
7122079-1;0;1;1;2;2;6;;
7122080-1;0;1;1;;;4;;
7122080-2;2;1;2;;;4;;
7122081-1;2;1;2;2;1;2;;
7122083-1;2;1;1;2;2;2;;
7122084-1;0;1;2;;;3;;
7122085-1;1;1;2;;;3;;
7122086-1;2;1;2;2;1;2;;
7122086-2;1;1;2;2;1;2;;
7122087-1;2;1;2;;;5;;
7122088-1;3;1;2;2;1;2;;
7122089-1;4;1;1;2;2;6;;
7122090-1;1;1;1;2;2;6;;
7122091-1;2;1;2;2;1;2;;
7122093-1;2;1;1;2;2;6;;
7122094-1;3;1;1;2;2;6;;
7122096-1;0;1;1;2;2;6;;
7122097-1;0;1;1;2;2;6;;
7122098-1;0;1;2;2;1;1;;
7122103-1;0;1;2;;;5;;
7122104-1;0;1;1;;;5;;
7122105-1;0;1;1;;;4;;
7122108-1;1;1;1;2;2;2;;
7122110-1;1;1;1;2;2;1;;
7122111-1;2;1;1;2;2;6;;
7122113-1;1;1;2;;;3;;
7122115-1;0;1;2;2;1;6;;
7122115-2;2;1;2;2;1;6;;
7122116-1;1;1;1;2;2;6;;
7122116-2;0;1;1;2;2;6;;
7122116-3;2;1;2;2;1;6;;
7122117-1;0;1;1;2;2;6;;
7122118-1;2;1;2;2;1;2;;
7122119-1;0;1;1;;;5;;
7122120-1;0;1;1;2;2;6;;
7122120-2;0;1;2;2;1;6;;
7122120-3;2;1;2;2;1;2;;
7122121-1;0;1;1;;;4;;
7122122-1;2;1;1;2;2;2;;
7122123-1;2;1;1;2;2;2;;
7122125-1;1;1;2;;;5;;
7122127-1;1;1;2;;;5;;
7122128-1;0;1;1;;;5;;
7122131-1;1;1;2;;;4;;
7122132-1;0;1;1;2;2;6;;
7122134-1;3;1;1;2;2;6;;
7122135-1;1;1;1;2;2;6;;
7122136-1;0;1;1;;;4;;
7122137-1;1;1;2;;;5;;
7122138-1;2;1;1;2;2;6;;
7122139-1;0;1;1;;;5;;
7122140-1;1;1;2;;;2;;
7122141-1;1;1;2;2;1;2;;
7122142-1;2;1;2;2;1;2;;
7122143-1;1;1;1;2;2;2;;
7122145-1;5;1;2;2;1;2;;
7122146-1;0;1;1;;;5;;
7122147-1;1;1;2;;;5;;
7122148-1;2;1;1;2;2;6;;
7122149-1;3;1;2;;;4;;
7122150-1;1;1;2;;;3;;
7122151-1;0;1;2;2;1;6;;
7122152-1;1;1;1;2;2;6;;
7122153-1;1;1;1;2;2;6;;
7122154-1;1;1;1;2;2;6;;
7122157-1;0;1;1;;;5;;
7122159-1;2;1;1;2;2;2;;
7122161-1;1;1;1;2;2;1;;
7122162-1;0;1;1;2;2;6;;
7122163-1;2;1;2;;;3;;
7122164-1;2;1;1;2;2;2;;
7122165-1;1;1;1;2;2;6;;
7122166-1;0;1;1;2;2;2;;
7122167-1;2;1;1;2;2;6;;
7122168-1;0;1;2;;;3;;
7122171-1;0;1;1;2;2;6;;
7122172-1;0;1;2;;;5;;
7122173-1;0;1;2;;;4;;
7122174-1;1;1;1;2;2;2;;
7122176-1;0;1;2;;;5;;
7122180-1;0;1;2;;;5;;
7122183-1;2;1;1;2;2;6;;
7122184-1;3;1;2;;;4;;
7122185-1;1;1;1;2;2;6;;
7122187-1;0;1;2;2;1;6;;
7122188-1;0;1;1;2;2;6;;
7122189-1;0;1;1;2;2;6;;
7122190-1;0;1;1;2;2;6;;
7122191-1;2;1;2;2;1;6;;
7122192-1;0;1;2;2;1;6;;
7122193-1;0;1;2;;;3;;
7122195-1;1;1;1;2;2;6;;
7122197-1;2;1;1;2;2;6;;
7122198-1;1;1;2;;;4;;
7122199-1;1;1;1;2;2;6;;
7122200-1;2;1;1;2;2;6;;
7122201-1;1;1;2;;;4;;
7122202-1;3;1;1;2;2;6;;
7122203-1;2;1;1;2;2;2;;
7122204-1;2;1;1;2;2;6;;
7122205-1;1;1;1;2;2;2;;
7122206-1;0;1;1;;;5;;
7122207-1;2;1;1;2;2;6;;
7122208-1;0;1;1;;;4;;
7122209-1;2;1;1;2;2;2;;
7122210-1;1;1;1;2;2;2;;
7122211-1;0;1;1;2;2;2;;
7122212-1;0;1;2;;;3;;
7122213-1;0;1;1;;;5;;
7122214-1;1;1;2;;;4;;
7122215-1;0;1;1;2;2;6;;
7122216-1;0;1;1;2;2;6;;
7122217-1;3;1;1;2;2;1;;
7122219-1;1;1;1;2;2;6;;
7122220-1;2;1;1;2;2;2;;
7122221-1;1;1;2;;;3;;
7122222-1;1;1;2;;;3;;
7122223-1;0;1;1;2;2;2;;
7122223-2;1;1;2;;;4;;
7122225-1;2;1;1;2;2;1;;
7122226-1;1;1;1;2;2;2;;
7122227-1;1;1;2;;;5;;
7122228-1;1;1;2;;;4;;
7122229-1;2;1;1;2;2;2;;
7122230-1;2;1;1;2;2;2;;
7122231-1;1;1;1;2;2;2;;
7122232-1;2;1;1;2;2;2;;
7122233-1;1;1;1;2;2;2;;
7122234-1;0;1;1;2;2;2;;
7122235-1;0;1;1;2;2;6;;
7122236-1;1;1;1;2;2;2;;
7122237-1;1;1;1;2;2;6;;
7122238-1;2;1;1;2;2;6;;
7122240-1;0;1;1;2;2;6;;
7122241-1;3;1;1;2;2;6;;
7122242-1;0;1;2;;;3;;
7122244-1;0;1;1;2;2;6;;
7122245-1;1;1;2;;;4;;
7122246-1;0;1;2;;;4;;
7122247-1;1;1;2;2;1;6;;
7122248-1;0;1;2;;;5;;
7122249-1;0;1;1;;;3;;
7122250-1;1;1;1;2;2;6;;
7122251-1;1;1;1;;;3;;
7122252-1;0;1;1;2;2;6;;
7122253-1;1;1;1;2;2;2;;
7122255-1;1;1;1;2;2;2;;
7122257-1;2;1;2;;;4;;
7122258-1;0;1;1;;;4;;
7122259-1;0;1;2;;;3;;
7122261-1;0;1;2;;;5;;
7122262-1;0;1;1;;;5;;
7122263-1;2;1;1;2;2;2;;
7122264-1;2;1;2;;;4;;
7122265-1;1;1;1;2;2;2;;
7122268-1;4;1;2;;;4;;
7122269-1;3;1;2;2;1;6;;
7122270-1;2;1;2;;;5;;
7122271-1;2;1;2;;;5;;
7122272-1;4;1;2;;;3;;
7122273-1;2;1;2;;;3;;
7122274-1;0;1;2;;;5;;
7122275-1;2;1;2;;;4;;
7122276-1;2;1;1;2;2;2;;
7122277-1;1;1;2;;;5;;
7122278-1;0;1;1;2;2;6;;
7122279-1;2;1;1;2;2;6;;
7122281-1;1;1;2;2;1;2;;
7122282-1;1;1;2;;;6;;
7122283-1;2;1;1;2;2;6;;
7122284-1;1;1;2;;;4;;
7122285-1;1;1;2;;;2;;
7122286-1;1;1;2;2;1;2;;
7122287-1;1;1;1;;;4;;
7122289-1;1;1;2;;;4;;
7122290-1;2;1;1;2;2;6;;
7122291-1;2;1;1;;;4;;
7122292-1;2;1;2;;;4;;
7122293-1;1;1;1;;;4;;
7122294-1;0;1;1;2;2;6;;
7122296-1;2;1;2;;;4;;
7122296-2;2;1;1;2;2;6;;
