Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Educacion padre;Educacion madre
7139736-1;0;1;2;;;4;;
7139737-1;1;1;2;;;5;;
7139738-1;1;1;2;;;3;;
7139739-1;0;1;1;2;2;6;;
7139741-1;3;1;1;2;2;2;;
7139742-1;2;1;2;2;1;2;;
7139744-1;5;1;2;;;5;;
7139745-1;1;1;2;;;4;;
7139747-1;1;1;2;;;4;;
7139748-1;0;1;1;;;4;;
7139749-1;1;1;2;;;4;;
7139750-1;0;1;2;;;5;;
7139751-1;2;1;1;2;2;2;;
7139752-1;2;1;1;2;2;2;;
7139753-1;2;1;1;2;2;2;;
7139754-1;0;1;2;;;5;;
7139755-1;2;1;2;;;4;;
7139756-1;0;1;2;2;1;6;;
7139757-1;0;1;1;;;4;;
7139759-1;1;1;1;2;2;2;;
7139760-1;2;1;1;;;4;;
7139763-1;2;1;1;2;2;6;;
7139764-1;0;1;2;;;5;;
7139765-1;0;1;2;;;4;;
7139767-1;1;1;2;;;5;;
7139768-1;2;1;1;2;2;6;;
7139769-1;0;1;1;;;4;;
7139770-1;0;1;2;;;3;;
7139771-1;1;1;1;2;2;6;;
7139772-1;1;1;1;2;2;1;;
7139773-1;2;1;2;;;3;;
7139774-1;0;1;1;2;2;2;;
7139775-1;1;1;2;;;4;;
7139777-1;4;1;1;2;2;2;;
7139778-1;2;1;2;;;5;;
7139779-1;1;1;2;;;5;;
7139780-1;1;1;2;;;5;;
7139781-1;0;1;2;;;4;;
7139782-1;4;1;2;;;4;;
7139784-1;0;1;1;2;2;2;;
7139785-1;2;1;1;2;2;2;;
7139787-1;1;1;2;;;3;;
7139789-1;0;1;1;;;5;;
7139791-1;1;1;2;;;5;;
7139792-1;2;1;2;;;4;;
7139793-1;2;1;2;2;1;1;;
7139794-1;2;1;2;;;4;;
7139795-1;0;1;1;2;2;2;;
7139796-1;2;1;1;2;2;6;;
7139797-1;0;1;2;;;5;;
7139798-1;4;1;1;2;2;2;;
7139799-1;0;1;1;;;5;;
7139800-1;1;1;2;;;5;;
7139801-1;0;1;2;;;5;;
7139802-1;0;1;1;;;5;;
7139804-1;3;1;2;;;4;;
7139805-1;0;1;2;;;3;;
7139805-2;1;1;2;;;5;;
7139806-1;0;1;1;;;4;;
7139807-1;2;1;1;2;2;2;;
7139808-1;0;1;1;2;2;1;;
7139809-1;2;1;1;;;4;;
7139810-1;4;1;1;2;2;2;;
7139812-1;0;1;2;;;5;;
7139813-1;1;1;2;;;4;;
7139815-1;0;1;1;2;2;2;;
7139816-1;3;1;1;2;2;2;;
7139819-1;2;1;1;2;2;2;;
7139820-1;2;1;1;2;2;2;;
7139822-1;0;1;1;2;2;1;;
7139825-1;2;1;2;;;4;;
7139827-1;0;1;1;2;2;2;;
7139829-1;0;1;1;2;2;2;;
7139830-1;0;1;2;;;4;;
7139831-1;2;1;2;;;4;;
7139835-1;2;1;1;2;2;2;;
7139836-1;0;1;2;;;4;;
7139838-1;2;1;2;;;4;;
7139839-1;2;1;1;2;2;6;;
7139840-1;1;1;2;;;3;;
7139841-1;1;1;1;2;2;2;;
7139842-1;2;1;2;;;5;;
7139843-1;1;1;2;;;5;;
7139844-1;2;1;1;2;2;2;;
7139846-1;0;1;1;;;5;;
7139847-1;0;1;2;;;4;;
7139851-1;0;1;1;2;2;6;;
7139852-1;1;1;1;2;2;6;;
7139853-1;3;1;1;2;2;2;;
7139854-1;4;1;2;;;3;;
7139855-1;0;1;2;;;3;;
7139856-1;4;1;1;2;2;2;;
7139860-1;2;1;2;2;1;2;;
7139861-1;2;1;1;2;2;2;;
7139862-1;0;1;1;;;5;;
7139863-1;0;1;1;2;2;6;;
7139864-1;1;1;1;2;2;6;;
7139865-1;2;1;1;2;2;6;;
7139866-1;0;1;2;;;4;;
7139867-1;2;1;1;2;2;6;;
7139868-1;2;1;1;2;2;2;;
7139869-1;0;1;1;;;4;;
7139870-1;0;1;1;2;2;2;;
7139871-1;0;1;2;;;5;;
7139872-1;3;1;1;2;2;2;;
7139874-1;2;1;1;2;2;2;;
7139876-1;1;1;1;2;2;6;;
7139877-1;0;1;1;2;2;2;;
7139878-1;0;1;1;2;2;6;;
7139879-1;2;1;2;;;4;;
7139880-1;4;1;1;2;2;6;;
7139881-1;2;1;1;2;2;2;;
7139882-1;1;1;1;2;2;2;;
7139883-1;2;1;1;2;2;2;;
7139884-1;2;1;2;2;1;2;;
7139884-2;0;1;2;;;4;;
7139885-1;3;1;2;;;2;;
7139886-1;1;1;2;;;6;;
7139887-1;0;1;1;2;2;2;;
7139888-1;0;1;1;;;5;;
7139889-1;0;1;1;;;5;;
7139890-1;2;1;1;;;4;;
7139891-1;1;1;2;;;6;;
7139892-1;2;1;2;;;5;;
7139893-1;1;1;2;;;5;;
7139894-1;1;1;1;2;2;2;;
7139895-1;0;1;2;;;5;;
7139896-1;1;1;1;2;2;2;;
7139897-1;0;1;1;2;2;1;;
7139898-1;2;1;1;2;2;6;;
7139899-1;2;1;1;2;2;2;;
7139900-1;1;1;2;;;5;;
7139901-1;0;1;1;;;5;;
7139902-1;1;1;2;;;5;;
7139903-1;0;1;2;;;4;;
7139904-1;0;1;2;;;5;;
7139905-1;0;1;2;;;5;;
7139906-1;0;1;2;;;5;;
7139907-1;1;1;1;2;2;1;;
7139908-1;2;1;1;2;2;2;;
7139909-1;0;1;1;2;2;2;;
7139910-1;1;1;1;2;2;2;;
7139911-1;3;1;1;2;2;2;;
7139912-1;2;1;2;;;4;;
7139913-1;0;1;1;;;5;;
7139914-1;0;1;1;2;2;6;;
7139915-1;0;1;1;;;5;;
7139916-1;1;1;1;2;2;2;;
7139917-1;0;1;1;2;2;6;;
7139918-1;1;1;1;2;2;6;;
7139919-1;0;1;1;2;2;6;;
7139920-1;0;1;2;;;3;;
7139921-1;0;1;1;;;5;;
7139922-1;0;1;2;;;5;;
7139923-1;0;1;1;;;3;;
7139924-1;0;1;2;;;3;;
7139925-1;0;1;1;2;2;2;;
7139927-1;0;1;1;;;5;;
7139928-1;0;1;1;2;2;6;;
7139930-1;0;1;1;;;4;;
7139931-1;0;1;2;;;4;;
7139932-1;0;1;2;;;4;;
7139933-1;0;1;2;;;5;;
7139934-1;3;1;1;2;2;2;;
7139935-1;0;1;1;2;2;6;;
7139936-1;1;1;1;2;2;6;;
7139938-1;1;1;1;2;2;2;;
7139939-1;1;1;1;2;2;6;;
7139940-1;0;1;2;;;5;;
7139941-1;0;1;1;;;5;;
7139942-1;2;1;1;2;2;6;;
7139943-1;1;1;2;2;1;6;;
7139944-1;2;1;2;;;4;;
7139945-1;1;1;2;2;1;2;;
7139946-1;0;1;2;2;1;2;;
7139947-1;2;1;2;2;1;6;;
7139948-1;0;1;1;;;5;;
7139949-1;2;1;1;2;2;6;;
7139950-1;0;1;2;;;4;;
7139951-1;0;1;1;;;4;;
7139952-1;1;1;2;2;1;2;;
7139953-1;3;1;2;2;1;6;;
7139954-1;0;1;2;2;1;2;;
7139955-1;2;1;2;2;1;6;;
7139956-1;1;1;2;2;1;6;;
7139957-1;1;1;1;2;2;2;;
7139958-1;3;1;1;2;2;2;;
7139959-1;0;1;2;;;5;;
7139960-1;2;1;2;;;4;;
7139961-1;3;1;1;2;2;2;;
7139962-1;0;1;1;2;2;2;;
7139963-1;0;1;1;;;3;;
7139964-1;1;1;1;2;2;2;;
7139964-2;3;1;1;2;2;2;;
7139964-3;1;1;1;2;2;2;;
7139965-1;1;1;1;2;2;2;;
7139966-1;0;1;1;2;2;2;;
7139967-1;0;1;1;2;2;2;;
7139968-1;1;1;2;;;2;;
7139970-1;0;1;1;;;5;;
7139971-1;0;1;2;2;1;2;;
7139972-1;0;1;1;2;2;2;;
7139973-1;1;1;2;;;6;;
7139974-1;1;1;2;;;2;;
7139975-1;1;1;2;;;4;;
7139976-1;5;1;2;;;4;;
7139977-1;2;1;2;2;1;2;;
7139978-1;1;1;1;2;2;2;;
7139979-1;2;1;2;2;1;2;;
7139980-1;2;1;1;2;2;2;;
7139981-1;1;1;1;2;2;2;;
7139982-1;2;1;1;2;2;2;;
7139983-1;2;1;1;2;2;6;;
7139984-1;2;1;1;2;2;6;;
7139985-1;1;1;1;2;2;6;;
7139987-1;0;1;1;;;2;;
7139988-1;0;1;2;;;5;;
7139989-1;0;1;1;;;5;;
7139990-1;0;1;1;;;4;;
7139991-1;0;1;2;;;3;;
7139992-1;2;1;1;;;4;;
7139993-1;1;1;1;2;2;6;;
7139994-1;1;1;1;2;2;2;;
7139995-1;0;1;2;;;5;;
7139996-1;0;1;2;;;3;;
7139997-1;0;1;1;2;2;6;;
7139998-1;0;1;1;;;4;;
7139999-1;1;1;1;2;2;6;;
7140000-1;0;1;1;;;5;;
7140001-1;0;1;1;;;4;;
7140002-1;0;1;1;;;5;;
7140003-1;1;1;1;2;2;6;;
7140004-1;3;1;1;2;2;2;;
7140005-1;2;1;1;2;2;2;;
7140006-1;1;1;2;;;4;;
7140007-1;1;1;1;;;4;;
7140008-1;1;1;1;2;2;2;;
7140009-1;0;1;1;2;2;2;;
7140010-1;3;1;1;2;2;6;;
7140012-1;0;1;1;2;2;6;;
7140013-1;0;1;1;;;5;;
7140014-1;0;1;1;;;4;;
7140016-1;2;1;1;2;2;2;;
7140017-1;4;1;2;;;4;;
7140018-1;0;1;2;;;6;;
7140019-1;0;1;2;;;4;;
7140020-1;0;1;1;2;2;2;;
7140021-1;2;1;1;2;2;2;;
7140022-1;1;1;2;;;3;;
7140023-1;0;1;2;;;3;;
7140024-1;2;1;1;2;2;2;;
7140026-1;1;1;1;2;2;2;;
7140027-1;1;1;1;2;2;6;;
7140028-1;0;1;2;;;5;;
7140029-1;0;1;1;2;2;2;;
7140031-1;0;1;1;2;2;2;;
7140032-1;3;1;1;2;2;2;;
7140034-1;0;1;1;2;2;6;;
7140035-1;0;1;1;2;2;6;;
7140036-1;2;1;1;2;2;2;;
7140037-1;0;1;1;;;5;;
7140038-1;0;1;1;2;2;2;;
7140040-1;1;1;2;;;4;;
7140042-1;0;1;2;;;3;;
7140043-1;2;1;1;2;2;1;;
7140044-1;0;1;1;2;2;6;;
7140045-1;2;1;1;2;2;6;;
7140047-1;0;1;2;;;3;;
7140050-1;0;1;1;2;2;6;;
7140052-1;0;1;1;2;2;6;;
7140054-1;0;1;1;2;2;6;;
7140055-1;0;1;1;2;2;6;;
7140056-1;3;1;2;;;4;;
7140058-1;1;1;1;2;2;2;;
7140059-1;0;1;1;2;2;6;;
7140060-1;2;1;1;2;2;2;;
7140062-1;1;1;1;2;2;6;;
7140063-1;1;1;1;2;2;2;;
7140064-1;0;1;1;;;6;;
7140065-1;1;1;2;;;4;;
7140067-1;0;1;2;;;5;;
7140069-1;0;1;1;2;2;6;;
7140070-1;0;1;2;;;4;;
7140071-1;0;1;2;;;5;;
7140073-1;1;1;2;2;1;6;;
7140074-1;0;1;1;2;2;2;;
7140075-1;0;1;2;;;5;;
7140078-1;0;1;1;;;5;;
7140079-1;0;1;1;;;5;;
7140080-1;0;1;2;;;5;;
7140081-1;0;1;2;;;5;;
7140083-1;0;1;1;;;5;;
7140084-1;0;1;1;;;5;;
7140085-1;0;1;2;;;5;;
7140086-1;0;1;1;;;5;;
7140088-1;1;1;2;;;5;;
7140089-1;0;1;1;2;2;6;;
7140091-1;1;1;2;;;3;;
7140093-1;0;1;1;;;5;;
7140094-1;3;1;1;2;2;6;;
7140095-1;0;1;1;2;2;2;;
7140096-1;1;1;1;2;2;2;;
7140097-1;1;1;2;;;1;;
7140098-1;1;1;1;2;2;1;;
7140099-1;0;1;1;;;5;;
7140100-1;5;1;1;2;2;2;;
7140101-1;0;1;2;2;1;6;;
7140102-1;1;1;1;2;2;2;;
7140111-1;0;1;2;;;3;;
7140112-1;1;1;2;2;1;2;;
7140113-1;0;1;1;2;2;2;;
7140114-1;0;1;1;2;2;2;;
7140115-1;4;1;1;2;2;2;;
7140116-1;0;1;2;;;3;;
7140117-1;0;1;1;;;4;;
7140118-1;0;1;1;2;2;1;;
7140119-1;1;1;1;2;2;2;;
7140120-1;1;1;1;2;2;2;;
7140121-1;0;1;1;2;2;6;;
7140122-1;0;1;1;;;2;;
7140123-1;2;1;1;2;2;2;;
7140127-1;1;1;1;2;2;6;;
7140128-1;1;1;2;;;4;;
7140128-2;1;1;1;2;2;2;;
7140130-1;0;1;2;;;4;;
7140132-1;2;1;1;2;2;2;;
7140133-1;0;1;1;;;4;;
7140135-1;1;1;2;;;4;;
7140136-1;0;1;1;2;2;6;;
7140138-1;1;1;2;;;5;;
7140139-1;2;1;1;2;2;6;;
7140140-1;2;1;2;2;1;6;;
7140141-1;1;1;2;;;3;;
7140143-1;2;1;1;2;2;6;;
7140144-1;0;1;2;2;1;2;;
7140145-1;1;1;2;;;3;;
7140146-1;3;1;2;2;1;6;;
7140147-1;1;1;2;;;4;;
7140148-1;3;1;1;2;2;2;;
7140150-1;1;1;1;2;2;2;;
7140151-1;0;1;1;2;2;1;;
7140152-1;0;1;2;;;5;;
7140154-1;0;1;2;2;1;2;;
7140156-1;1;1;1;2;2;1;;
7140157-1;2;1;2;;;4;;
7140158-1;3;1;2;;;6;;
7140159-1;0;1;1;2;2;6;;
7140160-1;1;1;2;;;4;;
7140161-1;3;1;2;;;4;;
7140162-1;3;1;2;2;1;2;;
7140163-1;2;1;2;;;4;;
7140164-1;1;1;2;;;4;;
7140165-1;2;1;1;2;2;2;;
7140166-1;1;1;2;;;4;;
7140169-1;0;1;1;;;4;;
7140170-1;1;1;1;2;2;2;;
7140171-1;1;1;2;2;1;2;;
7140172-1;0;1;1;2;2;2;;
7140175-1;0;1;1;2;2;6;;
7140176-1;1;1;1;;;4;;
7140177-1;0;1;1;;;5;;
7140178-1;0;1;1;;;5;;
7140179-1;0;1;1;;;5;;
7140180-1;2;1;1;2;2;2;;
7140181-1;1;1;2;;;3;;
7140182-1;3;1;1;2;2;6;;
7140183-1;0;1;1;2;2;6;;
7140184-1;0;1;2;;;5;;
7140185-1;0;1;1;2;2;6;;
7140186-1;0;1;2;2;1;6;;
7140187-1;1;1;1;2;2;2;;
7140188-1;0;1;2;;;3;;
7140189-1;0;1;1;2;2;6;;
7140190-1;0;1;2;;;6;;
7140191-1;0;1;1;;;4;;
7140192-1;2;1;2;2;1;6;;
7140193-1;0;1;1;;;4;;
7140194-1;0;1;1;2;2;1;;
7140195-1;1;1;1;2;2;2;;
7140196-1;0;1;1;;;5;;
7140198-1;1;1;1;2;2;2;;
7140199-1;0;1;1;;;5;;
7140200-1;0;1;1;;;5;;
7140201-1;2;1;1;2;2;6;;
7140203-1;0;1;1;2;2;2;;
7140204-1;0;1;1;;;6;;
7140205-1;0;1;1;2;2;6;;
7140206-1;3;1;1;2;2;6;;
7140207-1;0;1;1;2;2;2;;
7140208-1;2;1;1;2;2;2;;
7140209-1;3;1;1;2;2;2;;
7140210-1;2;1;1;2;2;2;;
7140211-1;0;1;1;2;2;6;;
7140212-1;1;1;1;2;2;2;;
7140213-1;0;1;1;2;2;2;;
7140214-1;0;1;1;2;2;6;;
7140215-1;0;1;1;;;5;;
7140219-1;3;1;2;;;4;;
7140220-1;2;1;2;;;3;;
7140221-1;2;1;1;2;2;6;;
7140222-1;1;1;2;2;1;2;;
7140223-1;2;1;1;2;2;6;;
7140224-1;0;1;1;2;2;1;;
7140225-1;1;1;2;;;5;;
7140226-1;2;1;1;2;2;6;;
7140227-1;1;1;1;2;2;2;;
7140228-1;0;1;2;;;4;;
7140229-1;2;1;2;;;4;;
7140230-1;0;1;2;;;5;;
7140231-1;2;1;1;2;2;2;;
7140232-1;1;1;1;;;4;;
7140233-1;2;1;1;2;2;6;;
7140234-1;2;1;1;2;2;2;;
7140236-1;2;1;1;2;2;6;;
7140238-1;1;1;2;;;4;;
7140239-1;1;1;1;2;2;6;;
7140240-1;1;1;1;2;2;6;;
7140241-1;0;1;1;;;4;;
7140243-1;0;1;1;2;2;6;;
7140244-1;0;1;1;;;3;;
7140245-1;2;1;1;2;2;2;;
7140246-1;0;1;1;2;2;6;;
7140247-1;0;1;1;2;2;6;;
7140248-1;1;1;1;2;2;6;;
7140249-1;0;1;1;;;4;;
7140250-1;1;1;1;2;2;6;;
7140251-1;1;1;2;;;4;;
7140252-1;5;1;2;;;3;;
7140254-1;0;1;1;;;5;;
7140255-1;0;1;2;;;4;;
7140256-1;1;1;2;;;4;;
7140258-1;2;1;1;2;2;6;;
7140259-1;1;1;1;;;4;;
7140260-1;0;1;2;;;3;;
7140262-1;0;1;1;;;4;;
7140263-1;0;1;1;;;5;;
7140264-1;2;1;1;2;2;6;;
7140265-1;0;1;1;2;2;6;;
7140266-1;0;1;1;2;2;6;;
7140267-1;0;1;1;;;6;;
7140268-1;1;1;2;2;1;2;;
7140269-1;0;1;2;;;3;;
7140270-1;0;1;1;2;2;2;;
7140271-1;0;1;1;;;4;;
7140272-1;0;1;2;;;5;;
7140275-1;0;1;1;;;5;;
7140276-1;0;1;1;2;2;6;;
7140277-1;2;1;1;2;2;2;;
7140278-1;2;1;2;;;5;;
7140279-1;1;1;2;2;1;6;;
7140280-1;1;1;2;2;1;6;;
7140281-1;0;1;1;;;5;;
7140283-1;1;1;1;2;2;2;;
7140284-1;1;1;1;2;2;6;;
7140285-1;0;1;2;2;1;6;;
7140286-1;0;1;1;;;6;;
7140289-1;0;1;1;;;5;;
7140290-1;1;1;1;2;2;2;;
7140291-1;0;1;2;;;3;;
7140292-1;1;1;1;2;2;2;;
7140295-1;1;1;1;2;2;6;;
7140296-1;0;1;1;;;5;;
7140297-1;1;1;1;;;5;;
7140298-1;1;1;1;2;2;6;;
7140299-1;0;1;2;2;1;6;;
7140300-1;0;1;1;;;5;;
7140301-1;1;1;1;2;2;6;;
7140302-1;1;1;1;;;2;;
7140303-1;2;1;1;2;2;6;;
7140304-1;3;1;2;;;2;;
7140307-1;0;1;2;2;1;2;;
7140311-1;1;1;1;2;2;6;;
7140312-1;0;1;1;;;4;;
7140313-1;0;1;1;2;2;6;;
7140314-1;0;1;2;;;3;;
7140315-1;0;1;1;;;5;;
7140316-1;0;1;1;;;5;;
7140317-1;0;1;1;2;2;2;;
7140318-1;3;1;1;2;2;6;;
7140319-1;0;1;1;2;2;6;;
7140320-1;0;1;1;2;2;6;;
7140321-1;3;1;1;2;2;2;;
7140324-1;0;1;1;2;2;2;;
7140329-1;0;1;1;2;2;6;;
7140330-1;1;1;2;;;4;;
7140331-1;3;1;1;2;2;6;;
7140332-1;0;1;1;2;2;2;;
7140333-1;3;1;1;2;2;2;;
7140334-1;1;1;1;2;2;2;;
7140335-1;0;1;2;;;3;;
7140336-1;2;1;1;2;2;6;;
7140337-1;1;1;1;2;2;2;;
7140338-1;2;1;2;2;1;2;;
7140339-1;3;1;1;2;2;6;;
7140340-1;1;1;2;;;3;;
7140342-1;0;1;1;;;5;;
7140343-1;0;1;2;;;3;;
7140344-1;2;1;1;2;2;6;;
7140346-1;1;1;1;2;2;6;;
7140347-1;1;1;1;2;2;6;;
7140348-1;0;1;1;2;2;2;;
7140349-1;2;1;1;2;2;2;;
7140350-1;0;1;1;2;2;6;;
7140351-1;2;1;1;2;2;2;;
7140352-1;0;1;1;2;2;6;;
7140353-1;0;1;1;2;2;2;;
7140354-1;1;1;1;;;4;;
7140355-1;2;1;1;2;2;6;;
7140356-1;3;1;1;2;2;2;;
7140357-1;1;1;1;2;2;6;;
7140358-1;2;1;1;2;2;6;;
7140359-1;0;1;1;;;6;;
7140360-1;0;1;1;;;5;;
7140361-1;4;1;1;2;2;2;;
7140362-1;1;1;2;2;1;6;;
7140363-1;7;1;1;2;2;2;;
7140364-1;1;1;1;2;2;2;;
7140365-1;0;1;1;;;5;;
7140366-1;0;1;2;2;1;6;;
7140367-1;0;1;2;;;4;;
7140368-1;0;1;1;;;4;;
7140369-1;1;1;2;;;4;;
7140370-1;1;1;1;;;4;;
7140371-1;0;1;2;;;4;;
7140372-1;0;1;2;;;5;;
7140374-1;0;1;2;;;5;;
7140375-1;2;1;1;2;2;6;;
7140376-1;0;1;2;;;3;;
7140377-1;1;1;2;;;5;;
7140380-1;0;1;2;;;4;;
7140385-1;2;1;1;2;2;2;;
7140386-1;1;1;2;2;1;2;;
7140387-1;0;1;1;2;2;6;;
7140388-1;1;1;1;2;2;2;;
7140389-1;1;1;1;2;2;6;;
7140390-1;2;1;1;2;2;2;;
7140392-1;0;1;1;2;2;2;;
7140393-1;0;1;2;;;4;;
7140394-1;1;1;1;2;2;6;;
7140395-1;0;1;1;;;4;;
7140396-1;4;1;1;2;2;2;;
7140397-1;0;1;1;2;2;2;;
7140398-1;0;1;1;;;4;;
7140400-1;0;1;1;2;2;2;;
7140405-1;1;1;2;;;3;;
7140406-1;3;1;1;2;2;2;;
7140407-1;2;1;1;2;2;2;;
7140408-1;4;1;2;;;5;;
7140409-1;0;1;2;;;3;;
7140410-1;0;1;2;;;4;;
7140411-1;2;1;2;;;5;;
7140414-1;3;1;1;2;2;2;;
7140415-1;0;1;2;2;1;2;;
7140416-1;1;1;2;;;5;;
7140417-1;1;1;2;2;1;2;;
7140418-1;1;1;1;2;2;2;;
7140419-1;2;1;1;2;2;2;;
7140420-1;1;1;1;;;4;;
7140421-1;0;1;1;;;5;;
7140422-1;1;1;1;2;2;2;;
7140423-1;1;1;2;;;3;;
7140424-1;1;1;1;2;2;6;;
7140425-1;2;1;1;2;2;6;;
7140426-1;1;1;1;2;2;6;;
7140427-1;0;1;1;2;2;6;;
7140428-1;1;1;2;2;1;6;;
7140429-1;2;1;1;2;2;2;;
7140430-1;0;1;1;;;5;;
7140431-1;2;1;1;2;2;2;;
7140432-1;0;1;2;;;6;;
7140434-1;1;1;2;2;1;2;;
7140435-1;0;1;2;;;4;;
7140436-1;3;1;1;2;2;6;;
7140437-1;0;1;1;;;4;;
7140439-1;0;1;1;2;2;6;;
7140440-1;1;1;1;2;2;6;;
7140441-1;0;1;1;;;4;;
7140442-1;1;1;1;2;2;6;;
7140443-1;1;1;2;2;1;6;;
7140444-1;0;1;1;;;4;;
7140446-1;1;1;1;2;2;6;;
7140447-1;0;1;1;;;5;;
7140448-1;0;1;2;;;4;;
7140449-1;0;1;1;2;2;2;;
7140450-1;0;1;1;;;6;;
7140451-1;0;1;1;;;5;;
7140452-1;1;1;2;2;1;6;;
7140453-1;4;1;1;2;2;6;;
7140454-1;0;1;2;2;1;6;;
7140456-1;0;1;1;2;2;2;;
7140457-1;0;1;1;2;2;6;;
7140458-1;0;1;2;2;1;6;;
7140459-1;2;1;1;2;2;6;;
7140460-1;0;1;1;;;4;;
7140461-1;1;1;2;2;1;6;;
7140462-1;5;1;1;2;2;2;;
7140463-1;0;1;1;;;5;;
7140464-1;0;1;1;;;4;;
7140465-1;3;1;1;2;2;2;;
7140466-1;0;1;1;;;5;;
7140467-1;4;1;1;2;2;6;;
7140468-1;0;1;1;;;4;;
7140469-1;0;1;1;2;2;6;;
7140470-1;1;1;1;2;2;2;;
7140471-1;3;1;1;2;2;6;;
7140472-1;4;1;1;2;2;6;;
7140473-1;1;1;2;2;1;6;;
7140474-1;0;1;1;2;2;6;;
7140475-1;1;1;1;2;2;2;;
7140476-1;0;1;2;;;4;;
7140477-1;1;1;2;2;1;6;;
7140478-1;3;1;2;;;4;;
7140479-1;1;1;2;2;1;6;;
7140485-1;1;1;2;;;3;;
7140486-1;0;1;2;;;4;;
7140487-1;0;1;1;;;5;;
7140488-1;0;1;1;2;2;6;;
7140489-1;0;1;1;2;2;6;;
7140490-1;0;1;2;2;1;1;;
7140491-1;1;1;2;;;4;;
7140492-1;0;1;1;;;4;;
7140493-1;0;1;2;2;1;6;;
7140494-1;1;1;1;2;2;6;;
7140495-1;0;1;1;;;4;;
7140496-1;1;1;1;2;2;2;;
7140497-1;1;1;2;2;1;2;;
7140498-1;3;1;1;2;2;2;;
7140499-1;1;1;2;;;5;;
7140500-1;0;1;2;2;1;6;;
7140501-1;1;1;2;;;3;;
7140503-1;0;1;2;;;3;;
7140504-1;0;1;2;2;1;2;;
7140505-1;0;1;2;;;5;;
7140506-1;2;1;2;2;1;2;;
7140507-1;1;1;2;2;1;2;;
7140508-1;1;1;2;;;5;;
7140509-1;0;1;1;;;4;;
7140511-1;0;1;1;;;4;;
7140512-1;0;1;2;;;3;;
7140514-1;0;1;2;;;5;;
7140515-1;1;1;2;2;1;6;;
7140516-1;3;1;2;;;4;;
7140517-1;1;1;2;2;1;2;;
7140518-1;1;1;1;2;2;6;;
7140519-1;1;1;2;2;1;2;;
7140520-1;0;1;2;;;4;;
7140521-1;0;1;2;;;5;;
7140522-1;1;1;2;2;1;6;;
7140523-1;1;1;2;;;4;;
7140524-1;1;1;2;;;4;;
7140525-1;1;1;1;2;2;6;;
7140526-1;0;1;1;2;2;6;;
7140527-1;0;1;1;;;6;;
7140528-1;0;1;1;2;2;6;;
7140529-1;1;1;1;2;2;6;;
7140531-1;0;1;2;;;3;;
7140532-1;2;1;1;2;2;2;;
7140533-1;2;1;1;2;2;2;;
7140534-1;0;1;2;;;3;;
7140535-1;0;1;1;2;2;2;;
7140537-1;0;1;2;;;3;;
7140538-1;0;1;1;;;4;;
7140539-1;0;1;2;;;3;;
7140540-1;1;1;2;;;4;;
7140541-1;0;1;1;;;2;;
7140542-1;1;1;1;2;2;6;;
7140543-1;0;1;1;2;2;1;;
7140544-1;0;1;2;2;1;6;;
7140545-1;1;1;1;2;2;6;;
7140546-1;0;1;1;;;5;;
7140547-1;1;1;2;;;3;;
7140548-1;2;1;2;2;1;6;;
7140549-1;0;1;1;2;2;2;;
7140550-1;1;1;2;;;4;;
7140551-1;0;1;2;2;1;6;;
7140552-1;0;1;1;2;2;1;;
7140554-1;0;1;2;;;3;;
7140556-1;2;1;2;;;3;;
7140557-1;0;1;2;;;4;;
7140558-1;1;1;1;2;2;6;;
7140559-1;1;1;1;2;2;2;;
7140560-1;1;1;2;2;1;2;;
7140561-1;1;1;1;2;2;6;;
7140563-1;0;1;1;2;2;6;;
7140564-1;1;1;1;2;2;6;;
7140565-1;1;1;1;2;2;6;;
7140566-1;3;1;2;;;4;;
7140568-1;2;1;1;2;2;6;;
7140569-1;0;1;2;;;4;;
7140571-1;0;1;2;;;3;;
7140572-1;0;1;2;;;5;;
7140573-1;0;1;1;;;4;;
7140574-1;1;1;2;;;4;;
7140575-1;1;1;1;2;2;6;;
7140576-1;0;1;1;2;2;6;;
7140577-1;1;1;2;;;4;;
7140578-1;0;1;1;2;2;6;;
7140579-1;3;1;2;;;4;;
7140581-1;1;1;2;;;5;;
7140582-1;1;1;1;2;2;1;;
7140583-1;5;1;1;2;2;1;;
7140584-1;2;1;2;2;1;2;;
7140585-1;1;1;2;;;3;;
7140586-1;3;1;1;2;2;1;;
7140587-1;2;1;1;2;2;2;;
7140588-1;2;1;1;2;2;2;;
7140589-1;0;1;2;;;3;;
7140590-1;4;1;2;;;3;;
7140591-1;2;1;1;2;2;2;;
7140592-1;1;1;1;2;2;2;;
7140593-1;0;1;2;;;4;;
7140594-1;2;1;2;;;4;;
7140595-1;2;1;2;;;4;;
7140596-1;0;1;2;;;3;;
7140597-1;2;1;2;;;4;;
7140598-1;1;1;1;2;2;2;;
7140599-1;0;1;2;;;3;;
7140600-1;0;1;2;;;5;;
7140601-1;0;1;1;2;2;1;;
7140602-1;0;1;1;2;2;6;;
7140603-1;1;1;2;;;4;;
7140604-1;0;1;2;;;4;;
7140605-1;1;1;1;2;2;6;;
7140606-1;1;1;1;2;2;6;;
7140607-1;0;1;1;2;2;6;;
7140608-1;0;1;1;2;2;1;;
7140610-1;0;1;1;2;2;6;;
7140611-1;0;1;2;;;5;;
7140612-1;0;1;1;;;4;;
