Codigo;Hijos;Sexo Jefe;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Ingresos totales;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7151699-1;1;1;2;6;58;49;3;3;1;1;4;3278333;2;2;1;1;1;4;2;300000;1
7151701-1;2;1;2;2;35;42;3;4;1;1;4;1250000;2;2;1;1;1;3;2;40000;2
7151705-1;0;1;2;2;56;42;3;2;3;1;4;941666;0;0;1;1;1;3;1;300000;0
7151706-1;0;1;2;6;54;55;3;2;3;1;4;1036666;0;0;1;1;1;4;1;13672;0
7151711-1;0;1;2;6;72;63;3;2;2;6;4;400000;2;2;1;1;1;3;1;90000;0
7151712-1;1;1;2;2;52;46;3;3;3;4;1;4050000;2;2;3;3;1;4;2;60057;2
7151713-1;2;1;2;2;57;36;3;4;2;1;4;400000;2;2;3;1;1;4;3;70000;2
7151714-1;1;1;2;2;30;30;3;3;2;2;1;1450000;2;2;1;1;2;3;1;60000;1
7151715-1;2;1;2;6;36;29;3;4;2;1;4;1905000;2;2;1;1;1;3;2;30000;0
7151716-1;2;1;2;6;49;47;3;4;1;1;4;1303116;2;2;1;1;1;4;3;170000;2
7151722-1;3;1;2;2;51;37;3;5;1;1;4;1575148;2;2;1;1;1;3;3;90000;0
7151723-1;3;1;2;2;37;39;3;5;1;1;4;1519620;2;2;1;2;1;3;2;32000;0
7151724-1;1;1;2;6;48;47;3;3;1;1;4;2097000;0;0;1;1;1;3;2;23000;0
7151727-1;3;2;1;2;39;51;3;7;1;1;1;3252857;0;0;1;1;1;2;2;45000;0
7151728-1;1;1;2;6;51;50;3;4;1;1;4;1840000;0;1;1;1;1;5;3;75000;0
7151732-1;1;1;2;6;58;45;3;3;2;5;1;5290833;2;2;3;3;1;4;2;48025;1
7151739-1;1;1;2;1;25;19;3;2;2;1;3;4098333;2;2;1;3;1;3;1;45000;1
7151741-1;0;1;2;2;45;55;3;2;2;1;4;2688666;2;0;3;1;1;3;1;60000;2
7151747-1;2;1;2;2;68;58;3;4;3;1;1;7748541;0;2;1;1;1;4;3;65000;3
7151751-1;0;1;2;6;63;56;3;2;3;1;1;1700000;2;2;1;1;1;3;1;27866;1
7151753-1;3;1;2;6;38;33;3;5;3;1;4;2928116;2;2;3;3;1;4;3;85000;2
7151755-1;2;1;2;6;48;60;3;4;3;1;4;2146798;2;0;2;1;1;4;3;88000;2
7151757-1;1;1;2;2;37;35;3;3;3;1;1;2070000;0;0;1;1;1;2;1;55000;0
7151758-1;2;1;2;2;31;33;3;4;3;1;4;1616566;2;0;1;1;1;3;2;0;2
7151761-1;1;1;2;6;48;40;3;3;3;6;1;828116;2;2;3;3;1;4;3;42000;1
7151764-1;0;1;2;6;46;38;3;2;3;1;4;1280365;2;2;1;1;1;3;1;44000;1
7151766-1;1;1;2;6;51;57;3;3;3;1;4;2100000;2;2;1;1;1;4;2;49000;2
7151767-1;2;1;2;2;39;39;3;4;1;1;4;1883396;0;0;1;1;1;1;1;38000;0
7151773-1;1;1;2;2;34;34;3;3;3;1;1;1919305;2;2;1;1;1;3;2;65000;2
7151778-1;0;2;1;6;63;58;3;3;2;4;1;900000;0;0;1;1;1;2;2;35000;0
7151779-1;1;1;2;2;30;21;3;3;2;1;4;1230125;2;0;3;1;1;2;1;25000;0
7151780-1;0;1;2;6;42;29;3;3;2;1;1;1530000;2;2;1;1;1;2;2;26700;0
7151781-1;1;1;2;2;59;23;3;3;2;1;4;1258116;0;2;1;3;1;4;2;32000;2
7151790-1;1;1;2;2;30;20;3;6;2;1;2;1124166;0;2;1;1;2;4;3;15000;2
7151792-1;2;1;2;6;43;38;3;4;2;1;6;3606000;2;2;3;3;1;3;2;64000;2
7151795-1;0;1;2;6;64;61;3;2;2;1;4;2000000;0;0;1;1;1;2;1;30000;2
7151798-1;1;1;2;6;60;61;3;3;3;1;4;3254166;2;2;3;1;1;4;2;56000;2
7151803-1;1;1;2;6;51;43;3;3;3;2;4;1500000;2;2;3;3;2;2;2;45000;2
7151808-1;0;1;2;2;45;44;3;2;2;1;4;260000;0;0;1;1;1;4;2;22801;0
7151809-1;1;1;2;6;49;39;3;3;1;1;1;1215500;2;0;1;1;1;2;1;32500;0
7151810-1;1;2;1;6;48;44;3;3;1;4;1;815000;2;0;1;1;1;4;1;30000;1
7151811-1;1;1;2;2;26;23;3;4;2;1;4;1915000;2;2;1;1;1;3;3;30615;0
7151811-2;1;1;2;1;33;28;3;3;2;1;4;815000;2;2;1;1;2;1;1;109470;0
7151812-1;1;1;2;2;46;36;3;3;1;1;4;600000;0;0;1;1;1;3;2;25000;0
7151814-1;2;1;2;2;37;29;3;4;2;1;4;1342500;0;1;0;0;1;2;2;31000;0
7151818-1;0;1;2;6;65;63;3;2;2;1;4;1900000;0;0;1;1;1;5;1;20000;1
7151821-1;0;1;2;6;60;52;3;2;2;1;5;650000;0;0;1;1;1;4;1;10000;0
7151822-1;0;1;2;6;70;64;3;2;3;1;1;4750000;2;2;1;3;1;4;1;70000;2
7151824-1;0;2;1;6;61;40;3;2;3;4;5;50000;0;0;1;1;1;3;1;27000;0
7151825-1;0;1;2;6;61;58;3;2;5;5;4;4600000;2;2;1;1;1;3;1;200000;2
7151827-1;0;1;2;6;72;66;3;2;1;6;4;2333270;2;2;1;1;1;5;1;126500;1
7151829-1;0;1;2;2;61;59;3;2;1;1;4;800000;0;0;1;1;1;3;1;70040;1
7151830-1;3;1;2;2;34;38;3;5;1;1;4;760000;0;0;1;1;1;4;2;70000;2
7151831-1;0;1;2;6;57;44;3;3;1;1;4;1300000;0;0;0;1;1;2;2;17413;3
7151835-1;2;1;2;2;31;44;3;4;2;1;4;235833;0;2;1;1;1;3;2;26000;0
7151836-1;1;1;2;2;40;40;3;3;2;1;1;1116666;0;2;1;1;1;3;2;22000;1
7151837-1;1;1;2;2;65;53;3;3;1;1;1;730000;0;0;1;3;1;2;1;38000;0
7151839-1;2;1;2;2;26;28;3;4;1;6;1;730000;2;2;1;1;2;3;2;30350;2
7151841-1;2;1;2;2;33;26;3;4;1;1;1;566000;2;2;1;1;1;3;2;85600;1
7151844-1;1;1;2;6;46;43;3;3;2;1;1;3224000;2;2;1;3;1;4;2;45000;2
7151846-1;2;1;2;2;37;36;3;4;2;1;4;1390000;2;2;1;1;1;3;2;16000;0
7151850-1;1;1;2;2;32;44;3;3;2;1;1;1643000;2;2;1;1;1;3;2;2328;2
7151851-1;1;1;2;2;32;22;3;3;2;1;4;1927666;2;2;1;1;1;3;2;31047;2
7151854-1;0;1;2;6;62;52;3;2;1;1;4;500000;0;0;1;1;1;3;1;14000;0
7151855-1;1;1;2;2;26;47;3;3;1;1;4;997000;0;0;1;1;1;2;2;11600;2
7151857-1;3;1;2;2;33;30;3;5;1;1;4;862500;0;0;1;1;1;3;2;57000;2
7151859-1;1;1;2;2;32;55;3;3;1;1;4;2060000;0;0;0;1;1;3;2;45000;2
7151860-1;0;1;2;2;38;42;3;2;1;1;4;220000;0;0;1;1;1;3;1;20720;1
7151861-1;2;1;2;2;39;30;3;4;1;1;4;1451000;2;1;1;3;1;4;3;61100;2
7151863-1;1;1;2;2;27;27;3;3;1;1;4;1618333;1;2;1;1;1;3;2;28000;2
7151865-1;1;1;2;6;56;51;3;3;1;1;4;823666;0;0;1;1;1;4;2;25000;0
7151868-1;1;1;2;2;38;24;3;3;0;1;4;900000;0;2;1;1;1;2;1;39512;0
7151869-1;2;2;1;6;49;66;3;4;1;4;1;1190000;0;0;1;1;1;3;3;7000;1
7151870-1;0;1;2;6;57;52;3;2;1;1;4;800000;0;0;1;1;1;3;3;13000;1
7151871-1;2;2;1;6;69;67;3;4;1;4;1;1620000;0;0;1;1;1;4;3;20000;0
7151872-1;0;1;2;1;71;67;3;2;1;1;4;926250;0;0;1;1;1;3;1;14000;0
7151873-1;1;1;2;2;30;26;3;3;1;1;4;730000;1;2;3;1;1;3;1;27000;0
7151874-1;4;2;1;2;25;26;3;6;1;4;1;947000;2;0;1;1;1;2;2;27000;0
7151875-1;1;1;2;2;29;26;3;3;1;1;4;862000;0;0;1;1;1;2;2;17500;1
7151876-1;0;1;2;6;78;63;3;2;1;1;4;800000;0;0;1;1;1;4;1;22000;0
7151877-1;1;1;2;6;42;39;3;3;1;1;4;1008000;2;2;3;1;1;2;1;12500;0
7151878-1;4;1;2;6;47;34;3;6;1;1;4;1472500;0;0;1;1;1;3;2;21000;0
7151879-1;2;1;2;2;47;39;3;4;1;1;4;1090833;0;0;1;1;1;3;2;25500;0
7151880-1;0;1;2;2;58;57;3;2;1;1;4;663333;0;0;1;1;1;2;1;16000;0
7151881-1;1;1;2;6;58;53;3;4;1;1;4;1060000;0;0;1;0;1;2;2;31000;0
7151882-1;0;2;1;1;21;35;3;2;1;4;1;1000000;0;0;1;1;1;2;1;10000;0
7151883-1;0;1;2;6;60;69;3;2;1;1;4;1914782;0;0;1;1;1;2;1;23000;0
7151884-1;1;2;1;6;54;54;3;3;1;4;1;775000;0;0;1;1;1;4;2;12000;0
7151886-1;0;1;2;6;83;69;3;2;1;5;4;405833;0;0;0;1;1;2;1;11000;0
7151887-1;1;1;2;2;31;22;3;3;1;1;4;820000;0;0;1;1;1;2;1;17000;0
7151888-1;0;1;2;6;67;63;3;2;1;1;4;865000;0;0;1;1;1;2;1;14000;0
7151889-1;0;2;1;6;84;86;3;2;1;4;6;285000;0;0;1;0;1;2;1;15000;0
7151892-1;1;2;1;2;23;26;3;3;2;4;1;828116;2;2;1;3;1;3;1;47000;0
7151897-1;0;1;2;1;23;18;3;2;2;1;1;2010000;2;2;3;3;2;3;1;63367;0
7151898-1;1;1;2;6;31;25;3;3;2;1;1;2618333;2;2;3;3;1;3;2;50000;1
7151899-1;2;1;2;6;37;35;3;4;6;1;1;16200000;2;2;3;3;1;6;3;250000;2
7151900-1;1;2;1;2;39;49;3;3;2;4;1;1700000;2;2;1;1;1;3;2;42000;1
7151903-1;2;1;2;2;34;28;3;4;6;1;4;3560000;2;2;3;3;1;4;3;100000;2
7151906-1;1;1;2;2;27;34;3;3;6;1;4;4272032;2;2;3;3;1;4;3;120000;2
7151907-1;1;1;2;6;44;40;3;3;6;1;1;11060000;2;2;3;3;1;4;2;140000;2
7151909-1;1;1;2;6;78;51;3;3;6;1;4;4878116;2;2;3;1;1;4;3;150000;3
7151916-1;1;2;1;6;41;44;3;4;2;4;1;1704156;2;2;1;1;1;3;2;51000;1
7151917-1;0;1;2;2;30;27;3;2;6;1;1;4402333;2;2;1;3;1;3;2;145000;2
7151918-1;2;1;2;6;38;39;3;4;6;1;1;10366666;2;2;1;3;1;4;4;250000;3
7151920-1;0;1;2;2;68;58;3;2;3;5;1;2925000;2;2;3;3;1;4;1;140000;1
7151921-1;0;2;1;2;60;50;3;2;4;1;1;6200000;2;2;3;3;1;3;1;120000;2
7151922-1;2;1;2;6;40;33;3;4;4;1;4;3478333;2;2;1;1;1;5;3;52000;2
7151923-1;1;1;2;2;47;54;3;3;4;2;4;2200000;2;2;1;1;2;5;2;60000;2
7151925-1;3;1;2;6;43;39;3;6;4;1;1;1000000;2;2;1;1;2;4;3;80565;2
7151926-1;0;1;2;2;58;53;3;4;2;2;4;530000;2;2;1;1;1;3;2;160000;1
7151928-1;2;1;2;2;56;45;3;4;2;1;1;4550000;2;2;3;3;1;4;3;75000;1
7151929-1;1;1;2;6;48;34;3;3;5;1;4;6800000;2;2;3;3;1;4;2;110000;2
7151934-1;1;2;1;6;52;50;3;4;2;1;1;1990000;2;2;1;1;1;5;3;35000;2
7151937-1;1;2;1;6;25;27;3;3;2;1;1;2830201;2;2;3;3;1;3;2;40000;2
7151938-1;3;1;2;2;31;23;3;6;2;1;4;2160000;2;2;1;1;1;4;3;63000;2
7151941-1;0;1;2;6;42;34;3;3;2;1;4;2660000;2;2;1;3;1;3;2;37000;2
7151942-1;0;1;2;6;39;48;3;2;2;1;1;8800000;0;0;1;1;1;4;1;30000;1
7151943-1;2;1;2;6;46;39;3;5;2;1;4;1961032;2;2;3;3;1;5;4;55000;1
7151944-1;1;1;2;6;34;33;3;3;2;1;1;4000000;2;2;1;1;1;3;2;34000;2
7151946-1;3;1;2;2;43;40;3;7;2;1;1;3025148;2;2;1;1;2;6;4;15000;0
7151953-1;1;1;2;6;63;54;3;3;2;2;6;1378662;2;2;1;1;1;5;2;47600;1
7151958-1;1;2;2;2;29;18;3;3;1;1;4;1040000;0;2;1;1;1;2;2;25000;1
7151959-1;2;1;2;2;43;38;3;4;5;1;4;2861449;2;2;1;1;1;5;3;150000;1
7151960-1;3;1;2;2;52;49;3;6;2;1;4;4793161;2;2;1;1;1;8;5;56000;4
7151961-1;2;1;2;2;58;43;3;4;1;1;4;1787633;2;1;1;1;1;2;2;25000;2
7151972-1;0;1;2;2;38;30;3;2;1;1;1;1850232;2;2;1;1;1;2;2;20000;1
7151973-1;0;1;2;6;61;54;3;2;6;1;1;14000000;2;2;3;3;1;5;1;130000;2
7151982-1;1;1;2;6;45;44;3;3;3;1;4;903116;2;1;1;3;1;5;2;98000;0
7151984-1;1;1;2;6;66;59;3;4;3;4;4;7100000;0;2;1;1;1;5;3;95000;2
7151990-1;0;1;2;2;38;41;3;2;2;1;4;1322500;0;0;1;1;1;3;1;55000;0
7151992-1;2;1;2;6;57;51;3;5;3;1;4;2129782;2;2;1;1;1;3;2;160000;2
7151993-1;1;1;2;1;52;47;3;5;3;1;4;2400000;0;0;1;1;1;9;4;243000;1
7151994-1;0;1;2;1;43;38;3;2;2;1;4;1308000;2;2;1;1;1;3;1;39483;0
7151996-1;0;1;2;6;65;66;3;2;3;1;4;1500000;0;0;1;1;1;3;1;67000;0
7151997-1;0;1;2;6;79;63;3;2;4;5;4;6100000;2;2;3;3;1;4;1;160000;2
7151998-1;2;1;2;1;42;33;3;4;3;1;4;840000;0;0;1;1;1;4;2;120000;1
7151999-1;3;1;2;2;37;32;3;5;1;1;1;1770000;2;2;1;1;1;3;2;30000;0
7152000-1;2;1;2;6;82;75;3;4;2;6;4;1778116;0;0;1;0;1;4;2;120000;1
7152001-1;2;1;2;2;65;47;3;5;2;1;1;2100000;2;2;1;1;1;3;2;60000;2
7152002-1;0;2;1;6;71;68;3;2;1;4;6;966666;2;2;1;1;1;3;2;85000;1
7152003-1;1;1;2;1;44;51;3;3;2;1;4;1050000;0;0;1;1;1;4;2;114000;1
7152004-1;2;1;2;2;45;49;3;4;3;1;4;2439000;2;2;3;3;1;4;3;180000;2
7152006-1;0;1;2;6;62;63;3;2;2;1;5;1244666;0;2;1;1;1;3;2;280000;2
7152008-1;3;1;2;2;38;36;3;6;2;1;4;2038333;0;0;1;1;1;5;3;140000;0
7152009-1;3;1;2;2;38;37;3;5;1;1;4;1770000;2;1;0;1;1;2;2;60000;0
7152012-1;1;1;2;2;29;19;3;3;2;1;4;680000;0;0;1;1;2;5;1;90000;0
7152014-1;0;1;2;2;83;64;3;2;1;1;4;846666;0;0;1;1;1;4;1;92500;0
7152015-1;0;1;2;6;47;44;3;2;2;1;1;1660000;0;0;1;0;1;2;2;10000;0
7152016-1;0;1;2;6;91;72;3;2;2;5;4;163750;0;0;1;1;1;3;2;32000;0
7152017-1;1;1;2;2;25;22;3;3;2;1;4;650000;0;1;1;1;1;3;2;13045;0
7152020-1;1;1;2;2;46;32;3;3;1;1;4;695000;0;0;0;0;2;3;2;25000;0
7152021-1;1;1;2;6;68;63;3;4;1;1;4;1660000;0;0;0;1;1;4;2;27500;0
7152024-1;1;1;2;2;37;32;3;3;3;1;4;1253333;2;2;1;2;1;3;2;15822;3
7152025-1;1;1;2;6;63;53;3;3;2;1;4;1158116;0;2;1;1;2;5;1;42000;2
7152026-1;1;1;2;2;65;55;3;3;1;1;4;1740000;0;0;1;0;1;4;2;98573;0
7152027-1;1;1;2;2;39;26;3;3;1;1;4;980000;2;2;1;1;1;3;2;32600;0
7152028-1;0;1;2;6;64;63;3;3;2;1;4;3100333;2;2;1;1;1;3;2;72000;1
7152031-1;1;1;2;6;75;65;3;3;2;1;4;892500;0;0;0;1;1;2;2;13050;0
7152033-1;0;1;2;2;45;54;3;3;2;1;4;980000;2;2;1;1;1;3;2;30000;2
7152034-1;1;1;2;1;22;14;3;2;1;1;4;1150000;0;2;1;1;1;1;1;103372;0
7152035-1;2;1;2;6;50;42;3;4;2;1;4;2677000;0;2;1;1;1;3;3;37500;2
7152036-1;2;1;2;2;53;42;3;4;2;1;4;1085000;2;2;1;1;1;3;2;27500;2
7152039-1;1;1;2;2;24;24;3;3;2;1;4;1949698;2;2;1;3;1;2;2;948;0
7152044-1;0;1;2;2;37;27;3;2;2;1;1;1997032;2;2;3;3;2;4;1;36145;1
7152045-1;0;1;2;6;71;59;3;2;2;1;4;687500;0;0;1;1;1;3;1;25000;1
7152046-1;2;1;2;6;47;41;3;4;3;1;4;1383333;0;2;1;1;1;5;3;82000;2
7152051-1;1;1;2;6;70;55;3;5;1;1;1;3606000;0;2;1;1;1;6;3;22000;1
7152054-1;2;1;2;6;62;64;3;5;2;1;4;2871333;1;0;1;1;1;4;4;110000;0
7152057-1;0;1;2;6;62;61;3;3;2;1;4;815000;0;0;1;1;2;3;2;62500;2
7152058-1;0;1;2;6;63;60;3;3;1;1;4;625000;0;0;1;1;1;3;3;31500;0
7152062-1;1;1;2;1;19;21;3;3;2;1;4;1416666;2;2;1;1;1;7;2;25000;2
7152064-1;1;1;2;6;60;58;3;4;2;1;4;777500;0;0;1;1;1;4;2;12500;0
7152065-1;0;1;2;6;46;45;3;2;2;1;4;1673333;0;2;1;1;1;2;1;125000;1
7152066-1;0;1;2;6;52;51;3;2;0;1;4;580000;0;2;1;1;1;3;1;20000;1
7152067-1;2;1;2;2;40;36;3;4;2;1;4;1298116;2;2;1;1;1;4;2;23450;2
7152079-1;0;1;2;1;48;45;3;2;1;1;4;1065000;0;0;0;1;1;6;1;40000;1
7152080-1;3;1;2;2;29;28;3;5;1;1;4;1072583;2;2;1;1;1;3;3;89951;2
7152081-1;0;1;2;2;60;70;3;2;1;1;4;1000000;0;0;0;0;1;4;1;66085;0
7152084-1;0;1;2;6;62;56;3;2;1;1;4;1966666;2;2;2;1;1;4;1;35000;2
7152085-1;0;2;1;6;60;72;3;4;1;4;4;1832403;0;0;1;1;1;4;4;33000;1
7152086-1;0;1;2;2;35;32;3;2;1;1;4;916666;2;2;1;1;1;1;1;37500;0
7152091-1;0;1;2;2;59;52;3;3;3;1;4;80000;2;2;1;1;1;5;2;24000;2
7152095-1;2;1;2;2;27;22;3;4;1;1;4;1060366;0;2;1;1;1;3;2;45251;1
7152096-1;2;1;2;6;34;32;3;4;3;1;4;1960000;2;2;1;1;1;2;2;32500;0
7152098-1;2;1;2;6;37;31;3;4;3;1;4;904000;2;2;1;1;1;5;2;12500;2
7152099-1;0;1;2;2;78;59;3;4;1;1;4;700000;0;0;0;0;1;3;2;0;0
7152100-1;2;1;2;6;85;86;3;4;1;1;4;3608333;0;0;1;1;1;5;3;75000;0
7152101-1;0;1;2;6;66;62;3;2;3;1;4;928000;0;0;1;1;1;4;1;32500;2
7152103-1;1;1;2;2;33;27;3;3;1;1;4;420000;0;0;1;1;1;3;2;14500;0
7152105-1;1;1;2;6;74;74;3;3;2;1;4;577000;0;0;0;0;1;2;2;15000;0
7152107-1;3;1;2;6;61;57;3;9;1;1;4;1012500;0;0;1;1;1;5;3;25500;0
7152111-1;0;1;2;1;57;46;3;3;1;1;4;275000;0;0;0;1;1;3;2;16000;0
7152115-1;0;1;2;6;79;63;3;2;2;1;4;370000;0;0;1;1;1;3;1;17500;0
7152117-1;2;1;2;6;55;53;3;4;2;1;4;750000;0;0;1;1;1;2;1;31000;1
7152118-1;3;1;2;6;50;50;3;5;1;1;4;495000;0;0;1;1;1;4;3;12500;0
7152120-1;2;1;2;6;47;51;3;6;2;1;4;721000;0;0;1;1;1;3;3;7500;0
7152121-1;0;1;2;6;56;27;3;2;1;1;4;130000;0;0;1;1;1;3;1;6500;0
7152123-1;3;1;2;2;53;52;3;5;1;1;4;1760000;0;0;1;1;1;3;3;14000;0
7152125-1;0;1;2;6;65;57;3;2;2;1;4;330000;0;0;1;1;1;3;2;12000;1
7152128-1;2;1;2;6;45;44;3;4;2;1;4;710000;0;2;1;1;1;3;2;35000;0
7152129-1;0;1;2;6;60;53;3;2;1;1;4;150000;0;0;1;1;1;2;1;11500;0
7152130-1;1;1;2;2;52;32;3;3;1;1;4;150000;0;0;1;1;1;2;2;24000;0
7152132-1;1;1;2;6;83;79;3;3;1;5;4;990000;0;0;1;0;1;3;3;26000;1
7152135-1;2;1;2;2;62;42;3;4;1;1;4;287500;0;0;1;1;1;3;2;6000;0
7152138-1;2;1;2;2;44;44;3;4;1;1;4;1215833;0;0;1;1;1;2;2;94749;0
7152144-1;1;1;2;6;58;57;3;7;1;1;4;200000;0;0;1;1;1;5;3;17000;2
7152147-1;3;2;1;2;34;33;3;7;1;1;1;1497000;2;2;1;1;1;4;3;29350;3
7152148-1;3;1;2;6;74;63;3;7;1;1;4;1647500;0;0;0;1;1;4;4;29000;0
7152150-1;0;1;2;6;56;49;3;3;1;1;4;1003333;0;0;1;1;1;3;2;26000;0
7152152-1;3;1;2;2;36;30;3;5;1;1;4;1213666;2;2;1;1;1;3;3;250000;2
7152153-1;3;1;2;6;35;30;3;5;1;1;4;482500;1;0;1;1;1;3;3;10500;1
7152155-1;3;1;2;2;71;46;3;5;1;1;4;378333;0;0;0;1;1;3;3;20000;0
7152156-1;0;1;2;6;76;55;3;2;1;1;4;1180000;0;0;1;1;1;2;1;98584;0
7152157-1;1;1;2;6;69;62;3;3;1;1;4;800000;0;0;0;0;1;3;2;15000;2
7152159-1;5;1;2;6;57;45;3;7;1;1;4;1855000;0;0;1;0;1;3;3;67084;0
7152160-1;5;1;2;6;38;41;3;7;1;1;4;2223000;0;0;1;1;1;5;4;20000;3
7152162-1;1;1;2;6;47;45;3;3;1;1;4;1245000;0;0;1;1;1;3;3;22000;0
7152163-1;3;2;1;6;58;67;3;5;1;4;1;5445166;0;0;1;0;1;3;3;25000;2
7152164-1;1;1;2;6;68;66;3;3;2;5;4;4584166;0;0;1;1;1;3;2;30000;2
7152165-1;1;2;1;6;66;66;3;4;1;4;1;1279000;0;0;1;1;1;3;3;45000;2
7152166-1;0;1;2;6;52;44;3;2;2;1;4;830000;0;2;1;1;1;3;1;25500;0
7152168-1;1;1;2;2;42;40;3;3;1;1;4;650000;0;2;0;1;1;3;1;15500;0
7152169-1;3;1;2;2;37;22;3;5;2;1;4;401000;0;2;1;1;1;3;2;26150;0
7152172-1;0;1;2;6;64;58;3;2;1;1;4;300000;0;0;1;1;1;2;1;15000;0
7152173-1;3;1;2;2;38;26;3;5;1;1;4;511333;0;1;1;1;1;2;2;14759;0
7152175-1;2;1;2;6;41;44;3;4;2;1;4;971000;0;2;1;1;1;3;2;27500;2
7152183-1;1;2;1;2;61;63;3;3;1;4;1;555000;0;0;1;1;1;3;2;34209;1
7152184-1;0;1;2;6;80;73;3;2;1;1;4;733333;0;0;1;1;1;2;1;6800;0
7152193-1;3;1;2;6;50;46;6;6;3;1;4;1915833;0;0;1;1;1;4;3;75000;2
7152196-1;2;2;1;2;31;30;6;4;1;4;1;826000;2;2;3;1;1;3;2;11500;0
7152198-1;2;2;1;6;42;50;6;4;1;4;1;2138000;0;0;1;1;1;3;2;50000;0
7152202-1;1;2;1;2;18;25;6;3;1;4;1;840000;0;0;1;1;1;1;1;22000;0
7152208-1;0;1;2;6;52;43;6;2;3;1;4;1500000;2;2;1;1;1;3;2;350000;2
7152211-1;0;1;2;2;21;20;6;5;1;1;4;1755000;2;2;2;3;1;3;2;53000;2
7152221-1;2;1;2;6;57;56;6;4;5;1;4;2416666;2;2;3;3;1;6;3;135000;3
7152222-1;2;1;2;2;34;26;6;4;2;1;4;928750;2;2;1;1;1;3;2;35000;2
7152224-1;1;1;2;6;77;76;6;3;5;6;4;6566666;2;2;3;1;1;3;2;32000;1
7152225-1;0;2;1;1;50;56;6;3;2;1;6;1484000;2;0;1;1;1;1;1;14000;0
7152226-1;1;1;2;6;74;73;6;3;5;6;4;1000000;2;0;1;1;1;4;3;170000;2
7152229-1;1;1;2;6;42;39;6;3;5;1;1;10260000;2;2;3;3;1;4;2;30000;2
7152232-1;2;2;1;6;23;26;6;5;2;4;1;2744000;2;2;3;3;1;3;2;20000;0
7152233-1;2;1;2;2;58;49;6;7;2;1;1;3475500;0;0;1;1;1;5;4;60000;2
7152239-1;3;1;2;2;44;40;6;5;1;1;4;3190333;0;0;1;1;1;3;2;33000;5
7152240-1;1;1;2;2;51;33;6;3;1;2;4;100000;2;2;1;1;1;3;2;43000;2
7152241-1;0;1;2;2;58;52;6;2;1;1;4;1486449;0;0;1;0;1;3;1;15000;3
7152243-1;4;1;2;2;30;27;6;6;1;1;4;1183333;2;0;1;1;1;3;2;90000;3
7152244-1;2;1;2;2;38;30;6;4;1;2;4;617583;2;0;1;1;1;3;2;40000;3
7152245-1;1;1;2;2;32;23;6;3;1;1;4;1236116;2;2;1;3;1;3;1;53000;2
7152246-1;0;1;2;1;26;22;6;2;1;6;1;458333;2;2;3;3;1;3;1;42000;0
7152247-1;1;1;2;6;72;64;6;4;1;6;1;900000;0;0;1;1;1;3;2;100000;0
7152248-1;3;1;2;2;40;29;6;5;1;1;4;1637000;0;2;1;1;1;2;2;20000;3
7152249-1;1;1;2;2;35;19;6;4;1;1;4;1900000;0;2;1;1;1;3;2;40000;0
7152251-1;1;1;2;6;35;26;6;3;1;1;4;1255000;2;2;1;1;1;3;2;60000;3
7152253-1;2;1;2;6;34;33;6;4;1;1;4;1931233;2;2;1;1;1;1;1;20000;0
7152254-1;1;1;2;2;25;24;6;4;1;6;4;2276666;2;2;1;1;1;4;3;74000;4
7152255-1;0;1;2;6;40;37;6;2;1;1;4;1050000;2;2;1;1;1;2;1;40000;0
7152257-1;1;1;2;2;26;17;6;3;1;2;4;400000;2;2;1;1;1;1;1;30000;0
7152260-1;0;1;2;2;57;57;6;3;1;1;4;1560116;2;2;1;1;1;4;2;69300;3
7152262-1;2;1;2;6;48;43;6;5;1;1;4;3154016;2;2;1;1;1;2;2;45000;0
7152264-1;2;2;1;1;32;49;6;4;1;1;1;2779965;2;0;1;1;1;3;2;45000;0
7152266-1;1;1;2;1;21;21;6;3;1;1;4;1037000;2;2;1;1;1;4;2;29000;2
7152267-1;2;2;1;2;42;65;6;4;1;1;1;2030000;2;0;1;1;1;4;3;54000;2
7152268-1;0;1;2;6;51;45;6;2;1;1;6;1580000;2;2;1;1;1;5;1;63400;2
7152270-1;0;1;2;6;61;59;6;2;1;2;1;635000;0;0;1;1;1;3;1;65000;2
7152272-1;2;1;2;6;55;52;6;4;1;1;4;3144000;2;2;1;1;1;4;3;127166;2
7152276-1;1;1;2;2;30;30;6;3;1;1;4;2092166;2;2;3;3;1;2;1;50000;3
7152277-1;3;1;2;2;47;30;6;5;1;1;4;1283500;0;2;1;1;1;2;1;76000;0
7152278-2;0;1;2;1;28;22;6;2;1;1;4;1375148;2;2;1;1;1;1;1;40000;0
7152280-1;2;1;2;2;55;38;6;4;1;1;4;2250000;0;2;1;0;1;3;2;54000;2
7152281-1;2;1;2;2;42;32;6;4;1;1;4;1886233;2;2;1;3;1;2;1;60000;1
7152284-1;1;1;2;6;51;47;6;3;1;1;1;3664149;2;2;1;3;1;4;3;85000;2
7152285-1;1;1;2;2;30;26;6;3;1;1;1;2516333;2;2;3;1;1;3;1;80000;2
