DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P10000;P400;P401;P402;P403;P404;P406S2;P407S2;P408;P4900;P807;P809;P809S1;P420;P171;P6850;P5971;P5971S1;P5971S1A1;P5971S2;P5971S2A1;P5971S3;P5971S3A1;P5971S4;P5971S4A1;P5971S5;P5971S5A1;P5971S6;P5971S6A1;P5971S7;P5971S7A1;P5971S8;P5971S8A1;P5971S9;P5971S9A1;P5971S10;P5971S10A1;FEX_C
7137016;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;17,1107287337178
7137018;7;1;7;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;10;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;20,1567316162684
7137018;8;1;8;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;20,1567316162684
7137018;9;1;9;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;20,1567316162684
7137027;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;17,8967264966305
7137030;5;1;5;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;128,770951261129
7137034;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;47,2575932234725
7137035;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;47,0869855820335
7137040;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;48,9436741607429
7137040;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;48,9436741607429
7137041;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;43,8024191949577
7137042;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;49,1607313216241
7137051;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;53,2048790368736
7137057;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;3;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;49,8005087620269
7137063;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;52,1965525131961
7137066;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;39,4918103638242
7137073;6;1;6;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;36,2464709354435
7137074;4;1;4;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;30,6136689536692
7137074;5;1;5;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;30,6136689536692
7137074;8;1;8;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;30,6136689536692
7137076;6;1;6;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,9832483015438
7137076;7;1;7;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,9832483015438
7137080;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;37,6999889042549
7137080;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;37,6999889042549
7137083;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;35,5664224128041
7137087;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;35,0820906056232
7137090;7;1;7;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;32,2084274404829
7137092;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,6297953364446
7137092;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,6297953364446
7137092;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,6297953364446
7137101;2;2;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;24,1621188676553
7137102;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;8;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;26,5582797528883
7137102;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,5582797528883
7137106;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;25,0432392764981
7137107;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;23,7887485039764
7137109;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,2034881293353
7137109;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,2034881293353
7137111;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;25,5700822610911
7137112;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,7303311139282
7137112;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;26,7303311139282
7137117;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;130,859798779785
7137117;4;1;4;1;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;130,859798779785
7137126;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;37,971066430392
7137137;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;55,0906388996491
7137137;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;55,0906388996491
7137138;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;61,782158574377
7137145;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;21,3315191637052
7137148;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;39,2821545107445
7137151;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;24,5652416545937
7137151;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;24,5652416545937
7137152;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;19,9628795216949
7137153;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;21,9408922459594
7137158;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;33,408593284836
7137158;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;33,408593284836
7137160;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,2964944719184
7137160;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,2964944719184
7137160;6;1;6;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,2964944719184
7137166;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;17,8217530694331
7137169;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,1236077644624
7137169;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,1236077644624
7137169;6;1;6;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,1236077644624
7137170;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;30,8056216635941
7137171;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;3;1;2;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;38,9470954366651
7137171;5;1;5;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,9470954366651
7137176;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;50,0593555832023
7137176;6;1;6;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;50,0593555832023
7137179;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;43,2228697799835
7137179;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;43,2228697799835
7137179;5;1;5;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;43,2228697799835
7137181;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;32,9927202417985
7137181;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;32,9927202417985
7137182;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;32,7192630808005
7137187;3;1;3;1;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;24,296205426671
7137194;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;17,8217530694331
7137196;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;38,9470954366651
7137199;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2; ;268,391430149125
7137201;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;206,115209331686
7137202;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;287,145963691471
7137203;2;1;2;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;258,299695127553
7137203;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;258,299695127553
7137204;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;353,407885835768
7137205;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;212,987582188979
7137206;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;224,140235291422
7137207;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;275,369780645918
7137209;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;117,521076864825
7137217;6;1;6;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;117,093226727894
7137219;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;1;6;2; ;2; ;2; ;187,212686599786
7137228;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;60,4522485865612
7137228;5;1;5;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;60,4522485865612
7137231;4;1;4;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;53,7353966500353
7137232;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;37,1044740127059
7137243;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,699867065436
7137243;5;1;5;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,699867065436
7137245;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;53,4383747997316
7137259;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,699867065436
7137259;5;1;5;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,699867065436
7137261;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;53,4166510867617
7137268;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;41,3347865795383
7137274;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;11,6419503694245
7137274;5;1;5;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;11,6419503694245
7137280;4;1;4;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;10,4024987058153
7137297;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;742,988963799488
7137299;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;394,431519023179
7137308;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;266,066231767115
7137314;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;49,3873314171734
7137320;3;1;3;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;59,259176628327
7137324;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;51,9122759375386
7137330;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;279,771525617645
7137338;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;157,492408059949
7137338;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;157,492408059949
7137342;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;266,47143707014
7137343;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;297,266131294404
7137345;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;157,492408059949
7137345;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;157,492408059949
7137353;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;247,398949778495
7137357;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;206,270183242376
7137363;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;105,251445423061
7137365;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;98,4208816254476
7137365;5;1;5;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;98,4208816254476
7137368;3;1;3;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;85,3204959970626
7137369;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;143,084966405729
7137369;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;143,084966405729
7137373;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;72,6960958957662
7137374;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;106,211451134372
7137375;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;133,184589906698
7137375;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;133,184589906698
7137381;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;906,071440706701
7137391;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1617,78225157719
7137394;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;699,722153016743
7137395;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2362,93788587947
7137395;7;1;7;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2362,93788587947
7137396;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;749,83683298938
7137396;4;1;4;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;749,83683298938
7137412;3;1;3;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;178,910540267421
7137412;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;178,910540267421
7137421;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;203,251126168818
7137425;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;153,739411883065
7137444;5;1;5;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;85,5003284902606
7137447;2;1;2;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;42,1133900392898
7137448;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;57,4572729933377
7137467;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;746,815320669869
7137471;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;239,622778385424
7137471;4;1;4;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;239,622778385424
7137476;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;209,366288546245
7137477;3;1;3;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;196,131447581213
7137482;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;144,579755559611
7137486;4;1;4;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;133,466384403209
7137486;6;1;6;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;133,466384403209
7137489;5;1;5;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;166,478223574146
7137489;6;1;6;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;166,478223574146
