DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7152798;1;1;1;4;18,2170139983188
7152806;1;1;1;1;50,0116713318503
7152831;1;1;1;4;99,9211538445933
7152844;1;1;1;3;5,5828451382818
7152844;2;1;2;4;5,5828451382818
7152844;3;1;3;5;5,5828451382818
7152845;1;1;1;2;5,76053023903366
7152845;2;1;2;1;5,76053023903366
7152849;1;1;1;3;7,20375200152122
7152849;2;1;2;4;7,20375200152122
7152849;3;1;3;5;7,20375200152122
7152855;1;1;1;3;6,19038715078027
7152855;2;1;2;4;6,19038715078027
7152855;3;1;3;5;6,19038715078027
7152855;4;1;4;6;6,19038715078027
7152856;1;1;1;3;6,75635920132125
7152856;2;1;2;4;6,75635920132125
7152856;3;1;3;5;6,75635920132125
7152868;1;1;1;2;12,9991422884721
7152871;1;1;1;3;22,8759411614836
7152887;1;1;1;5;10,3194226379159
7152897;1;1;1;3;32,6732632804221
7152897;2;1;2;4;32,6732632804221
7152899;1;1;1;3;19,5318492566198
7152904;1;1;1;4;12,4148618120564
7152908;1;1;1;3;8,79290922905031
7152908;2;1;2;4;8,79290922905031
7152922;1;1;1;2;7,38187990153247
7152929;1;1;1;3;21,0555040911333
7152929;2;1;2;4;21,0555040911333
7152929;3;1;3;5;21,0555040911333
7152929;4;1;4;6;21,0555040911333
7152935;1;1;1;3;7,94794960827332
7152938;2;1;2;3;16,2196594670768
7152938;1;1;1;2;16,2196594670768
7152939;1;1;1;3;8,16831582010552
7152943;1;1;1;2;8,16831582010552
7152945;1;1;1;1;16,9734600602945
7152951;1;1;1;2;7,26072517342713
7152951;2;1;2;3;7,26072517342713
7152951;3;1;3;4;7,26072517342713
7152952;1;1;1;3;5,11351793891118
7152954;1;1;1;4;8,03552818971756
7152958;1;1;1;2;24,4265169801057
7152958;2;1;2;5;24,4265169801057
7152961;1;1;1;5;7,26072517342713
7152961;2;1;2;6;7,26072517342713
7152970;1;1;1;4;17,2036651770075
7152970;2;1;2;5;17,2036651770075
7152996;1;1;1;4;9,53294663286341
7153004;1;1;1;3;7,16819382375311
7153005;1;1;1;3;17,1403853978274
7153012;1;1;1;3;10,4957956148915
7153017;1;1;1;3;11,9951949884474
7153017;2;1;2;4;11,9951949884474
7153026;1;1;1;3;30,8491042866272
7153026;2;1;2;4;30,8491042866272
7153056;1;1;1;3;5,73455505900249
7153061;1;1;1;2;5,73455505900249
7153079;1;1;1;2;79,824193694932
7153079;2;1;2;3;79,824193694932
7153099;1;1;1;3;73,5714922619382
7153099;2;1;2;4;73,5714922619382
7153101;1;1;1;3;83,5040072700578
7153106;1;1;1;2;65,8207085412192
7153133;1;1;1;4;117,951554667932
7153133;2;1;2;5;117,951554667932
7153133;3;1;3;7;117,951554667932
7153135;1;1;1;4;78,7250225828879
7153135;2;1;2;5;78,7250225828879
7153136;1;1;1;2;55,8485849541265
7153136;2;1;2;3;55,8485849541265
7153136;3;1;3;4;55,8485849541265
7153139;1;1;1;4;24,970234211782
7153139;2;1;2;5;24,970234211782
7153143;1;1;1;3;34,289092246498
7153143;2;1;2;4;34,289092246498
7153153;1;1;1;3;55,574109109817
7153154;1;1;1;3;73,2818713152857
7153154;2;1;2;4;73,2818713152857
7153164;1;1;1;3;73,2818713152857
7153164;2;1;2;4;73,2818713152857
7153189;1;1;1;3;243,481348179645
7153205;1;1;1;2;178,865904697451
7153243;1;1;1;6;90,0355643504244
7153243;2;1;2;7;90,0355643504244
7153249;1;1;1;3;56,6629875938976
7153249;2;1;2;4;56,6629875938976
7153250;1;1;1;2;84,976256867463
7153250;2;1;2;3;84,976256867463
7153263;1;1;1;3;87,5161369596176
7153263;2;1;2;4;87,5161369596176
7153263;3;1;3;5;87,5161369596176
7153264;1;1;1;4;56,6629875938976
7153265;1;1;1;3;84,976256867463
7153266;1;1;1;3;68,7238415985462
7153266;2;1;2;4;68,7238415985462
7153266;3;1;3;5;68,7238415985462
7153266;4;1;4;6;68,7238415985462
7153268;1;1;1;4;63,9025492615086
7153268;2;1;2;5;63,9025492615086
7153268;3;1;3;6;63,9025492615086
7153268;4;1;4;7;63,9025492615086
7153271;1;1;1;4;83,4187982433964
7153271;2;1;2;5;83,4187982433964
7153271;3;1;3;6;83,4187982433964
7153272;1;1;1;3;68,0100783230865
7153293;1;1;1;2;311,738401615393
7153314;1;1;1;3;149,301324381646
7153317;1;1;1;2;143,879262284028
7153318;1;1;1;2;166,954005187395
7153318;2;1;2;3;166,954005187395
7153320;1;1;1;3;149,503749769136
7153327;1;1;1;1;211,7400270143
7153330;1;1;1;4;234,087504045676
7153330;2;1;2;5;234,087504045676
7153332;1;1;1;4;274,888552579072
7153332;2;1;2;5;274,888552579072
7153339;1;1;1;2;275,555635876772
7153339;2;1;2;3;275,555635876772
7153369;1;1;1;3;206,981580982428
7153369;2;1;2;4;206,981580982428
7153382;2;1;2;5;65,946553071313
7153382;1;1;1;3;65,946553071313
7153384;1;1;1;5;23,1057775384289
7153388;1;1;1;3;49,4995854249859
7153388;2;1;2;4;49,4995854249859
7153388;3;1;3;5;49,4995854249859
7153392;1;1;1;5;197,163266506105
7153395;1;1;1;4;220,863251592139
7153402;1;1;1;3;16,622097637959
7153404;1;1;1;3;11,1333069264519
7153404;2;1;2;4;11,1333069264519
7153406;1;1;1;3;13,4512603282464
7153412;1;1;1;4;17,1963428906052
7153419;1;1;1;3;79,0878667312226
7153419;2;1;2;4;79,0878667312226
7153420;1;1;1;3;78,7475449432025
7153421;1;1;1;3;77,6809000236611
7153424;1;1;1;4;89,3158439198401
7153425;1;1;1;4;56,9734971824812
7153427;1;1;1;4;63,8995142118596
7153428;1;1;1;3;61,7474473051051
7153428;2;1;2;4;61,7474473051051
7153432;1;1;1;2;63,6954987221902
7153432;2;1;2;3;63,6954987221902
7153432;3;1;3;4;63,6954987221902
7153432;4;1;4;5;63,6954987221902
7153437;1;1;1;3;66,0940565534661
7153437;2;1;2;4;66,0940565534661
7153438;1;1;1;3;60,2652005535165
7153441;1;1;1;3;250,095980645767
7153441;2;1;2;4;250,095980645767
7153444;1;1;1;3;231,097743979987
7153444;2;1;2;4;231,097743979987
7153450;1;1;1;4;103,975272049237
7153453;1;1;1;4;108,329676393594
7153456;1;1;1;3;99,3250140198164
7153465;1;1;1;3;93,9692554484692
7153466;1;1;1;3;97,1769557395506
7153466;2;1;2;4;97,1769557395506
7153466;3;1;3;5;97,1769557395506
7153467;1;1;1;3;102,648696255654
7153467;2;1;2;4;102,648696255654
7153468;1;1;1;3;89,1174865797262
7153468;2;1;2;4;89,1174865797262
7153468;3;1;3;5;89,1174865797262
7153471;1;1;1;3;92,7799728147842
7153471;2;1;2;4;92,7799728147842
7153471;3;1;3;5;92,7799728147842
7153472;1;1;1;3;87,0706692798016
7153473;1;1;1;2;89,4760189588133
7153474;1;1;1;3;89,1748080103137
7153474;2;1;2;4;89,1748080103137
7153474;3;1;3;5;89,1748080103137
7153475;1;1;1;4;88,1628722521975
7153475;2;1;2;5;88,1628722521975
7153476;1;1;1;3;55,6200006699236
7153479;1;1;1;2;67,5326459907246
7153479;2;1;2;3;67,5326459907246
7153485;2;1;2;5;66,0170379443834
7153485;1;1;1;4;66,0170379443834
7153488;1;1;1;3;62,4523331680811
7153490;1;1;1;3;60,0555410485567
7153490;2;1;2;4;60,0555410485567
7153491;1;1;1;3;66,7119384880584
7153491;2;1;2;4;66,7119384880584
7153491;3;1;3;5;66,7119384880584
7153493;1;1;1;2;61,7660238790738
7153493;2;1;2;3;61,7660238790738
7153505;1;1;1;3;56,1440116748736
7153507;1;1;1;3;58,774665554782
7153507;2;1;2;4;58,774665554782
7153508;2;1;2;6;65,8485139563809
7153508;3;1;3;7;65,8485139563809
7153508;1;1;1;5;65,8485139563809
7153517;1;1;1;3;73,9108528742274
7153517;2;1;2;4;73,9108528742274
7153517;3;1;3;5;73,9108528742274
7153521;1;1;1;3;63,6141624127683
7153523;1;1;1;4;63,3327143672507
7153523;2;1;2;5;63,3327143672507
7153527;1;1;1;4;24,3036368384894
7153529;1;1;1;4;24,8695388161531
7153529;2;1;2;6;24,8695388161531
7153530;1;1;1;2;27,1767292598425
7153530;2;1;2;3;27,1767292598425
7153530;3;1;3;4;27,1767292598425
7153531;1;1;1;5;23,8737362278576
7153531;2;1;2;6;23,8737362278576
7153532;1;1;1;2;25,5793636351743
7153532;2;1;2;3;25,5793636351743
7153536;1;1;1;3;24,8670617602892
7153537;1;1;1;3;26,0355943694039
7153537;2;1;2;4;26,0355943694039
7153538;1;1;1;3;28,4172880478594
7153539;1;1;1;2;25,9025414819979
7153539;2;1;2;3;25,9025414819979
7153542;1;1;1;3;24,1705839510833
7153547;1;1;1;4;23,74123306503
7153550;1;1;1;3;28,4172880478594
7153550;2;1;2;4;28,4172880478594
7153550;3;1;3;5;28,4172880478594
7153552;1;1;1;3;30,1399610904007
7153552;2;1;2;4;30,1399610904007
7153553;1;1;1;4;25,6284063426925
7153553;2;1;2;5;25,6284063426925
7153556;1;1;1;4;26,3905715371379
7153556;2;1;2;5;26,3905715371379
7153558;1;1;1;5;24,9369991957724
7153559;1;1;1;6;26,1055318048872
7153560;1;1;1;4;25,8454694099865
7153562;1;1;1;3;26,9211759896869
7153562;2;1;2;4;26,9211759896869
7153566;1;1;1;4;22,4011937048973
7153568;1;1;1;4;25,7124165225804
7153570;1;1;1;3;23,5294994560204
7153570;2;1;2;4;23,5294994560204
7153570;3;1;3;5;23,5294994560204
7153573;1;1;1;3;23,8865653671731
7153573;2;1;2;4;23,8865653671731
7153588;1;1;1;3;47,1216042459441
7153625;1;1;1;3;75,2230055438869
7153626;2;1;2;5;79,1687107768046
7153626;1;1;1;4;79,1687107768046
7153634;1;1;1;3;58,7003451441671
7153634;2;1;2;4;58,7003451441671
7153634;3;1;3;5;58,7003451441671
7153654;1;1;1;2;63,6246588699123
7153658;2;1;2;5;25,2902562094676
7153658;1;1;1;4;25,2902562094676
7153660;1;1;1;3;46,2989608991131
7153664;1;1;1;3;47,1471677116725
7153665;1;1;1;3;44,3066821115307
7153668;1;1;1;3;52,1476509198748
7153668;2;1;2;4;52,1476509198748
7153669;1;1;1;4;38,8641802307491
7153669;2;1;2;5;38,8641802307491
7153671;1;1;1;3;20,5556260360795
7153683;1;1;1;3;15,0982109820474
7153685;1;1;1;3;20,9425235280943
7153685;2;1;2;2;20,9425235280943
7153690;1;1;1;2;41,7140253261942
7153690;2;1;2;3;41,7140253261942
7153692;2;1;2;3;31,1117416611142
7153692;1;1;1;2;31,1117416611142
7153694;1;1;1;3;27,081511474348
7153696;1;1;1;2;14,7509437804563
7153696;2;1;2;3;14,7509437804563
7153697;1;1;1;2;15,5378171337905
7153698;1;1;1;3;20,917656522032
7153698;2;1;2;4;20,917656522032
7153698;3;1;3;5;20,917656522032
7153702;1;1;1;2;15,7185749133412
7153702;2;1;2;3;15,7185749133412
7153703;1;1;1;3;18,8212960564494
7153703;2;1;2;4;18,8212960564494
7153703;3;1;3;5;18,8212960564494
7153706;1;1;1;1;33,3322095824366
7153706;2;1;2;2;33,3322095824366
7153712;1;1;1;3;47,3587269319001
7153712;2;1;2;4;47,3587269319001
7153712;3;1;3;5;47,3587269319001
7153712;4;1;4;6;47,3587269319001
7153713;1;1;1;6;27,1133086289762
7153713;2;1;2;7;27,1133086289762
7153717;2;1;2;4;47,3587269319001
7153717;3;1;3;5;47,3587269319001
7153717;4;1;4;6;47,3587269319001
7153717;1;1;1;3;47,3587269319001
7153722;1;1;1;2;31,1117416611142
7153722;2;1;2;3;31,1117416611142
7153726;1;1;1;3;24,478550886911
7153726;3;1;3;5;24,478550886911
7153726;2;1;2;4;24,478550886911
7153732;1;1;1;2;31,5634651484669
7153732;2;1;2;3;31,5634651484669
7153732;3;1;3;4;31,5634651484669
7153743;1;1;1;3;33,5739509772293
7153745;1;1;1;3;65,8810923763545
7153749;1;1;1;2;41,2392381860185
7153751;1;1;1;2;61,1147526186089
7153752;1;1;1;4;64,6824359340736
7153752;2;1;2;5;64,6824359340736
7153753;1;1;1;3;20,0203884877441
7153753;2;1;2;4;20,0203884877441
7153759;1;1;1;2;23,049952281662
7153759;2;1;2;3;23,049952281662
7153762;1;1;1;4;30,9994157984684
7153763;1;1;1;4;8,40319793782787
7153763;2;1;2;5;8,40319793782787
7153766;1;1;1;2;4,63121638288333
7153768;1;1;1;3;4,63121638288333
7153768;2;1;2;4;4,63121638288333
7153770;1;1;1;2;14,9437885113585
7153770;2;1;2;4;14,9437885113585
7153770;3;1;3;5;14,9437885113585
7153771;1;1;1;3;15,6097139692157
7153771;3;1;3;5;15,6097139692157
7153771;2;1;2;4;15,6097139692157
7153772;1;1;1;3;4,63121638288333
7153772;2;1;2;4;4,63121638288333
7153773;1;1;1;4;5,65162059869276
7153774;1;1;1;3;8,00524500465882
7153775;1;1;1;2;9,44500527854439
7153776;1;1;1;3;10,7347450283154
7153776;2;1;2;4;10,7347450283154
7153786;1;1;1;2;3,30428544683509
7153786;2;1;2;1;3,30428544683509
7153787;1;1;1;3;4,35061179055322
7153838;1;1;1;2;222,926129994093
7153851;1;1;1;2;145,842738702084
7153858;1;1;1;3;248,399652141398
7153858;2;1;2;4;248,399652141398
7153870;1;1;1;3;269,526134582251
7153870;2;1;2;4;269,526134582251
7153891;1;1;1;2;108,307296557983
7153891;2;1;2;3;108,307296557983
7153891;3;1;3;4;108,307296557983
7153893;1;1;1;3;254,450466513579
7153893;2;1;2;4;254,450466513579
7153896;1;1;1;4;259,263697036903
7153906;1;1;1;3;240,865359681214
7153908;1;1;1;2;289,185922284166
7153908;2;1;2;3;289,185922284166
7153915;1;1;1;3;58,0395823795196
7153915;2;1;2;4;58,0395823795196
7153917;1;1;1;3;56,6808644710817
7153917;2;1;2;4;56,6808644710817
7153920;1;1;1;3;57,2187076534344
7153920;2;1;2;4;57,2187076534344
7153920;3;1;3;5;57,2187076534344
7153923;1;1;1;3;63,6535773214809
7153923;2;1;2;4;63,6535773214809
7153924;1;1;1;2;44,8079455309345
7153932;1;1;1;3;37,7430541221176
7153935;1;1;1;3;181,736644983864
7153941;1;1;1;3;145,542067610576
7153951;1;1;1;4;160,560992763021
7153955;1;1;1;5;86,8355578411705
7153962;1;1;1;3;77,5442009477251
7153962;2;1;2;4;77,5442009477251
7153962;3;1;3;6;77,5442009477251
7153962;4;1;4;7;77,5442009477251
7153963;1;1;1;3;65,5448432691934
7153963;2;1;2;4;65,5448432691934
7153966;1;1;1;2;149,409642936801
7153970;1;1;1;3;71,3666843765727
7153970;2;1;2;4;71,3666843765727
7153974;1;1;1;7;83,0237902961224
7153974;2;1;2;8;83,0237902961224
7153988;1;1;1;3;56,4706290790413
7153988;2;1;2;4;56,4706290790413
7153990;1;1;1;2;75,8695026784498
7153991;1;1;1;4;78,3625756378474
7153991;2;1;2;5;78,3625756378474
7153991;3;1;3;6;78,3625756378474
7153993;1;1;1;7;72,4585236282035
7153998;1;1;1;3;56,4706290790413
7153998;2;1;2;4;56,4706290790413
7154002;1;1;1;4;58,757312686285
7154002;2;1;2;5;58,757312686285
7154006;1;1;1;3;67,2037277070672
7154006;2;1;2;4;67,2037277070672
7154006;3;1;3;5;67,2037277070672
7154009;2;1;2;3;47,9745571589473
7154009;1;1;1;2;47,9745571589473
7154010;1;1;1;4;56,3499420448908
7154018;1;1;1;3;76,3770854999658
7154026;1;1;1;3;71,1453644325474
7154026;2;1;2;4;71,1453644325474
7154026;3;1;3;5;71,1453644325474
7154048;1;1;1;3;88,2764601416946
7154049;1;1;1;2;72,6199467235193
7154049;2;1;2;2;72,6199467235193
7154050;1;1;1;4;88,2579605226126
7154050;2;1;2;6;88,2579605226126
7154052;1;1;1;3;110,673997809257
7154059;1;1;1;2;82,7512712430713
7154059;2;1;2;3;82,7512712430713
7154062;1;1;1;4;79,3628843397981
7154076;1;1;1;3;77,3819364171232
7154076;2;1;2;4;77,3819364171232
7154081;1;1;1;2;324,193543484092
7154081;2;1;2;3;324,193543484092
7154082;1;1;1;2;327,448941608261
7154082;2;1;2;3;327,448941608261
7154082;3;1;3;4;327,448941608261
7154084;1;1;1;3;244,711199206134
7154087;1;1;1;3;152,18390454649
7154087;2;1;2;4;152,18390454649
7154089;1;1;1;3;150,547086042194
7154104;1;1;1;3;159,227918270973
7154104;2;1;2;4;159,227918270973
7154137;1;1;1;3;45,5428118935115
7154141;1;1;1;3;85,9178453143734
7154141;2;1;2;4;85,9178453143734
7154149;1;1;1;4;99,5764164160455
7154149;2;1;2;5;99,5764164160455
7154155;1;1;1;6;1233,89833053284
7154156;1;1;1;3;957,431290731141
7154177;1;1;1;3;156,490371427684
7154198;1;1;1;3;269,8961790985
7154198;2;1;2;4;269,8961790985
7154204;1;1;1;4;266,043121412619
7154230;1;1;1;5;133,897194033903
7154230;2;1;2;6;133,897194033903
7154235;2;1;2;4;145,363307466281
7154235;1;1;1;3;145,363307466281
7154236;1;1;1;3;125,772567291056
7154238;1;1;1;1;146,818350115425
7154238;2;1;2;2;146,818350115425
7154244;1;1;1;3;66,4609407707618
7154249;1;1;1;5;71,7201059076121
7154251;1;1;1;3;57,219073672976
7154251;2;1;2;6;57,219073672976
7154251;3;1;3;9;57,219073672976
7154251;4;1;4;10;57,219073672976
7154251;5;1;5;12;57,219073672976
7154251;6;1;6;13;57,219073672976
7154252;1;1;1;3;94,3293720812475
7154253;1;1;1;3;103,26021329077
7154256;1;1;1;4;71,6322986472594
7154256;2;1;2;5;71,6322986472594
7154256;3;1;3;6;71,6322986472594
7154259;1;1;1;2;72,2478833651556
7154264;1;1;1;4;1107,20511419605
7154264;2;1;2;5;1107,20511419605
7154270;1;1;1;3;1169,73452197409
7154270;2;1;2;4;1169,73452197409
7154270;3;1;3;5;1169,73452197409
7154280;1;1;1;3;706,40746985032
7154282;1;1;1;3;842,052575004298
7154282;2;1;2;6;842,052575004298
7154286;1;1;1;1;595,67154353869
7154289;1;1;1;2;71,1897416113484
7154298;1;1;1;3;86,7129922917138
7154311;1;1;1;4;159,75026058344
7154315;1;1;1;2;102,283566623348
7154323;1;1;1;3;187,400609620439
7154373;1;1;1;6;242,802586941586
7154378;1;1;1;3;228,750056232008
7154378;2;1;2;4;228,750056232008
7154393;1;1;1;3;234,281260231768
7154394;1;1;1;3;225,579612956778
7154394;2;1;2;4;225,579612956778
7154395;1;1;1;3;410,135271219254
7154395;2;1;2;4;410,135271219254
7154398;1;1;1;2;256,935623350775
7154399;1;1;1;3;194,912191462193
7154399;2;1;2;4;194,912191462193
7154410;1;1;1;2;322,691155794438
7154414;1;1;1;3;140,190885699262
7154422;1;1;1;3;131,32557146873
7154423;1;1;1;3;216,385188327575
7154423;2;1;2;4;216,385188327575
7154434;1;1;1;3;120,014153215019
7154437;1;1;1;3;114,972423455595
7154440;1;1;1;5;83,106236148436
7154442;1;1;1;3;134,438653881939
7154444;1;1;1;3;134,438653881939
7154449;1;1;1;3;113,878481515482
7154449;2;1;2;4;113,878481515482
7154449;3;1;3;5;113,878481515482
7154450;1;1;1;3;117,902312692033
7154450;2;1;2;4;117,902312692033
7154451;1;1;1;6;54,0835950136687
7154453;1;1;1;4;94,1290159875085
7154453;2;1;2;5;94,1290159875085
7154464;1;1;1;4;83,5847385237662
7154470;1;1;1;2;128,661044855591
7154470;2;1;2;3;128,661044855591
7154503;1;1;1;4;28,6848442072342
7154503;2;1;2;5;28,6848442072342
7154507;1;1;1;3;53,3035240351095
7154514;1;1;1;3;54,5718420650041
7154527;1;1;1;3;17,3588780976955
7154527;2;1;2;4;17,3588780976955
7154543;1;1;1;3;28,7717099237861
7154543;2;1;2;4;28,7717099237861
7154552;1;1;1;3;84,4075456300066
7154552;2;1;2;4;84,4075456300066
7154560;1;1;1;3;41,1342523372206
7154569;2;1;2;4;26,1752876221619
7154569;1;1;1;3;26,1752876221619
7154594;1;1;1;3;20,2645919143227
7154594;2;1;2;4;20,2645919143227
7154594;3;1;3;5;20,2645919143227
7154614;1;1;1;2;2,04097507831423
7154619;1;1;1;4;4,48244125069975
7154619;2;1;2;5;4,48244125069975
7154620;1;1;1;3;4,6477368786643
7154620;2;1;2;4;4,6477368786643
7154620;3;1;3;5;4,6477368786643
7154620;4;1;4;6;4,6477368786643
7154620;5;1;5;7;4,6477368786643
7154631;1;1;1;4;5,15707379247807
7154634;1;1;1;2;2,27060801958666
7154634;2;1;2;3;2,27060801958666
7154634;3;1;3;4;2,27060801958666
7154638;1;1;1;2;2,88329294533523
7154638;2;1;2;3;2,88329294533523
7154647;1;1;1;2;1,68176444592299
7154684;1;1;1;4;54,507859514236
7154684;2;1;2;5;54,507859514236
7154699;1;1;1;3;43,3505404024223
7154699;2;1;2;4;43,3505404024223
7154701;1;1;1;4;90,6650301495738
7154703;1;1;1;2;71,4803842938137
7154710;1;1;1;3;64,7818254880102
7154712;1;1;1;3;49,9215641947619
7154712;2;1;2;4;49,9215641947619
7154715;1;1;1;4;55,2122846906469
7154716;1;1;1;3;45,9630707135223
7154717;1;1;1;3;56,0561903621492
7154718;1;1;1;2;45,9555634595546
7154723;1;1;1;4;81,9481060384162
7154724;1;1;1;2;70,4363935316402
7154724;2;1;2;3;70,4363935316402
7154725;1;1;1;3;91,5352412820207
7154725;2;1;2;4;91,5352412820207
7154726;1;1;1;3;92,6322885276028
7154726;2;1;2;4;92,6322885276028
7154726;3;1;3;5;92,6322885276028
7154726;4;1;4;6;92,6322885276028
7154727;1;1;1;3;75,4366482226088
7154727;2;1;2;4;75,4366482226088
7154729;1;1;1;3;87,3253258292168
7154730;1;1;1;2;68,8985548177416
7154732;1;1;1;3;98,8260123732511
7154753;1;1;1;4;6,56012024254893
7154755;1;1;1;4;14,0710687870593
7154763;1;1;1;2;11,163384642769
7154770;1;1;1;2;17,9549464475563
7154770;2;1;2;3;17,9549464475563
7154844;1;1;1;4;419,669124794352
7154846;1;1;1;3;508,469368547664
7154847;1;1;1;4;452,86179823111
7154847;2;1;2;5;452,86179823111
7154847;3;1;3;6;452,86179823111
7154848;1;1;1;5;449,603386104934
7154848;2;1;2;6;449,603386104934
7154851;1;1;1;4;383,444643397886
7154857;1;1;1;4;566,33067808828
7154859;1;1;1;4;605,839524849573
7154875;1;1;1;3;4,58526222660102
7154881;1;1;1;3;4,63672227343658
7154881;2;1;2;4;4,63672227343658
7154891;1;1;1;5;10,2591462532069
7154891;2;1;2;6;10,2591462532069
7154896;1;1;1;4;8,20532573096618
7154903;1;1;1;3;7,510227604181
7154941;1;1;1;3;11,5436017429405
7154941;2;1;2;4;11,5436017429405
7154961;1;1;1;1;14,8194872669193
7154961;2;1;2;2;14,8194872669193
7154961;3;1;3;3;14,8194872669193
7154978;1;1;1;3;374,791622397659
7154978;2;1;2;4;374,791622397659
7154985;1;1;1;2;252,142672767121
7154985;2;1;2;3;252,142672767121
7154985;3;1;3;4;252,142672767121
7154990;1;1;1;2;150,29874681774
7154990;2;1;2;2;150,29874681774
7154991;1;1;1;3;166,067922595982
7154991;3;1;3;5;166,067922595982
7154991;2;1;2;4;166,067922595982
7154992;1;1;1;3;158,147995665405
7154996;1;1;1;2;178,142172970342
7155008;1;1;1;4;115,181902760487
7155008;2;1;2;5;115,181902760487
7155010;1;1;1;3;98,5429518499852
7155010;2;1;2;4;98,5429518499852
7155010;3;1;3;5;98,5429518499852
7155015;1;1;1;4;295,486618880819
7155015;2;1;2;5;295,486618880819
7155018;1;1;1;3;270,23992248183
7155019;1;1;1;3;289,177768548559
7155019;2;1;2;4;289,177768548559
7155021;1;1;1;4;295,480444032261
7155021;2;1;2;5;295,480444032261
7155022;1;1;1;3;324,303500164147
7155024;1;1;1;2;286,332919449028
7155024;2;1;2;3;286,332919449028
7155025;1;1;1;2;276,787167647591
7155025;2;1;2;3;276,787167647591
7155027;1;1;1;3;292,944429939698
7155027;2;1;2;4;292,944429939698
7155033;1;1;1;3;238,97393940154
7155033;2;1;2;4;238,97393940154
7155033;3;1;3;5;238,97393940154
7155036;1;1;1;3;292,044522776281
7155036;2;1;2;4;292,044522776281
7155037;1;1;1;4;262,805590994289
7155041;1;1;1;3;285,022915552172
7155041;2;1;2;4;285,022915552172
7155043;1;1;1;3;279,20914006303
7155043;2;1;2;4;279,20914006303
7155046;1;1;1;4;288,237406954293
7155053;1;1;1;3;84,9453419295515
7155056;1;1;1;2;147,274308352408
7155057;1;1;1;2;124,118211020706
7155064;1;1;1;3;136,235414588281
7155064;2;1;2;4;136,235414588281
7155067;1;1;1;3;146,506039769824
7155067;2;1;2;4;146,506039769824
7155069;1;1;1;3;117,85355410654
7155069;2;1;2;4;117,85355410654
7155073;1;2;1;3;120,940059494181
7155076;1;1;1;3;126,154140223403
7155083;1;1;1;4;33,27620801942
7155083;2;1;2;5;33,27620801942
7155089;1;1;1;3;226,199243796775
7155096;1;1;1;4;32,9757157852306
7155096;2;1;2;5;32,9757157852306
7155097;1;1;1;2;41,7663120057351
7155097;2;1;2;3;41,7663120057351
7155099;1;1;1;2;36,5451470631911
7155099;2;1;2;3;36,5451470631911
7155100;1;1;1;2;35,9654303608298
7155100;2;1;2;3;35,9654303608298
7155102;1;1;1;3;35,6183534766914
7155104;1;1;1;3;35,7351838617583
7155105;1;1;1;3;28,7964717174233
7155105;2;1;2;4;28,7964717174233
7155105;3;1;3;5;28,7964717174233
7155106;1;1;1;3;25,4282749939632
7155106;2;1;2;4;25,4282749939632
7155107;1;1;1;2;25,6041355156051
7155110;1;1;1;3;21,6132460356219
7155112;1;1;1;3;26,9421603772203
7155116;1;1;1;3;25,3108757145692
7155123;1;1;1;3;35,2214516505182
7155124;1;1;1;3;38,7823619878227
7155124;2;1;2;4;38,7823619878227
7155127;1;1;1;4;37,6648001947118
7155128;3;1;3;5;50,3089242513975
7155128;1;1;1;3;50,3089242513975
7155128;2;1;2;4;50,3089242513975
7155129;1;1;1;5;45,5852342888993
7155129;2;1;2;6;45,5852342888993
7155129;3;1;3;7;45,5852342888993
7155130;1;1;1;3;52,3691680362911
7155130;2;1;2;5;52,3691680362911
7155132;1;1;1;3;49,3641212519571
7155134;1;1;1;4;40,38234376286
7155139;1;1;1;6;46,1872561948695
7155140;1;1;1;4;50,3089242513975
7155148;1;1;1;3;70,4645567625862
7155150;1;1;1;3;75,9537273642189
7155150;2;1;2;4;75,9537273642189
7155152;1;1;1;4;132,000028427907
7155158;1;1;1;3;261,184886039608
7155160;1;1;1;5;11,8603887555509
7155162;1;1;1;3;20,0756465743755
7155179;1;1;1;5;83,671382293279
7155180;1;1;1;4;115,100722259347
7155180;2;1;2;5;115,100722259347
7155192;1;1;1;3;48,9436741607429
7155193;1;1;1;2;50,4689397085206
7155193;2;1;2;3;50,4689397085206
7155193;3;1;3;4;50,4689397085206
7155193;4;1;4;5;50,4689397085206
7155196;1;1;1;3;43,3901564483771
7155197;1;1;1;3;46,3563140741891
7155197;2;1;2;4;46,3563140741891
7155205;1;1;1;2;47,7394083747982
7155205;2;1;2;3;47,7394083747982
7155210;1;1;1;3;48,8852292700791
7155210;2;1;2;4;48,8852292700791
7155219;1;1;1;3;48,8852292700791
7155219;2;1;2;4;48,8852292700791
7155221;1;1;1;5;49,4637179582854
7155221;2;1;2;6;49,4637179582854
7155222;1;1;1;4;44,5326145422909
7155222;2;1;2;5;44,5326145422909
7155235;1;1;1;3;66,8888278888854
7155235;2;1;2;4;66,8888278888854
7155235;3;1;3;5;66,8888278888854
7155235;4;1;4;6;66,8888278888854
7155236;3;1;3;5;66,0170379443834
7155236;1;1;1;3;66,0170379443834
7155236;2;1;2;4;66,0170379443834
7155237;1;1;1;3;65,3221374007085
7155237;2;1;2;4;65,3221374007085
7155239;1;1;1;3;69,286484703544
7155239;2;1;2;4;69,286484703544
7155245;1;1;1;4;67,4849351199653
