DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7122299;2;1;2;4;79,5233550728625
7122300;1;1;1;4;81,9399931008082
7122300;2;1;2;6;81,9399931008082
7122300;3;1;3;7;81,9399931008082
7122301;1;1;1;3;89,1494438805721
7122301;2;1;2;4;89,1494438805721
7122302;1;1;1;4;72,1691307496946
7122302;2;1;2;5;72,1691307496946
7122302;3;1;3;7;72,1691307496946
7122302;4;1;4;8;72,1691307496946
7122302;5;1;5;9;72,1691307496946
7122303;1;1;1;4;62,6787207650441
7122303;2;1;2;5;62,6787207650441
7122303;3;1;3;6;62,6787207650441
7122306;1;1;1;4;112,974329685616
7122308;1;1;1;2;85,0791955937686
7122321;1;1;1;5;44,0000412695627
7122342;1;1;1;3;90,8206454490113
7122345;1;1;1;3;113,951062375006
7122346;1;1;1;5;97,5526426383475
7122358;3;1;3;5;61,3817811425861
7122358;1;1;1;3;61,3817811425861
7122358;2;1;2;4;61,3817811425861
7122360;1;1;1;3;46,8030229430814
7122365;1;1;1;2;72,1547718941791
7122365;2;1;2;3;72,1547718941791
7122365;3;1;3;4;72,1547718941791
7122368;1;1;1;3;77,0174350650428
7122371;1;1;1;2;92,5142438631201
7122372;1;1;1;2;104,021397387612
7122415;1;1;1;3;1081,40468069425
7122433;1;1;1;2;750,087879699989
7122433;2;1;2;3;750,087879699989
7122445;1;1;1;3;827,24030273043
7122446;1;1;1;3;880,426891641095
7122446;2;1;2;4;880,426891641095
7122449;1;1;1;3;652,705768020467
7122449;2;1;2;5;652,705768020467
7122449;3;1;3;6;652,705768020467
7122449;4;1;4;7;652,705768020467
7122469;1;1;1;2;55,1945261923888
7122470;1;1;1;2;28,5183263106326
7122470;1;2;1;2;28,5183263106326
7122472;1;1;1;4;25,4736484910943
7122487;1;1;1;3;23,1578622646312
7122487;2;1;2;4;23,1578622646312
7122487;3;1;3;5;23,1578622646312
7122500;1;1;1;3;37,7555294202299
7122500;2;1;2;4;37,7555294202299
7122503;1;1;1;3;12,5101552788325
7122507;1;1;1;3;9,16333619245452
7122507;2;1;2;4;9,16333619245452
7122507;3;1;3;5;9,16333619245452
7122512;1;1;1;3;28,7622382746475
7122512;2;1;2;2;28,7622382746475
7122512;3;1;3;1;28,7622382746475
